ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AAL,🏦majority,0.447,18.016,4.509,2.203,1.287,3.762,-5.176,,,
AAOI,⚡panic,5.034,37.945,38.915,17.765,28.349,12.496,,,,
AAON,🏦majority,5.983,19.131,-5.926,6.631,-5.179,-5.692,,,,
AAPL,🏦majority,2.07,9.883,7.073,4.195,-4.27,-0.308,,,,
ABBV,🏦majority,2.872,9.611,6.005,4.026,1.069,-0.319,,,,-9.289
ABNB,🏦majority,1.176,14.193,14.172,1.261,-4.392,-0.501,,,,
ABT,🏦majority,-1.195,8.329,-2.727,-0.058,2.201,0.353,,,,
ACAD,🎲chase,2.032,18.966,2.944,2.257,4.388,-1.839,-9.545,,,
ACDC,🏦majority,-6.414,19.377,11.894,0.685,-2.619,3.974,,,,
ACGL,🏦majority,2.84,8.176,,-0.524,-3.862,-0.939,,,,
ACHC,🎲chase,-1.556,19.263,-1.107,4.495,0.658,-2.43,-8.879,,,
ACIW,🏦majority,0.238,13.279,-0.286,-0.826,-5.064,2.875,,,,
ACLS,🏦majority,1.572,22.775,-12.984,-0.594,-0.288,9.394,-9.286,,,
ACMR,🎲chase,3.032,28.862,7.232,3.462,16.725,-9.806,,,,
ACN,🏦majority,-0.051,11.047,-1.232,-1.837,0.835,0.595,2.063,,,
ACT,🏦majority,2.799,6.834,,4.547,0.438,-3.817,,,,
ADBE,🏦majority,-2.734,13.338,6.958,-3.307,3.231,0.963,4.589,,,
ADEA,🏦majority,5.805,18.567,,8.031,1.818,-1.798,,,,
ADI,⚡panic,1.785,10.777,28.215,2.699,1.116,-2.443,,,,
ADM,🏦majority,0.196,10.786,1.832,-1.89,6.314,-0.117,-0.722,,,
ADP,🏦majority,0.235,8.924,-0.767,3.976,1.381,-3.84,,,,
ADPT,🏦majority,-1.278,24.149,-18.058,-2.693,-11.921,,,,,
ADSK,🏦majority,-0.699,11.106,-0.266,3.329,-0.433,-2.218,,,,
ADTN,🎲chase,-0.894,21.979,-2.313,2.513,2.6,-3.715,-7.915,,,
ADUS,🏦majority,1.03,10.779,10.556,0.631,-0.699,-2.935,,,,
AEE,🏦majority,1.416,6.737,5.72,1.76,-2.022,-2.476,,,,
AEHR,🏦majority,0.606,34.181,-6.591,-4.856,3.032,7.289,,,,
AEIS,⚡panic,3.032,14.962,42.204,7.123,-2.051,3.733,,,,
AEM,🏦majority,2.832,14.137,-7.077,-3.369,-1.253,-3.507,,,,
AEP,🏦majority,1.412,7.21,4.221,1.766,-0.49,-2.383,,-1.796,,
AFL,🏦majority,2.37,7.115,,2.883,-0.925,-1.031,,,,
AFRM,🎲chase,-1.183,33.23,1.742,-3.48,12.4,-6.558,,,,
AGEN,🏦majority,-11.117,28.476,15.784,-5.212,1.647,,2.766,,,
AGI,🏦majority,3.535,14.4,-4.578,3.295,1.51,-0.151,,,,-6.474
AGIO,🏦majority,-0.675,20.967,-5.653,6.178,-4.234,-1.665,1.305,,,
AGNC,🏦majority,-0.301,10.918,7.736,2.698,-2.991,-5.309,6.735,,,
AGYS,🏦majority,1.136,20.511,7.768,2.366,4.743,3.12,,,,
AHCO,🏦majority,-1.785,18.29,2.032,6.428,-1.309,-6.96,,,,
AI,🏦majority,-7.812,25.125,9.314,6.912,-5.753,-2.938,8.692,,,
AIG,🏦majority,2.273,8.142,10.16,1.721,-4.448,2.424,,,,
AIZ,🏦majority,1.604,8.924,1.501,1.184,-2.017,-0.134,,,,
AKAM,🏦majority,0.692,12.103,8.48,-2.459,-0.721,0.985,,,,
ALB,🏦majority,-0.804,20.471,7.161,-5.737,-9.199,-4.205,-5.905,,,
ALGM,🏦majority,0.502,20.888,6.979,0.965,-6.342,-7.158,,,,-16.839
ALGN,🏦majority,-3.864,18.682,6.558,-1.099,6.143,5.252,0.107,,,
ALGT,🏦majority,-2.307,22.829,0.796,-4.227,11.891,7.835,-3.865,,,-16.22
ALHC,🏦majority,4.607,23.938,-7.752,0.932,-9.51,3.32,11.943,,,
ALK,🏦majority,1.705,17.023,5.778,4.091,-5.096,-5.752,-1.288,,,-11.398
ALKS,🏦majority,2.887,14.115,10.906,3.624,-0.49,-3.573,,,,
ALKT,🏦majority,0.288,17.255,4.409,-4.824,-14.514,1.959,,,,
ALLE,🏦majority,-1.111,9.896,5.732,1.359,3.765,2.476,,,,
ALNY,🏦majority,-0.483,19.427,3.761,1.568,-2.436,5.128,,,,
ALRM,🏦majority,-2.133,10.38,7.274,0.457,-2.937,-5.368,,,,
ALT,🏦majority,-8.402,30.778,18.269,5.475,4.399,-4.529,,,,
AMAL,⚡panic,5.043,16.249,35.218,-3.474,-9.829,0.402,,,,
AMAT,🏦majority,5.23,16.403,17.647,-5.218,-2.525,-0.933,,,,
AMBA,🏦majority,0.574,24.341,23.277,-5.549,4.06,3.789,,-0.56,,
AMCX,🏦majority,-8.711,22.362,15.147,-0.162,-0.056,-7.509,9.466,,,
AMD,🎲chase,2.622,23.104,12.276,-0.798,9.186,-5.259,,,,
AMGN,🏦majority,1.438,9.489,9.44,5.029,0.548,-2.726,,,,
AMKR,🏦majority,1.715,20.721,-0.999,1.379,1.865,9.547,,,,
AMLX,🏦majority,0.634,30.725,-10.731,-15.6,-30.634,3.14,,,,
AMP,🏦majority,2.488,9.761,18.131,2.581,0.983,1.013,,,,
AMPH,🏦majority,-0.485,19.042,-3.289,2.035,-2.733,6.675,3.236,-5.935,,
AMPL,🎲chase,-5.394,20.944,-3.369,4.244,4.328,0.516,,,,
AMRX,🏦majority,6.77,12.22,,-1.716,2.879,-3.329,,,,
AMSC,🏦majority,7.641,33.391,,5.667,16.768,6.761,,,,-20.693
AMSF,🏦majority,-3.34,8.358,-0.527,1.086,-1.753,0.375,-1.099,,,
AMT,🏦majority,-1.617,9.866,14.201,0.014,0.229,-2.246,5.914,,,
AMWD,🏦majority,-2.9,15.632,0.571,0.0,0.585,-2.225,2.138,,,
AMZN,🏦majority,2.591,12.855,-0.649,1.164,1.665,-0.894,,2.402,,
ANAB,🏦majority,3.705,23.01,20.858,-2.442,12.599,4.158,,,,
ANDE,🏦majority,3.294,13.517,3.416,-4.086,5.447,0.552,,,,-18.833
ANGI,🏦majority,-12.671,21.72,12.852,-1.465,-14.014,,14.35,,,
ANGO,🏦majority,-1.26,20.048,-4.13,8.073,-4.597,-2.57,,,,
ANIP,⚡panic,1.804,16.347,20.9,2.247,1.706,2.35,,,,
AON,🏦majority,0.578,8.513,7.772,2.568,-2.043,-3.183,,,,
AOS,🏦majority,-0.395,10.388,4.137,-0.942,-1.579,-0.42,,,,
AOSL,🏦majority,1.186,24.566,18.424,2.863,-1.954,-1.413,13.64,,,
APA,🏦majority,1.177,18.146,10.878,-5.192,0.794,4.602,,,,
APD,🏦majority,0.325,9.737,1.738,1.606,-2.104,-1.757,,,,
APGE,🎲chase,4.026,28.175,-1.811,5.366,4.143,0.0,,,,
APH,🏦majority,5.363,10.871,20.996,4.199,-3.678,-1.181,,,,
APOG,🏦majority,2.16,12.804,-7.698,1.934,1.991,2.991,,,,
APP,🏦majority,7.409,31.114,-17.467,-3.696,-3.422,13.419,-24.955,,,
APPF,🏦majority,-0.238,13.159,-1.087,0.238,0.633,-4.545,,,,
APPN,🏦majority,-6.753,16.471,25.381,3.534,-1.983,4.669,,,,
APPS,🏦majority,-10.489,27.211,26.224,-11.133,6.643,-11.282,21.198,,,
APTV,🏦majority,-2.773,13.634,13.442,0.545,-7.688,-0.31,12.717,,,
ARCB,🏦majority,1.474,18.586,0.741,0.035,-1.416,5.307,,,,
ARCC,🏦majority,1.095,6.021,5.344,1.565,0.591,-2.628,,,,
ARCT,🏦majority,-4.658,28.211,36.321,-0.144,-5.864,-6.447,14.764,,,
ARE,🎰lottery,-1.924,13.49,9.116,-1.889,-5.797,-4.357,-0.127,,,-27.861
ARHS,🎲chase,0.193,25.226,4.983,5.896,0.961,-8.918,1.643,,,
ARLP,🏦majority,1.782,13.568,,1.481,-4.634,2.067,,-7.267,,
ARQT,🎲chase,-0.077,23.441,-0.726,-5.889,5.776,-0.063,-3.057,,,
ARRY,🏦majority,-0.766,25.949,21.482,1.821,0.377,-7.713,23.461,,,
ARVN,🎲chase,-6.496,23.049,11.802,-4.059,23.552,-8.632,5.646,,,
ARWR,🏦majority,-2.66,24.984,37.76,-1.891,-11.881,16.74,6.665,,,-15.027
ASAN,🎲chase,-6.101,25.607,-2.283,1.597,-8.491,-3.607,-3.593,,,
ASND,🏦majority,2.714,14.591,22.888,-2.342,-4.474,-0.77,,,,
ASO,🏦majority,0.818,15.093,14.289,4.344,-6.07,-0.423,,,,
ASTE,🏦majority,0.651,16.794,11.41,4.578,-5.535,-0.397,,,,
ASTL,🏦majority,-2.717,18.436,5.611,0.803,-4.331,2.717,,,,
ASTS,🎰lottery,-0.847,31.655,60.847,3.548,-7.511,-7.458,,,,-50.445
ATEC,🎲chase,-0.928,24.713,12.873,-6.964,2.882,-1.785,,,,
ATEX,🏦majority,-1.788,21.729,-4.208,3.676,-4.617,2.614,,,,
ATO,🏦majority,1.761,6.433,3.969,3.42,0.242,1.185,,,,
ATRC,🏦majority,-2.305,16.256,3.028,0.423,-1.554,-0.348,,,,
AUPH,🎲chase,0.257,23.321,5.055,-3.6,3.502,-0.997,,,,
AVAV,🏦majority,1.588,22.634,27.956,-0.213,0.198,-15.581,11.466,,,-14.437
AVB,🏦majority,-0.098,7.424,7.164,-1.702,-3.035,0.06,,,,
AVGO,🏦majority,6.244,15.684,10.482,2.777,-2.369,-0.444,,,,
