ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,-0.476,10.927,8.118,-0.509,2.719,-1.625,-0.002,,,
AA,🏦majority,3.463,21.857,8.881,-7.089,-0.002,8.793,,,,
AAL,🏦majority,0.447,18.016,4.509,2.203,1.287,3.762,-5.176,,,
AAOI,🏦majority,5.034,37.945,38.915,17.765,28.349,12.496,,,,
AAON,🏦majority,5.983,19.131,-5.926,6.631,-5.179,-5.692,,,,
AAP,⚡panic,-3.359,18.828,6.827,-1.307,-4.884,-8.073,6.257,,,
AAPL,🏦majority,2.07,9.883,7.073,4.195,-4.27,-0.308,,,,
AAT,🏦majority,-0.812,11.37,5.862,-0.646,-1.31,-0.245,-3.075,,,
AB,🏦majority,-0.06,7.889,17.103,-0.879,-2.558,-2.095,,,,
ABBV,🏦majority,2.872,9.611,6.005,4.026,1.069,-0.319,,,,-9.289
ABCB,🏦majority,3.353,12.33,3.258,5.992,-2.744,-4.109,,,,
ABG,🏦majority,1.236,11.716,0.765,3.042,-2.534,-7.084,,,,
ABM,🏦majority,0.398,9.141,5.864,3.624,-7.476,-3.442,,,,
ABNB,🏦majority,1.176,14.193,14.172,1.261,-4.392,-0.501,,,,
ABR,⚡panic,-2.972,13.75,0.5,3.088,0.038,-4.929,8.743,,,
ABT,🏦majority,-1.195,8.329,-2.727,-0.058,2.201,0.353,,,,
ACA,🏦majority,4.238,11.363,8.189,9.794,-0.387,-0.419,,,,
ACAD,🏦majority,2.032,18.966,2.944,2.257,4.388,-1.839,-9.545,,,
ACDC,⚡panic,-6.414,19.377,11.894,0.685,-2.619,3.974,,,,
ACGL,🏦majority,2.84,8.176,,-0.524,-3.862,-0.939,,,,
ACHC,🏦majority,-1.556,19.263,-1.107,4.495,0.658,-2.43,-8.879,,,
ACI,🏦majority,-1.365,12.24,2.877,-0.47,-0.846,0.025,1.799,,,
ACIW,🏦majority,0.238,13.279,-0.286,-0.826,-5.064,2.875,,,,
ACLS,🏦majority,1.572,22.775,-12.984,-0.594,-0.288,9.394,-9.286,,,
ACM,🏦majority,1.622,10.195,-7.223,6.051,2.172,2.085,,,,
