ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,-0.476,10.927,8.118,-0.509,2.719,-1.625,-0.002,,,
AAL,🎰lottery,0.447,18.016,4.509,2.203,1.287,3.762,-5.176,,,
AAPL,🏦majority,2.07,9.883,7.073,4.195,-4.27,-0.308,,,,
ABBV,🏦majority,2.872,9.611,6.005,4.026,1.069,-0.319,,,,-9.289
ABNB,🏦majority,1.176,14.193,14.172,1.261,-4.392,-0.501,,,,
ABT,🏦majority,-1.195,8.329,-2.727,-0.058,2.201,0.353,,,,
ACGL,🏦majority,2.84,8.176,,-0.524,-3.862,-0.939,,,,
ACN,🏦majority,-0.051,11.047,-1.232,-1.837,0.835,0.595,2.063,,,
ADBE,⚡panic,-2.734,13.338,6.958,-3.307,3.231,0.963,4.589,,,
ADI,🏦majority,1.785,10.777,28.215,2.699,1.116,-2.443,,,,
ADM,🏦majority,0.196,10.786,1.832,-1.89,6.314,-0.117,-0.722,,,
ADP,🏦majority,0.235,8.924,-0.767,3.976,1.381,-3.84,,,,
ADSK,🏦majority,-0.699,11.106,-0.266,3.329,-0.433,-2.218,,,,
AEE,🏦majority,1.416,6.737,5.72,1.76,-2.022,-2.476,,,,
AEM,🏦majority,2.832,14.137,-7.077,-3.369,-1.253,-3.507,,,,
AEP,🏦majority,1.412,7.21,4.221,1.766,-0.49,-2.383,,-1.796,,
AES,⚡panic,-1.269,13.936,3.256,3.392,-3.175,-4.386,4.851,,,
AFL,🏦majority,2.37,7.115,,2.883,-0.925,-1.031,,,,
AFRM,🎰lottery,-1.183,33.23,1.742,-3.48,12.4,-6.558,,,,
AGI,🏦majority,3.535,14.4,-4.578,3.295,1.51,-0.151,,,,-6.474
AI,⚡panic,-7.812,25.125,9.314,6.912,-5.753,-2.938,8.692,,,
AIG,🏦majority,2.273,8.142,10.16,1.721,-4.448,2.424,,,,
AIZ,🏦majority,1.604,8.924,1.501,1.184,-2.017,-0.134,,,,
AJG,🏦majority,2.376,8.845,0.046,-3.693,4.022,-3.257,,,,
AKAM,🏦majority,0.692,12.103,8.48,-2.459,-0.721,0.985,,,,
ALB,🎰lottery,-0.804,20.471,7.161,-5.737,-9.199,-4.205,-5.905,,,
ALGN,🎰lottery,-3.864,18.682,6.558,-1.099,6.143,5.252,0.107,,,
ALK,🏦majority,1.705,17.023,5.778,4.091,-5.096,-5.752,-1.288,,,-11.398
ALL,🏦majority,2.117,8.333,9.427,1.924,-0.054,0.12,,-2.462,,
ALLE,🏦majority,-1.111,9.896,5.732,1.359,3.765,2.476,,,,
AMAT,🏦majority,5.23,16.403,17.647,-5.218,-2.525,-0.933,,,,
AMCR,🏦majority,-1.633,8.091,3.982,1.46,-1.403,-1.744,1.865,,,
AMD,⚡panic,2.622,23.104,12.276,-0.798,9.186,-5.259,,,,
AME,🏦majority,2.019,7.84,10.636,2.786,-1.264,-0.425,,,,
AMGN,🏦majority,1.438,9.489,9.44,5.029,0.548,-2.726,,,,
AMP,🏦majority,2.488,9.761,18.131,2.581,0.983,1.013,,,,
AMT,⚡panic,-1.617,9.866,14.201,0.014,0.229,-2.246,5.914,,,
AMZN,🏦majority,2.591,12.855,-0.649,1.164,1.665,-0.894,,2.402,,
ANET,🏦majority,8.168,16.961,17.04,7.263,-1.594,-5.235,,,,-16.16
AON,🏦majority,0.578,8.513,7.772,2.568,-2.043,-3.183,,,,
AOS,🏦majority,-0.395,10.388,4.137,-0.942,-1.579,-0.42,,,,
APA,🎰lottery,1.177,18.146,10.878,-5.192,0.794,4.602,,,,
APD,🏦majority,0.325,9.737,1.738,1.606,-2.104,-1.757,,,,
APH,🏦majority,5.363,10.871,20.996,4.199,-3.678,-1.181,,,,
APO,🏦majority,2.337,14.243,17.798,1.756,2.539,-0.72,,,,
APP,🎰lottery,7.409,31.114,-17.467,-3.696,-3.422,13.419,-24.955,,,
APPN,⚡panic,-6.753,16.471,25.381,3.534,-1.983,4.669,,,,
