ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AAL,🎰lottery,0.192,9.271,-1.414,-0.3,0.701,0.236,-1.113,-0.278,0.094,-7.717
AAOI,🏦majority,1.278,24.365,4.978,-2.105,2.294,5.451,0.477,5.52,7.586,-12.344
AAON,🏦majority,0.738,9.57,-0.607,0.112,2.538,-0.847,-0.794,0.826,-0.397,-0.423
AAPL,🏦majority,1.004,5.29,1.45,-1.028,-0.127,-0.547,-0.071,-1.362,-0.833,-2.282
ABBV,🏦majority,0.919,4.822,-0.063,-0.135,-0.188,0.164,0.847,0.801,1.995,-0.644
ABCL,🏦majority,-1.781,13.242,0.234,0.98,2.228,0.6,0.643,-2.033,4.348,-12.12
ABNB,🏦majority,0.311,8.159,1.139,0.039,0.002,0.082,-0.812,-0.849,1.608,-8.277
ABT,🏦majority,0.245,4.345,0.267,-0.556,0.148,0.032,-1.283,0.098,1.422,-3.935
ACAD,🏦majority,-0.121,10.034,-0.433,0.254,-0.066,-0.15,-0.022,-2.677,-0.75,-8.677
ACB,🏦majority,-3.743,16.025,2.416,0.506,0.382,0.517,0.433,2.902,-2.779,
ACDC,⚡panic,-2.29,13.898,6.411,0.511,-2.233,-1.636,6.406,5.583,-2.716,
ACGL,🏦majority,0.889,4.424,1.058,-0.026,-0.147,-0.066,-0.664,0.612,-0.096,0.151
ACHC,🏦majority,-0.493,9.833,-0.178,0.972,0.348,-0.484,1.669,-0.888,-0.562,-5.429
ACIW,🏦majority,0.28,6.631,0.37,0.388,-0.543,-0.538,0.651,1.102,1.503,-2.163
ACLS,🏦majority,0.731,11.206,0.716,-1.378,-1.068,1.493,0.222,2.49,-0.251,-1.613
ACMR,⚡panic,1.676,16.15,2.195,0.271,-1.197,1.042,2.033,1.162,-2.213,-3.734
ACN,🏦majority,-0.305,6.309,-0.612,-0.054,0.548,0.496,-0.184,0.031,0.236,-4.553
ACT,🏦majority,0.738,5.368,1.707,0.959,1.12,-0.596,0.347,0.427,-0.078,-4.37
ADBE,🏦majority,-0.122,7.457,0.842,-0.812,-0.356,0.528,-0.153,2.857,0.319,-3.898
ADEA,⚡panic,2.299,11.227,0.814,0.768,3.938,-1.025,2.247,1.736,-1.603,-12.346
ADI,⚡panic,0.509,5.962,1.914,0.155,-1.478,-0.527,2.407,0.33,-0.563,-1.781
ADM,🏦majority,0.339,5.392,0.323,-0.147,0.179,0.106,-0.899,-0.212,2.567,-5.479
ADMA,🏦majority,0.937,13.256,1.181,-1.9,0.01,0.695,-0.539,3.033,-1.8,
ADP,🏦majority,0.339,4.505,0.187,-0.477,-0.433,-0.119,-0.457,-1.115,-0.738,-3.719
ADPT,🏦majority,0.0,13.843,1.037,0.154,-1.939,-0.204,0.065,1.256,0.243,-8.449
ADSK,🏦majority,-0.008,6.737,1.568,-0.13,-0.054,0.406,0.44,-0.257,-1.031,-5.592
ADTN,🎰lottery,-0.548,11.67,-1.428,0.271,2.099,1.835,-3.63,-0.821,-2.285,-11.168
ADUS,🏦majority,0.247,6.99,1.059,0.511,-0.105,0.49,1.052,-0.623,2.217,-5.751
AEE,🏦majority,0.468,3.658,0.459,0.25,-0.211,-0.245,0.35,0.079,0.106,-3.529
AEHR,🏦majority,1.094,21.196,2.326,-1.735,5.754,2.921,2.575,-0.907,-0.82,-7.007
AEIS,🏦majority,0.964,8.123,-0.82,1.138,-0.508,-0.9,-0.06,1.435,0.699,-6.362
AEM,🏦majority,0.897,7.327,0.85,-0.363,1.101,0.586,-1.344,-1.375,0.297,-3.873
AEP,🏦majority,0.449,3.995,0.381,-0.125,0.142,0.252,0.232,-0.674,0.507,-3.172
AEVA,🎰lottery,-2.191,23.064,-1.923,-1.314,2.191,-0.472,-7.227,-2.661,-6.661,
AFL,🏦majority,0.845,4.01,1.68,0.864,0.341,-0.446,1.571,-0.168,1.639,-4.417
AFRM,🏦majority,-0.007,18.602,-0.793,-1.582,-2.776,-1.103,-3.868,-4.284,-0.471,-11.948
AGI,🏦majority,1.405,7.837,0.909,0.163,0.694,0.295,-0.004,-0.652,0.23,-5.356
AGIO,🏦majority,0.0,11.473,-0.673,1.441,0.536,-0.61,0.132,-2.606,2.463,-6.047
AGNC,🏦majority,0.107,5.423,-0.888,0.086,-0.005,-0.238,0.339,0.361,0.691,-3.835
AGYS,🏦majority,0.07,10.062,1.707,-0.396,-0.461,-0.697,1.813,-3.669,1.892,-5.897
AHCO,🎰lottery,-0.289,10.956,-1.282,1.781,-1.461,-0.735,-0.908,-0.251,-2.427,-9.165
