ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,0.168,5.784,-0.168,0.366,0.616,-0.252,-0.017,0.39,-1.081,-4.143
AA,⚡panic,0.766,11.097,1.762,0.253,-0.951,-0.742,2.03,-2.109,0.509,-2.676
AAL,🎰lottery,0.192,9.271,-1.414,-0.3,0.701,0.236,-1.113,-0.278,0.094,-7.717
AAOI,🏦majority,1.278,24.365,4.978,-2.105,2.294,5.451,0.477,5.52,7.586,-12.344
AAON,🏦majority,0.738,9.57,-0.607,0.112,2.538,-0.847,-0.794,0.826,-0.397,-0.423
AAP,⚡panic,-0.032,10.355,1.513,0.189,-0.725,-0.328,2.047,0.103,0.518,-2.431
AAPL,🏦majority,1.004,5.29,1.45,-1.028,-0.127,-0.547,-0.071,-1.362,-0.833,-2.282
AAT,🏦majority,-0.125,5.973,-0.137,-0.087,-0.14,-1.337,0.395,-0.998,-0.075,-10.472
AB,🏦majority,-0.21,5.277,1.006,0.403,1.033,-0.66,0.266,-0.416,0.206,-1.82
ABBV,🏦majority,0.919,4.822,-0.063,-0.135,-0.188,0.164,0.847,0.801,1.995,-0.644
ABCB,🏦majority,0.783,6.382,-0.733,0.138,0.17,-0.195,-0.91,0.354,-0.213,-8.684
ABCL,🎰lottery,-1.781,13.242,0.234,0.98,2.228,0.6,0.643,-2.033,4.348,-12.12
ABG,🏦majority,0.092,7.34,1.036,0.461,0.602,0.798,0.588,-0.395,0.399,-6.553
ABM,🏦majority,0.791,5.788,0.721,0.495,0.438,-0.241,0.841,-1.827,0.518,-3.467
ABNB,🏦majority,0.311,8.159,1.139,0.039,0.002,0.082,-0.812,-0.849,1.608,-8.277
ABR,⚡panic,-0.33,7.307,0.565,0.132,-1.118,-1.123,0.98,-0.49,-0.334,-5.801
ABT,🏦majority,0.245,4.345,0.267,-0.556,0.148,0.032,-1.283,0.098,1.422,-3.935
ACA,🏦majority,0.462,6.693,0.653,0.8,0.823,-0.805,0.027,-0.937,2.868,-2.379
ACAD,🎰lottery,-0.121,10.034,-0.433,0.254,-0.066,-0.15,-0.022,-2.677,-0.75,-8.677
ACB,🏦majority,-3.743,16.025,2.416,0.506,0.382,0.517,0.433,2.902,-2.779,
ACDC,⚡panic,-2.29,13.898,6.411,0.511,-2.233,-1.636,6.406,5.583,-2.716,
ACGL,🏦majority,0.889,4.424,1.058,-0.026,-0.147,-0.066,-0.664,0.612,-0.096,0.151
ACHC,🏦majority,-0.493,9.833,-0.178,0.972,0.348,-0.484,1.669,-0.888,-0.562,-5.429
ACI,🏦majority,-0.288,6.348,0.238,0.251,0.455,0.192,0.623,0.518,0.389,-3.898
ACIW,🏦majority,0.28,6.631,0.37,0.388,-0.543,-0.538,0.651,1.102,1.503,-2.163
ACLS,🏦majority,0.731,11.206,0.716,-1.378,-1.068,1.493,0.222,2.49,-0.251,-1.613
ACM,🏦majority,0.331,4.967,0.427,-0.403,-0.541,-0.407,-0.233,0.049,0.561,-8.291
ACMR,🏦majority,1.676,16.15,2.195,0.271,-1.197,1.042,2.033,1.162,-2.213,-3.734
ACN,🏦majority,-0.305,6.309,-0.612,-0.054,0.548,0.496,-0.184,0.031,0.236,-4.553
ACT,🏦majority,0.738,5.368,1.707,0.959,1.12,-0.596,0.347,0.427,-0.078,-4.37
ACVA,⚡panic,-0.255,11.387,0.687,0.255,-1.284,-0.053,1.071,-3.789,0.255,-9.347
ADBE,🏦majority,-0.122,7.457,0.842,-0.812,-0.356,0.528,-0.153,2.857,0.319,-3.898
ADC,🏦majority,0.007,3.419,-0.138,-0.074,0.036,-0.217,-0.303,0.398,0.503,-1.557
ADEA,🎰lottery,2.299,11.227,0.814,0.768,3.938,-1.025,2.247,1.736,-1.603,-12.346
ADI,⚡panic,0.509,5.962,1.914,0.155,-1.478,-0.527,2.407,0.33,-0.563,-1.781
ADM,🏦majority,0.339,5.392,0.323,-0.147,0.179,0.106,-0.899,-0.212,2.567,-5.479
ADMA,🏦majority,0.937,13.256,1.181,-1.9,0.01,0.695,-0.539,3.033,-1.8,
ADNT,⚡panic,-0.47,8.998,2.328,0.008,-1.714,-0.698,2.54,-1.396,0.606,-5.593
ADP,🏦majority,0.339,4.505,0.187,-0.477,-0.433,-0.119,-0.457,-1.115,-0.738,-3.719
ADPT,🏦majority,0.0,13.843,1.037,0.154,-1.939,-0.204,0.065,1.256,0.243,-8.449
ADSK,🏦majority,-0.008,6.737,1.568,-0.13,-0.054,0.406,0.44,-0.257,-1.031,-5.592
ADT,🏦majority,0.0,6.046,0.943,0.952,-0.316,-0.746,1.116,-0.768,0.995,-1.811
ADTN,🎰lottery,-0.548,11.67,-1.428,0.271,2.099,1.835,-3.63,-0.821,-2.285,-11.168
ADUS,🏦majority,0.247,6.99,1.059,0.511,-0.105,0.49,1.052,-0.623,2.217,-5.751
AEE,🏦majority,0.468,3.658,0.459,0.25,-0.211,-0.245,0.35,0.079,0.106,-3.529
AEG,🏦majority,0.997,4.811,1.245,0.707,0.565,-1.161,1.504,0.539,0.651,
AEHR,🏦majority,1.094,21.196,2.326,-1.735,5.754,2.921,2.575,-0.907,-0.82,-7.007
AEIS,🏦majority,0.964,8.123,-0.82,1.138,-0.508,-0.9,-0.06,1.435,0.699,-6.362
AEM,🏦majority,0.897,7.327,0.85,-0.363,1.101,0.586,-1.344,-1.375,0.297,-3.873
AEO,🏦majority,-0.773,10.191,1.247,-1.307,1.114,0.547,-0.45,2.902,1.027,-7.362
AEP,🏦majority,0.449,3.995,0.381,-0.125,0.142,0.252,0.232,-0.674,0.507,-3.172
AER,⚡panic,1.193,6.079,3.622,0.362,0.238,-0.359,2.322,0.58,-0.339,-3.262
AES,🏦majority,-0.45,7.69,-0.713,-0.003,-0.05,-0.229,0.405,0.272,0.61,-5.052
AESI,🏦majority,0.151,10.644,1.019,-0.091,-0.101,-1.528,-0.06,1.188,1.935,-6.449
AEVA,🎰lottery,-2.191,23.064,-1.923,-1.314,2.191,-0.472,-7.227,-2.661,-6.661,
AFG,🏦majority,0.307,3.903,2.173,0.301,-0.287,-0.705,2.12,-0.093,-1.666,-0.809
AFL,🏦majority,0.845,4.01,1.68,0.864,0.341,-0.446,1.571,-0.168,1.639,-4.417
AFRM,🎰lottery,-0.007,18.602,-0.793,-1.582,-2.776,-1.103,-3.868,-4.284,-0.471,-11.948
AG,🏦majority,-0.743,12.292,-0.438,0.306,0.307,1.91,-0.3,1.414,-0.473,-8.537
AGCO,⚡panic,-0.061,6.632,2.241,0.689,-1.114,-1.267,2.647,-1.299,0.701,-4.239
AGI,🏦majority,1.405,7.837,0.909,0.163,0.694,0.295,-0.004,-0.652,0.23,-5.356
AGIO,🎰lottery,0.0,11.473,-0.673,1.441,0.536,-0.61,0.132,-2.606,2.463,-6.047
AGL,🎰lottery,-1.672,18.873,-0.825,0.59,0.403,-0.782,-0.588,3.576,-3.591,-11.38
AGM,🏦majority,1.227,8.114,-0.768,0.396,-0.876,-0.252,-1.932,0.522,2.804,-0.155
AGNC,🏦majority,0.107,5.423,-0.888,0.086,-0.005,-0.238,0.339,0.361,0.691,-3.835
AGO,🏦majority,0.662,5.09,0.581,-0.117,-0.298,-0.029,0.572,0.466,-1.028,-4.859
AGRO,🏦majority,-0.238,9.559,1.91,0.42,-0.021,-0.016,-0.439,-0.259,-0.173,-10.912
AGX,🏦majority,4.827,11.585,0.474,0.276,-1.149,-0.944,0.56,-1.92,-4.349,-1.181
AGYS,⚡panic,0.07,10.062,1.707,-0.396,-0.461,-0.697,1.813,-3.669,1.892,-5.897
AHCO,🎰lottery,-0.289,10.956,-1.282,1.781,-1.461,-0.735,-0.908,-0.251,-2.427,-9.165
AHR,🏦majority,2.12,5.719,1.131,1.281,-0.615,-0.131,0.29,-0.32,-0.649,
AI,🎰lottery,-1.964,14.32,0.936,0.274,-0.251,-0.816,-0.625,1.134,-5.575,-10.094
AIG,🏦majority,0.813,4.832,0.693,0.351,0.231,-0.23,0.709,-0.951,0.217,-1.671
AIN,🏦majority,0.449,6.335,1.397,0.166,0.137,-0.871,0.992,-1.322,-0.245,-3.463
AIR,🏦majority,1.655,7.162,-0.164,0.383,1.311,0.356,0.006,0.696,-1.294,-1.385
AIT,🏦majority,0.989,5.273,1.006,0.571,-0.635,-0.258,2.666,-0.031,-0.134,-2.313
AIV,🏦majority,0.13,6.446,-1.165,1.048,-0.251,-0.389,0.374,2.477,0.887,-4.084
AIZ,🏦majority,0.65,4.637,1.073,0.255,0.408,-0.704,0.599,-0.934,-0.341,-3.295
AJG,🏦majority,1.094,4.65,0.349,0.499,0.359,-0.617,0.428,0.598,0.78,-1.029
AKAM,🏦majority,0.364,7.615,1.539,-0.377,0.261,-0.595,0.511,-0.095,0.457,-5.182
AKR,🏦majority,0.333,5.123,1.213,0.066,-0.796,-0.236,0.325,-0.908,0.47,-1.15
ALB,🏦majority,-0.011,10.456,-0.48,-0.435,0.158,-0.797,-0.48,-0.409,1.736,-4.573
ALC,🏦majority,0.246,5.312,0.194,0.353,0.473,-0.453,0.337,1.283,0.201,-8.566
ALG,🏦majority,0.233,7.011,-0.153,0.831,0.095,-1.286,-0.029,-0.12,-0.584,-4.495
ALGM,🎰lottery,0.633,11.143,-1.268,1.515,0.638,1.08,-0.958,2.12,-3.412,-3.688
ALGN,🎰lottery,-0.312,9.575,-0.793,-0.012,0.768,0.394,-1.587,-1.224,-0.489,-8.953
ALGT,🏦majority,-0.061,10.757,-1.564,-0.396,-1.513,-0.169,0.13,0.193,-0.025,-9.512
ALHC,🎰lottery,-0.058,14.759,-0.212,-0.972,-0.384,-1.185,0.872,-1.989,4.333,-15.394
ALIT,🎰lottery,-0.893,11.466,0.893,0.143,-0.055,-0.389,0.308,-0.543,-2.966,-15.846
ALK,🎰lottery,0.516,8.748,-3.172,0.359,0.279,1.192,-3.004,0.582,0.448,-6.85
ALKS,🏦majority,0.288,7.29,0.931,0.45,0.329,-0.319,0.679,-0.746,-2.539,-3.76
ALKT,🏦majority,0.241,10.975,1.384,-0.352,-1.118,-0.3,-1.939,2.961,-0.208,-11.636
ALL,🏦majority,0.728,4.828,0.599,0.644,0.44,0.181,0.636,0.127,0.332,-0.655
ALLE,🏦majority,-0.025,4.977,0.15,-0.109,-0.304,-0.697,-0.531,-1.283,0.338,-2.464
ALLY,⚡panic,0.23,7.172,3.227,0.041,-0.165,-0.472,1.167,0.585,-1.318,-6.181
ALNY,🏦majority,-0.059,10.33,-0.432,0.536,0.794,-0.707,2.093,0.413,0.548,-7.354
ALRM,🏦majority,-0.525,6.02,1.673,-0.653,0.149,0.316,1.43,0.389,-1.122,-6.204
ALSN,🏦majority,0.725,5.853,0.785,-0.527,-0.809,-0.394,0.435,-0.717,1.089,-2.538
ALT,🏦majority,-1.781,19.394,3.37,-2.778,-2.181,1.561,1.001,-2.303,-3.035,-27.818
ALV,🏦majority,0.454,5.975,0.851,0.526,0.256,-0.631,1.718,-1.054,0.873,-1.604
AM,🏦majority,0.848,4.908,1.252,0.223,0.81,-0.69,0.269,-0.174,-0.371,-1.194
AMAT,🏦majority,1.415,8.558,1.107,0.174,1.031,-0.347,-1.087,0.417,-0.524,-5.577
AMBA,🏦majority,0.408,12.557,0.139,-2.459,1.008,-0.538,-0.781,1.849,3.021,-7.164
AMC,⚡panic,-4.264,21.588,3.75,-0.158,2.913,-2.362,1.932,-1.902,3.668,-14.692
AMCR,🏦majority,-0.182,4.413,0.762,-0.257,-0.061,-1.092,0.86,0.189,0.693,-2.374
AMCX,🎰lottery,-1.567,13.307,0.09,0.42,0.02,-0.411,0.744,-0.574,1.755,-11.702
AMD,🏦majority,0.712,11.439,-0.015,-1.244,0.725,2.142,-0.819,0.75,-2.534,-7.138
AME,🏦majority,0.418,4.125,1.014,-0.103,-0.406,0.047,-0.16,0.624,0.347,-3.518
AMG,🏦majority,0.815,6.029,-0.043,0.115,-0.246,-0.952,0.077,-1.416,-0.052,-5.413
AMGN,🏦majority,0.283,4.662,-0.641,-0.359,0.782,0.56,-0.165,-0.71,-0.292,-4.907
AMH,🏦majority,0.174,4.11,1.42,-0.141,-0.284,-0.414,1.529,0.031,-0.064,-3.581
