ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,0.168,5.784,-0.168,0.366,0.616,-0.252,-0.017,0.39,-1.081,-4.143
AAL,🏦majority,0.192,9.271,-1.414,-0.3,0.701,0.236,-1.113,-0.278,0.094,-7.717
AAPL,🏦majority,1.004,5.29,1.45,-1.028,-0.127,-0.547,-0.071,-1.362,-0.833,-2.282
ABBV,🏦majority,0.919,4.822,-0.063,-0.135,-0.188,0.164,0.847,0.801,1.995,-0.644
ABNB,🏦majority,0.311,8.159,1.139,0.039,0.002,0.082,-0.812,-0.849,1.608,-8.277
ABT,🏦majority,0.245,4.345,0.267,-0.556,0.148,0.032,-1.283,0.098,1.422,-3.935
ACGL,🏦majority,0.889,4.424,1.058,-0.026,-0.147,-0.066,-0.664,0.612,-0.096,0.151
ACN,🏦majority,-0.305,6.309,-0.612,-0.054,0.548,0.496,-0.184,0.031,0.236,-4.553
ADBE,🏦majority,-0.122,7.457,0.842,-0.812,-0.356,0.528,-0.153,2.857,0.319,-3.898
ADI,⚡panic,0.509,5.962,1.914,0.155,-1.478,-0.527,2.407,0.33,-0.563,-1.781
ADM,🏦majority,0.339,5.392,0.323,-0.147,0.179,0.106,-0.899,-0.212,2.567,-5.479
ADP,🏦majority,0.339,4.505,0.187,-0.477,-0.433,-0.119,-0.457,-1.115,-0.738,-3.719
ADSK,🏦majority,-0.008,6.737,1.568,-0.13,-0.054,0.406,0.44,-0.257,-1.031,-5.592
AEE,🏦majority,0.468,3.658,0.459,0.25,-0.211,-0.245,0.35,0.079,0.106,-3.529
AEM,🏦majority,0.897,7.327,0.85,-0.363,1.101,0.586,-1.344,-1.375,0.297,-3.873
AEP,🏦majority,0.449,3.995,0.381,-0.125,0.142,0.252,0.232,-0.674,0.507,-3.172
AES,🏦majority,-0.45,7.69,-0.713,-0.003,-0.05,-0.229,0.405,0.272,0.61,-5.052
AFL,🏦majority,0.845,4.01,1.68,0.864,0.341,-0.446,1.571,-0.168,1.639,-4.417
AFRM,🏦majority,-0.007,18.602,-0.793,-1.582,-2.776,-1.103,-3.868,-4.284,-0.471,-11.948
AGI,🏦majority,1.405,7.837,0.909,0.163,0.694,0.295,-0.004,-0.652,0.23,-5.356
AI,🎰lottery,-1.964,14.32,0.936,0.274,-0.251,-0.816,-0.625,1.134,-5.575,-10.094
AIG,🏦majority,0.813,4.832,0.693,0.351,0.231,-0.23,0.709,-0.951,0.217,-1.671
AIZ,🏦majority,0.65,4.637,1.073,0.255,0.408,-0.704,0.599,-0.934,-0.341,-3.295
AJG,🏦majority,1.094,4.65,0.349,0.499,0.359,-0.617,0.428,0.598,0.78,-1.029
AKAM,⚡panic,0.364,7.615,1.539,-0.377,0.261,-0.595,0.511,-0.095,0.457,-5.182
ALB,🏦majority,-0.011,10.456,-0.48,-0.435,0.158,-0.797,-0.48,-0.409,1.736,-4.573
ALGN,🏦majority,-0.312,9.575,-0.793,-0.012,0.768,0.394,-1.587,-1.224,-0.489,-8.953
ALK,🏦majority,0.516,8.748,-3.172,0.359,0.279,1.192,-3.004,0.582,0.448,-6.85
ALL,🏦majority,0.728,4.828,0.599,0.644,0.44,0.181,0.636,0.127,0.332,-0.655
ALLE,🏦majority,-0.025,4.977,0.15,-0.109,-0.304,-0.697,-0.531,-1.283,0.338,-2.464
AMAT,🏦majority,1.415,8.558,1.107,0.174,1.031,-0.347,-1.087,0.417,-0.524,-5.577
