label,n,mean,lo,hi,worst,yrs
"BASELINE (tier,median) · hold 60",200,1.8356717779824976,-1.2803871942160185,5.1033804981270805,-1.867445354970793,2
state · hold 60,200,2.6291069469880313,-3.4748042717110366,11.503145447699353,-10.44983218703419,4
state · hold 20,570,4.4960442720124165,1.5466070768480564,7.9071021634346135,1.6240955989521284,5
  baseline · hold 20 (control),570,3.2301583965186422,0.5635904525243268,6.049817815553724,-2.663294425270019,4
state · hold 30,380,2.896168238550768,-1.0251094273744936,6.51857764441765,-2.824448734521866,4
  baseline · hold 30 (control),380,4.404708058772437,0.8933558484300432,7.807728180686306,0.6687278061225597,5
state · hold 45,260,3.0925231949032215,-1.2141589097714482,7.880219644508683,-1.6169502399861813,3
  baseline · hold 45 (control),260,3.314649728429056,-0.3089495562576653,7.463065945149328,-1.5435483227095876,4
state · hold 20 · REPLACE,839,9.41619809364186,6.54408663733604,12.495730242002146,-0.8514157041314651,4
state · hold 30 · REPLACE,635,8.859105412667827,5.495247435818343,12.619675765817869,-3.2687566102002608,4
state · hold 60 · REPLACE,371,11.239777050386177,6.7414100119583305,17.08620400063989,-2.2652374567567475,4
