family,best,n,sharpe,mean,lo,hi,k_low,k_mid,k_high,dsr_low,dsr_mid,dsr_high,p,bh_thr,fdr_pass,class
coil_floor,coil_floor·🧱OB,4303,0.4629234009653451,10.364210391896297,8.294992263250174,12.521418126225056,1,1,83,1.0,1.0,1.0,0.0,0.0015384615384615387,True,robust
g3g3rl,g3g3rl·🏆RS,398,0.475917400516479,9.217330403380263,2.0186882371936896,13.217674525794648,4,4,86,1.0,1.0,0.9799,0.0,0.0030769230769230774,True,robust
g3rl,g3rl·🧱OB,595,0.5111751213144603,13.447741805341002,7.797485845789769,18.871337038325695,1,1,83,1.0,1.0,0.9999,0.0,0.004615384615384616,True,robust
ppr×NS,ppr×NS 🕐24-26,5004,0.11792651934519079,2.52945986205194,1.1557626881768785,3.920747192528091,1,1,83,1.0,1.0,0.0,0.0,0.006153846153846155,True,solid
z11t11,z11t11·15mZ,288,0.4042188082769844,12.803718270717784,6.92300629779333,17.77145459024764,1,1,83,1.0,1.0,0.6814,0.0,0.007692307692307693,True,robust
z1gcrown,z1gcrown·🔑KEY,885,0.7518677524732182,20.4149782208931,0.6126838261775975,26.66176695996061,2,2,84,1.0,1.0,1.0,0.0,0.009230769230769232,True,robust
⚡G3-Abs,⚡G3-Abs🏆RS,2629,0.29978088062914415,5.928315037263742,3.0514458594142386,8.575725396129148,2,2,84,1.0,1.0,0.0,0.0,0.01076923076923077,True,solid
🌀Engulf-AbsRev,🌀Engulf-AbsRev🟡,2590,0.1717685414793934,4.096887804185531,3.0641625306190634,5.1843301398385835,1,1,83,1.0,1.0,0.0,0.0,0.01230769230769231,True,solid
🌉Z1G→T4,🌉Z1G→T4 🟡watch,166,0.49720079908274517,15.715130855587411,2.2196667280915223,27.88030717533475,1,1,83,1.0,1.0,0.9557,0.0,0.013846153846153848,True,robust
🌉v2 Z1G→T3/T6,🌉v2 Z1G→T3/T6 🟡watch,188,0.6587571773376293,17.30250540645199,-1.3714090526542242,25.89841382926926,1,1,83,1.0,1.0,0.9999,0.0,0.015384615384615385,True,robust
🎬StopVol-Confirm,🎬StopVol-Confirm,3821,0.12014964068074542,2.441948749223626,1.4002895912935458,3.5460592706250407,1,1,83,1.0,1.0,0.0,0.0,0.016923076923076926,True,solid
🎬StopVol-Deep,🎬StopVol-Deep,1022,0.2385347376046561,4.450273681580945,2.523053452929424,6.357869698873434,1,1,83,1.0,1.0,0.0,0.0,0.018461538461538463,True,solid
🎯Cluster,🎯Cluster🏆RS,7548,0.26872337749638214,5.05457516707186,3.769414779142999,6.300171514070376,2,2,84,1.0,1.0,0.0,0.0,0.020000000000000004,True,solid
🎯Confluence,🎯Confluence💎89+,9713,0.137922579860411,2.521011880086297,1.429485178203494,3.765455014982036,1,1,83,1.0,1.0,0.0,0.0,0.02153846153846154,True,solid
🧺SEQ-20,🧺SEQ-20 🟡watch,596,0.23063950659802707,5.0113321101682065,2.1636765181000657,7.719518154713169,1,1,83,1.0,1.0,0.0,0.0,0.023076923076923078,True,solid
🎯Confluence≥3,🎯Confluence≥3,33347,0.16905382208243985,3.4329808855006188,2.464638304948307,4.413202224798454,1,1,83,1.0,1.0,0.0,0.0,0.02461538461538462,True,solid
🎯T1-RS-Dip,🎯T1-RS-Dip,1715,0.23271051813471771,5.228553464205037,3.811877577779378,6.69172637623719,1,1,83,1.0,1.0,0.0,0.0,0.026153846153846156,True,solid
🎯T3-RS-Dip,🎯T3-RS-Dip,5530,0.21229326548417873,4.405891974756133,3.0706882855307205,5.819150828507873,1,1,83,1.0,1.0,0.0,0.0,0.027692307692307697,True,solid
🏆L34→L34,🏆L34→L34,463,0.09414496834118571,4.646558689894396,0.8541606322296965,10.018679984807715,1,1,83,1.0,1.0,0.0,0.0,0.029230769230769234,True,solid
👑Z1G-CROWN,👑Z1G-CROWN 🟡watch,1105,0.5966613700521162,16.565491538278852,-0.7978820574681729,24.39686180237349,1,1,83,1.0,1.0,1.0,0.0,0.03076923076923077,True,robust
📐RSI-Div,📐RSI-Div🏆RS,1834,0.20583854895247888,4.192192010545721,2.5856675491937717,5.83462297093851,1,1,83,1.0,1.0,0.0,0.0,0.03230769230769231,True,solid
📐RSI-Div🏆RS deep,📐RSI-Div🏆RS deep,936,0.2226584523829172,4.854034859376525,3.0807513620080695,6.668746142907449,1,1,83,1.0,1.0,0.0,0.0,0.03384615384615385,True,solid
🔄DualReclaim,🔄DualReclaim🏆RS,4444,0.2750953807543677,5.350480252712445,3.982109583956381,6.890297340087992,1,1,83,1.0,1.0,0.0,0.0,0.03538461538461539,True,solid
🔄DualReclaim deep,🔄DualReclaim deep,1475,0.3574576197223141,6.651936777320818,4.705231183736035,8.48801406068488,1,1,83,1.0,1.0,0.2272,0.0,0.036923076923076927,True,solid
🥇G3,🥇G3·LEAD-in-LAG,1781,0.3577355995561061,6.667725438580829,4.348049662845933,9.081410650032558,1,1,83,1.0,1.0,0.1835,0.0,0.038461538461538464,True,solid
🥇G3A,🥇G3A·LEAD-in-LAG,1123,0.35548735270678095,6.782664759041691,4.581974024476639,8.824406660211471,1,1,83,1.0,1.0,0.2111,0.0,0.04000000000000001,True,solid
🥇L43,🥇L43·LEAD-in-LAG,171,0.4432916517076703,7.216684668793272,4.705459171927009,10.049922393712526,1,1,83,1.0,1.0,0.8169,0.0,0.041538461538461545,True,robust
🧊Coil-Floor,🧊Coil-Floor,16051,0.24266864957122805,4.559650867745669,3.5912470772261322,5.593457014456472,1,1,83,1.0,1.0,0.0,0.0,0.04307692307692308,True,solid
🧲Z9-HL,🧲Z9-HL 🟡watch,270,0.5268023980624423,12.88954963338458,-3.638326012040094,19.515358796437855,1,1,83,1.0,1.0,0.9817,0.0,0.04461538461538462,True,robust
🎯Confluence≥4,🎯Confluence≥4,11858,0.23071653571615133,4.778996668093578,3.470901608398698,6.236059488060284,1,1,83,1.0,1.0,0.0,0.0,0.046153846153846156,True,solid
Zone-Retest,Zone-Retest🕐DR,15826,0.20321786893175306,3.88107783501056,3.080541480745887,4.682444855494168,4,4,86,1.0,1.0,0.0,0.0,0.0476923076923077,True,solid
