family,best,n,mean,lo,hi,sharpe,k_low,k_mid,k_high,dsr_low,dsr_mid,dsr_high,ci_ok,p,fdr_pass,class
Atomic-R,Atomic-R,3337,5.246274692168408,3.02955264503825,7.809293644179587,0.24849358055744075,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
Engulf-Abs-Lⁿ,Engulf-Abs-Lⁿ,693,5.836992937180883,1.4939624794164343,9.697442933244877,0.2566343988270657,1,1,3,1.0,1.0,0.9998,True,0.0,True,robust
Engulf-L46,Engulf-L46,279,6.304569060201071,1.3790642540445741,10.880620866886039,0.2626899132831209,1,1,3,1.0,1.0,0.9927,True,0.0,True,robust
FailedBear,FailedBear🧱OB,186,9.341533769905363,6.027331231798241,13.011320716339267,0.38343541743603327,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
FailedBear-Turn,FailedBear-Turn,997,3.66801309932984,2.225132127673002,5.09798977271865,0.19246614357790287,1,1,3,1.0,1.0,0.9888,True,0.0,True,robust
G3+RL,G3+RL,4374,5.490024078581107,3.194845275702323,7.816309650147229,0.23995859227350502,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
G3-Abs,G3-Abs🎋TLS,1069,7.001087843993201,0.6682997281396438,12.683005219662158,0.34465952437608743,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
G3-gap,G3-gap,20085,4.748232954504588,2.7228835055408034,6.727008013489698,0.19250251133799123,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
G3→G3,G3→G3🕐DR,2904,7.859755003707478,4.887837907123846,10.466395076815795,0.37095231412327395,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
G3→G3→RL,G3→G3→RL🧱OB,412,22.56682566988725,9.25016317677232,26.3136887654053,0.8001172728623483,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
G3→L46 🕐,G3→L46 🕐,33266,4.178016366287999,2.6488043639995973,6.28109249460888,0.1632934558170546,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
L34camp→REV,L34camp→REV,574,3.706661299063612,1.5231610700200835,5.9781942097932745,0.16397577200789434,1,1,3,1.0,1.0,0.7989,True,0.0,True,robust
L43,L43🔵dwell,1445,6.146355250820965,3.3378727696118338,8.582525325692867,0.26375501590646344,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
L43-TRIPLE,L43-TRIPLE🕐DR,234,8.174176706283744,5.312377484134237,10.771589433922516,0.5064760796397212,5,5,7,1.0,1.0,1.0,True,0.0,True,robust
ND→SC→L46 🕐,ND→SC→L46 🕐,331,7.937237902775158,1.0938927366721545,14.592928197287785,0.3078891047230878,1,1,3,1.0,1.0,0.9998,True,0.0,True,robust
NS→SC,NS→SC,854,4.857456693181084,2.0262824802768207,7.735056289160772,0.20751150347860256,1,1,3,1.0,1.0,0.9909,True,0.0,True,robust
P55,P55,34851,1.0690738242025635,0.4740231832511704,1.6896242674841795,0.04403683569276498,1,1,3,1.0,1.0,0.0,True,0.0,True,solid
Parabola,Parabola,104750,0.846620093929153,0.4140031903225902,1.3048498842746536,0.041423904394616594,1,1,3,1.0,1.0,0.0,True,0.0,True,solid
