setup,n,gap,o10,c10,o20,c20,w_o10,w_c10,drop10,kept10
G3→G3→RL🧱OB,409,-0.7082476582133901,9.581435079726663,2.771855010660995,13.23145732389117,6.320141760189024,92.90953545232273,71.39364303178483,6.809580069065668,0.28929434762084405
z1gcrown·🔑KEY,922,-0.7867476568194143,8.029878667495193,1.5781564673131188,11.897006933649179,4.990774907749085,83.29718004338395,63.232104121475054,6.451722200182075,0.19653553094164028
z1gcrown·15mZ,1090,-0.7134962983398274,7.690286168623683,1.7479033921503961,11.729142490537237,5.537223480207798,80.45871559633028,63.57798165137615,5.942382776473288,0.22728717161161446
👑Z1G-CROWN 🟡watch,1221,-0.6386375731772032,7.1888006053726805,1.8676627534685242,10.858010630220205,5.180985608373301,78.62407862407862,63.308763308763304,5.321137851904156,0.25980171881143743
g3rl·🧱OB,587,0.3635734072022112,6.352046522030852,3.544061302682011,8.797060766182296,5.56213017751479,85.8603066439523,72.23168654173764,2.807985219348841,0.557940073390539
g3g3rl·15mZ,1149,-0.25712449110778524,3.7315987675453632,1.4378606099459734,5.295494441193682,3.3249030517619405,70.32201914708442,60.226283724978245,2.29373815759939,0.3853202607020354
QZ-Capit🧱OB,10227,0.3530450132391838,5.753706150007343,4.008980115458627,6.307550644567228,4.757998359310922,77.23672631270168,70.05964603500537,1.7447260345487159,0.6967648348627451
g3g3rl·🏆RS,421,-0.25449046582819435,3.4194727225267396,1.7173551218035765,5.775161199887857,3.82304751501914,69.12114014251782,61.75771971496437,1.702117600723163,0.5022280512694299
RTB-Base🧱OB,12676,0.3282194954421058,5.286596771936402,3.6413013706913855,5.843296250075625,4.15882201617711,77.73745661091826,69.99842221520984,1.6452954012450167,0.6887798573973007
coil_floor·🧱OB,5092,0.37193749086099626,6.097187350549971,4.665911655017885,7.207072315860808,5.850495344510442,82.34485467399843,75.86410054988217,1.4312756955320864,0.7652564021338488
g3g3rl·🔑KEY,1356,0.0,3.041740068553944,1.9743819618651126,4.936330932826261,3.755376323446391,68.14159292035397,63.200589970501476,1.0673581066888316,0.6490962138009846
G3→G3→RL,1559,0.0,2.7474923680767427,1.747022121384001,4.2711026188602785,3.4703081934352342,65.61898652982681,61.449647209749834,1.0004702466927418,0.6358605911640528
D+L1🧱OB,982,0.32520516072794825,3.940195877327457,3.100943672290324,4.99260137826999,3.9393759349093393,71.28309572301426,64.96945010183299,0.8392522050371332,0.7870024153199261
ppr×NS 🕐24-26,4928,0.3047666740709887,1.6728343972809978,0.8444612433245346,1.453450927931188,0.756269275967747,61.810064935064936,55.986201298701296,0.8283731539564632,0.5048086318030706
🎯Cluster🧱OB,13242,0.2531512977753003,2.955812330497609,2.283536694338195,3.8679556817404537,2.7534184697510122,66.36459749282587,61.87887026128983,0.672275636159414,0.7725580784601989
T1-CapBounce,343,0.0,1.8550326348333979,1.3192612137203241,2.2633033863165064,2.6045627376425795,58.309037900874635,58.309037900874635,0.5357714211130737,0.7111795172481201
🧺SEQ-20 🟡watch,587,-0.04582776398701638,3.6204182595007905,3.3027321604915505,3.560533076429029,3.5146443514644243,69.6763202725724,68.48381601362861,0.31768609900924005,0.912251547683597
🔄DualReclaim🏆RS,4673,0.025224922223143764,1.5949554896142581,1.3580246913580174,2.1543552445624004,1.9270014385601053,61.930237534774236,59.74748555531778,0.23693079825624075,0.8514498995119025
📐RSI-Div🏆RS deep,917,0.04088785046729715,1.28571428571429,1.1149228130360234,1.837027914614131,1.7087246803213718,59.76008724100327,58.23336968375137,0.17079147267826666,0.8671621879169041
D+L1🏆RS,1891,-0.03863347866879252,1.2525906735751269,1.0946480663142966,2.045917422699506,1.8858800773694506,57.90586991010047,58.06451612903226,0.15794260726083031,0.8739072463233079
ND→SC→L46 🕐,327,0.1713395638629267,2.311780793642604,2.165230187092715,2.69483167009672,2.4814814814814845,62.69113149847095,61.16207951070336,0.14655060654988894,0.9366070490104844
Atomic🏆RS💎,10976,0.06568288354446006,0.8866946300541412,0.7427283852424194,1.0630355174072958,1.0303910700865337,55.211370262390666,54.682944606414,0.14396624481172182,0.8376371752663808
🎬StopVol-Confirm,3815,0.05724098454493731,0.515678283290355,0.37225042301183286,0.34749034749035346,0.2434721242060789,53.027522935779814,52.188728702490174,0.14342786027852217,0.7218656186889211
📐RSI-Div🏆RS,1801,0.0923645320197064,1.1660777385158916,1.0347864376926363,1.7207792207792227,1.6687578419071425,58.46751804553026,57.30149916712938,0.13129130082325524,0.8874077632333893
G3+RL,4543,0.2779064381658092,1.117754094099288,0.9890279709473093,2.200863630032046,2.121504339440694,57.31895223420646,56.57054809597183,0.12872612315197873,0.8848350242405426
HighBase-15mDip,31280,0.03486750348675738,0.40659762547347045,0.3009489152142941,0.44959070923350497,0.48226164672570127,52.586317135549876,51.959718670076725,0.10564871025917633,0.7401639762746975
Atomic,66997,0.07898894154818592,0.7785467128027745,0.6896551724137945,0.8670520231214063,0.8594229588704705,54.78454259145932,54.275564577518395,0.08889154038898006,0.8858237547892666
Atomic🌀SC,18557,0.08288437629506706,0.7586234145955828,0.681114551083617,1.187436159346289,1.1379470506270195,55.332219647572344,54.81489464891954,0.07750886351196584,0.8978295923633134
🌀Engulf-AbsRev🟡,2598,0.0,0.32313078080996593,0.24633345037812227,0.9330350348522143,0.7875601044733394,51.96304849884527,51.42417244033872,0.07679733043184367,0.7623335968200182
L34camp→REV,627,0.03993291270665278,0.8333333333333304,0.7572383073496614,1.0984775486606368,1.1613973638123332,53.90749601275917,54.22647527910686,0.07609502598366902,0.9086859688195968
Spring🔑,1836,-0.015282802869043266,0.4236780535252671,0.3545626604261609,1.332159319728099,1.327456872446986,51.90631808278867,52.66884531590414,0.06911539309910619,0.8368681301190307
D+L1🔑,2949,-0.020529665366453287,0.6126718469814607,0.5607972414838347,1.3529765484064926,1.1911064055055487,54.25567989148864,54.28958969142082,0.051874605497626014,0.9153305219536295
🪨T1G-NB🏆RS,337,0.01810938065918144,0.40933278755628244,0.3637643745599606,0.8033106134371915,1.1559633027522942,53.11572700296736,53.41246290801187,0.04556841299632186,0.8886763670499854
🎬StopVol-Deep,1016,0.09598355463646957,1.1505427253676093,1.1095132539415742,0.7189985647563346,0.8196632246497915,56.2992125984252,57.08661417322835,0.04102947142603508,0.9643390284242371
🎯T1-RS-Dip,1770,0.04225804919332221,1.0537451052567426,1.0169541892501632,1.6474302668121776,1.7341585758837708,57.96610169491525,57.00564971751413,0.036790916006579355,0.9650855640296281
RTB-Base🧊CONSO,85959,0.05814629608096311,0.5490594814438365,0.5163853028798293,0.8140462889066225,0.8579088471849738,54.20374829860748,54.128130853081124,0.03267417856400723,0.9404906395968513
FailedBear-Turn,988,0.0,0.2677089294695012,0.24288391161456646,0.626540506814588,0.6378649060578723,51.92307692307693,52.226720647773284,0.02482501785493474,0.9072686222901544
RTB-Base🕐DR,5809,0.07524454477052522,1.527643064985429,1.504629629629628,2.3816301356865077,2.3076923076922995,61.2153554828714,61.31864348424858,0.023013435355800915,0.9849353321575676
D+L1🌀SC,2529,0.0,0.43333333333333,0.41144200626959115,0.9619450317124745,0.8818342151675429,53.06445235270858,53.143534994068794,0.021891327063738864,0.949481552929833
RTB-Base,96430,0.056428101693495325,0.5774783445620768,0.5575191731568729,0.8611682769436579,0.8941986316485684,54.2258633205434,54.218604168827135,0.019959171405203868,0.9654373681833218
Spring🌀SC,1570,0.0,0.30243816149161384,0.28794910464611245,1.0658830547941922,1.044272589330586,51.52866242038216,52.038216560509554,0.014489056845501391,0.952092497937291
P55,39049,0.0,0.04573519323118891,0.034928396786582105,0.05879662899328508,-0.021149473906834082,50.19846859074496,50.12676380957258,0.010806796444606803,0.7637093957386594
Zone-Retest-DiT,43295,0.004031932908632463,0.41249263406011316,0.4031226004607147,0.7710100231302919,0.8375209380234505,53.061554452015244,52.82365169188128,0.009370033599398475,0.9772843614026016
QZ-Capit🏆RS,18031,0.07189072609632419,1.0741510741510751,1.0682004930156141,1.5136953387794305,1.5625,57.32349841938883,57.451056513781815,0.005950581135460986,0.994460200917116
Atomic-R,3432,0.09644018476377969,1.1422215190680096,1.1414409302002437,1.7143520261795109,1.6677258993897492,56.963869463869464,57.37179487179487,0.0007805888677658857,0.9993166046561591
Parabola,102088,0.017735418503228573,0.0735803676980229,0.07319081788813575,-0.062079137189974265,-0.06320483747042638,50.41336885823995,50.451571193480135,0.0003895498098871464,0.9947057914757116
RTB-Base🏆RS,10148,0.095454004461204,1.46537641561163,1.4798209351364,2.2778578443251263,2.2980774799675197,60.908553409538825,61.2534489554592,-0.014444519524769994,1.009857207589042
Washout🌀SC,8431,0.04236031685516117,0.37970678198502306,0.3962728927921155,0.6597756762700691,0.7102272727272707,52.686514055272205,52.91187285019571,-0.01656611080709247,1.0436286934894565
🧊Coil-Floor,29473,0.06430868167202064,1.3114754098360493,1.3307524800387327,1.9073569482289,1.9665452266227845,59.118515251246905,59.38316425202728,-0.019277070202683433,1.0146987660295463
QZ-Capit🕐DR,5727,0.055258795358259505,1.063049853372422,1.0824995899622936,1.750656496186087,1.6420361247947435,57.1852627902916,57.53448576916361,-0.01944973658987159,1.0182961660059209
Zone-Retest,260636,0.0,0.2809646606846905,0.3052821974922626,0.6721626983973827,0.6862724267882481,51.973250049878,52.07300603140011,-0.024317536807572093,1.0865501616762478
🥇G3A·LEAD-in-LAG,1170,0.08429926612557592,1.5698398136354652,1.5947198778463623,4.1717213703045815,4.089971930047486,60.940170940170944,62.05128205128205,-0.024880064210897057,1.0158487917014152
QZ-Capit-Rev,56363,0.047092064987053206,0.6273806856374575,0.6628571428571428,1.0968294772921938,1.159243441122615,53.90947962315703,54.22174121320724,-0.03547645721968529,1.0565469387755204
QZ-Capit🔑,41902,0.05299885210505728,0.7249480095068317,0.7649687632231728,1.2284540691450463,1.2829136539437291,54.6704214595962,55.054651329292156,-0.04002075371634106,1.0552049984157712
Zone-Retest-E,82975,0.0,0.4794188861985571,0.5235602094240788,1.0616007822321416,1.0625737898465104,53.34618861102742,53.658330822536904,-0.04414132322552167,1.0920725580411115
D+L1,6197,0.0,0.3476482617586818,0.3974562798092274,1.098901098901095,1.0436660268714038,52.39632080038729,52.54155236404712,-0.04980801805054558,1.1432712989806908
