setup,n,exp,mean,mean_c,med,med_c,sharpe,sharpe_c,pf,pf_c,maxret,d_sharpe_rank
L43-TRIPLE,1926,0,6.631639496186797,6.631639496186797,3.866170886816972,3.866170886816972,0.26236675074622223,0.26236675074622223,2.3006105951558253,2.3006105951558253,207.32198617522565,0.0
Z11-T11,823,0,9.730367736582313,9.730367736582313,6.449090057582923,6.449090057582923,0.3488093702339891,0.3488093702339891,3.330810964007565,3.330810964007565,353.2359947055274,0.0
Washout,30166,30,2.963697322774898,2.9146857326762086,1.6486604934512206,1.6471808286199818,0.10716484481666261,0.10710875254174021,1.3985123964829318,1.3930452111845095,928.9010180674932,-1.0
D+L1,6315,6,2.4761177262507683,2.4845664552369673,1.1638273046456429,1.1847464259331644,0.10451860825626252,0.10617780032843371,1.3811384215711642,1.384874595368833,417.69646324919495,1.0
G3-gap,20085,6,4.748232956589612,4.72128060480675,2.8411246777727825,2.8411246777727825,0.19250251160327878,0.1929063885401106,1.8144682020589722,1.810802416264211,561.2953559952266,-1.0
Atomic,62233,29,2.88675631398602,2.8861043714853785,1.3298277361405932,1.3333371847849165,0.11435562078510879,0.11495334075808694,1.434023456644594,1.435206655595112,1528.480500576818,0.0
Spring,2990,1,1.7271692535989154,1.75830642947051,1.076043967102597,1.0763680166949343,0.07196699980724602,0.07343719222103626,1.2296827530522043,1.2346987018048357,264.0184620216821,0.0
P55,34851,27,1.0690738220365157,1.0687325861544072,-0.09974149793673935,-0.09515127536464095,0.044036835620707995,0.04435829774884209,1.1433227375668262,1.143769149873667,447.89157400263224,0.0
Parabola,104750,53,0.8466200928544502,0.8670822174705791,-0.07382480332742124,-0.06859596289531798,0.04142390438839287,0.0427268480252829,1.13015271450976,1.1339370876358064,555.8298855932966,0.0
Atomic-R,3337,0,5.246274694174959,5.246274694174959,3.611555119549986,3.611555119549986,0.24849358099424565,0.24849358099424565,2.0527468536996705,2.0527468536996705,215.76606897054796,0.0
Engulf-Abs,957,0,5.215123122544312,5.215123122544312,4.6721905824390895,4.6721905824390895,0.23624915820935186,0.23624915820935186,1.947407493481736,1.947407493481736,216.72441515322643,0.0
T1-CapBounce,364,0,6.04399497177844,6.04399497177844,6.6852782701146864,6.6852782701146864,0.2568464313479779,0.2568464313479779,2.0280881582394334,2.0280881582394334,113.75900357829165,0.0
Engulf-L46,279,0,6.304569079408158,6.304569079408158,3.9788042847920755,3.9788042847920755,0.26268991380781054,0.26268991380781054,2.133639888890201,2.133639888890201,124.47119216485154,0.0
Engulf-Abs-Lⁿ,693,0,5.836992937819316,5.836992937819316,4.952620042538941,4.952620042538941,0.2566343995455414,0.2566343995455414,2.097767690032419,2.097767690032419,216.72441515322643,0.0
Zone-Retest,138652,130,2.279111148937132,2.248385996479571,1.161825067471828,1.1654337244549065,0.09633998755297646,0.09713397473915514,1.3482558731976453,1.3453673986612655,1133.514524672219,-1.0
Zone-Retest-E,53460,52,2.6283015813897763,2.594929609859282,1.489634553602032,1.4921275556068316,0.11789856659913936,0.119465718312909,1.43473087250725,1.4319229950061727,536.0703906036855,1.0
Zone-Retest-DiT,23445,10,3.044849242687496,3.0804146295340185,1.818290150478502,1.8255050055096034,0.1420278290006275,0.14412510104227097,1.537459903402369,1.5468117482986123,480.16398306611626,0.0
HighBase-15mDip,28982,14,2.3407959616333294,2.3573717557522094,0.9494560471518034,0.9557217725036429,0.11027795076522885,0.11173746510097737,1.397087013817761,1.4017424961495588,504.4797784960976,0.0
RTB-Base,43449,30,2.4515991369869656,2.4309444159038707,1.5108591755245206,1.511471092243727,0.10468460318785883,0.10503158936919463,1.3944475128885299,1.3922504417428194,997.5582762952346,-2.0
QZ-Capit-Rev,38896,12,2.7453227701304117,2.7716599690043315,1.6445514418388874,1.6519142470098502,0.12549679404208663,0.12698121292262635,1.4388793304178211,1.4447648403648223,485.73587706675283,0.0
🎯Confluence≥3,33347,2,3.4329808893422418,3.438267185318579,2.474020370961144,2.475126691620738,0.1690538222825626,0.1694048039425434,1.6267894085292895,1.6282996818024456,561.2953559952266,0.0
🎯Confluence≥4,11858,0,4.778996674202906,4.778996674202906,3.5113379039738044,3.5113379039738044,0.23071653610093848,0.23071653610093848,1.9833761028915315,1.9833761028915315,561.2953559952266,0.0
🎯Confluence💎89+,9713,1,2.5210118827075694,2.529891515847657,2.0783313409378055,2.0805992003981535,0.13792257994074653,0.13856015112218542,1.4684060504303602,1.4707613990965422,186.22819579815487,-1.0
⚡G3-Abs,10692,2,4.277607059637086,4.292410107547406,2.89783138058794,2.9008891459037125,0.19874428015699022,0.19966917644192234,1.803651497053581,1.808408082628275,561.2953559952266,-1.0
🎯Cluster🏆RS,7548,1,5.054575171665513,5.066337800570441,3.6749569209282464,3.6750046255182687,0.2687233772831017,0.26972926821179183,2.176737884671132,2.1823731056761657,217.7724986503775,0.0
QZ-Capit🏆RS,13023,5,4.3761210480374695,4.41057035535528,3.1474113499311116,3.153927165949405,0.22029619655509333,0.22286224413530534,1.8973378593209165,1.9101679032538446,300.855967683988,0.0
⚡G3-Abs🏆RS,2629,1,5.928315033690234,5.9624270200705665,4.336042166002857,4.348012544876484,0.2997808804680574,0.3026344883840282,2.393614372006173,2.4116676881953527,158.2840349394429,0.0
Spring🔑,1727,0,2.2141805518783757,2.2141805518783757,1.6999739101341949,1.6999739101341949,0.11224957123945248,0.11224957123945248,1.3756225815090817,1.3756225815090817,167.16426039748322,0.0
QZ-Capit🔑,29366,10,2.7817897190050225,2.810904117223354,1.8512660246383927,1.8542418644567682,0.13501296854537798,0.13680669448915272,1.4694754607733664,1.4764917764278165,318.3388660834443,-1.0
D+L1🔑,2999,3,2.3891285014931967,2.356641293134023,1.7480819891978971,1.7595445521390085,0.12746862968059444,0.1306886941034336,1.445061493081018,1.4428458082854965,259.9233491473909,-1.0
QZ-Capit🏛️BOS,2014,0,3.6191297050579574,3.6191297050579574,3.0228338120139533,3.0228338120139533,0.17202389518442365,0.17202389518442365,1.6438389034430732,1.6438389034430732,181.25533764570534,-1.0
QZ-Capit🧱OB,9550,5,8.579862050350128,8.628452982559704,6.519786505139375,6.527036857790619,0.31957343190374227,0.32230965751435625,2.5868838830720877,2.6081443696409177,380.48620579755817,-1.0
🎯Cluster🧱OB,9251,0,5.877691984403456,5.877691984403456,4.412132871921953,4.412132871921953,0.24582429173117173,0.24582429173117173,1.999286281605701,1.999286281605701,241.5684979502857,0.0
D+L1🧱OB,1022,1,6.065971193028246,6.083825394359579,3.881301745865068,3.8944021186536224,0.2097051394976709,0.2102602863299477,1.926804506408071,1.9303145434417626,417.69646324919495,0.0
