arm,seed,cagr,mdd,calmar,exposure,trades,blocked
A,0,3.536287668392357,-28.805418268439908,0.12276467001580815,100.0,220,0
A,1,5.760202779563972,-29.82643805640529,0.19312405888597067,100.0,220,0
A,2,13.52194746458062,-18.694649483572377,0.7233057499399929,100.0,220,0
A,3,12.614851273450745,-16.573555742627065,0.7611433218887024,100.0,220,0
A,4,11.331661529335491,-22.866553487051988,0.49555616397337526,100.0,220,0
A,5,11.58918732928742,-24.696616251568205,0.4692621536179687,100.0,220,0
A,6,7.8280236407652914,-19.715701945918806,0.39704514007352953,100.0,220,0
A,7,4.589668324514773,-28.991128285140842,0.15831285624254812,100.0,220,0
A,8,2.303879437004408,-31.620850409581546,0.07285950273830401,100.0,220,0
A,9,7.965225416904764,-28.915049953197137,0.27546988263197,100.0,220,0
A,10,10.952862996651636,-17.328932288576926,0.6320564253039215,100.0,220,0
A,11,4.79448955574393,-28.15133261654086,0.1703112822775159,100.0,220,0
A,12,5.68896147197111,-26.33428954807673,0.21602866717118602,100.0,220,0
A,13,16.962945278345053,-18.90798440618736,0.8971313342523267,100.0,220,0
A,14,8.934487842126515,-25.852401644445212,0.345596048096608,100.0,220,0
A,15,7.849726670441659,-35.46675361305135,0.2213263372250978,100.0,220,0
A,16,8.293672305241607,-35.922326337770585,0.23087792887514672,100.0,220,0
A,17,7.476211689157464,-31.97299695114294,0.23382893072493824,100.0,220,0
A,18,5.188341310128219,-25.216802113771852,0.2057493764165548,100.0,220,0
A,19,10.681542349544104,-12.798657960550198,0.8345829994416789,100.0,220,0
A,20,14.864297525567105,-37.868206546408246,0.3925271060130775,100.0,220,0
A,21,6.285559551377218,-25.863113302259322,0.24303182211354774,100.0,220,0
A,22,10.83665553686981,-31.056968999740576,0.3489283045283759,100.0,220,0
A,23,16.66121974488568,-15.539780480453125,1.0721657082507163,100.0,220,0
B,0,11.099941145100578,-19.269788819065493,0.5760281676838263,99.70814132104454,220,38
B,1,8.31680585925465,-25.983590137833477,0.3200791659326916,99.74654377880185,220,33
B,2,15.409229509081168,-19.74677369649267,0.7803416267346034,99.715821812596,220,37
B,3,11.729022623668417,-19.769024012271284,0.5933030693061947,99.6774193548387,220,42
B,4,8.890209795873783,-27.013896653645908,0.32909764592121227,99.74654377880185,220,33
B,5,9.99195690155581,-29.645643652628117,0.337046380865811,99.75422427035329,220,32
B,6,2.6341824656409774,-40.72852296958619,0.06467660188924698,99.7388632872504,220,34
B,7,8.944732363497621,-25.90830327186121,0.34524577968841436,99.76190476190476,220,31
B,8,8.599663280603398,-30.087881897751444,0.2858181679198254,99.715821812596,220,37
B,9,9.290382289565224,-35.83398829274086,0.2592617437296881,99.75422427035329,220,32
B,10,7.157726621219496,-19.474834606975033,0.3675372225577675,99.80030721966206,220,26
B,11,7.094567702773835,-28.408051678946244,0.2497379187757447,99.72350230414747,220,36
B,12,6.9977714652372125,-22.23056916245213,0.31478148013666635,99.69278033794163,220,40
B,13,14.985455846655892,-25.403958172104424,0.5898866525103604,99.66205837173578,220,44
B,14,7.942188586692445,-24.425801644499888,0.3251556981541622,99.76190476190476,220,31
B,15,11.935802510092364,-31.820189506382768,0.37510155329836037,99.80030721966206,220,26
B,16,5.863908705122123,-31.275268852520842,0.18749347072837333,99.76190476190476,220,31
B,17,9.260711170438608,-23.452155339477564,0.39487676234387864,99.78494623655914,220,28
B,18,7.649053870296929,-17.36068650786089,0.4405962786571516,99.7004608294931,220,39
B,19,6.01824161222877,-28.599231894450007,0.2104336799827367,99.7388632872504,220,34
B,20,12.00819095110026,-30.589612529401457,0.39255779848661015,99.7004608294931,220,39
B,21,7.141999516801478,-25.63048116006682,0.2786525727784214,99.78494623655914,220,28
B,22,7.3082235175764065,-33.07874037383057,0.22093415393042373,99.75422427035329,220,32
B,23,15.560421133267344,-20.884262514239392,0.7450787942671125,99.6390168970814,220,47
C,0,3.8083531547873806,-29.578608226515446,0.12875362916411398,100.0,220,0
C,1,5.836248603308558,-21.21434051039811,0.2751086511715011,100.0,220,0
C,2,14.048999251521233,-20.751747424510647,0.6770031922674351,100.0,220,0
C,3,12.74772889847091,-14.228772380579791,0.8959120686946761,100.0,220,0
C,4,11.563054990187084,-25.632588396973944,0.45110758270328094,100.0,220,0
C,5,11.931763698588437,-27.744292833352656,0.4300619147244845,100.0,220,0
C,6,7.679640038851421,-24.316526300946585,0.31581978214349105,100.0,220,0
C,7,3.836139660464566,-34.54994801931068,0.11103170570098883,100.0,220,0
C,8,2.4395448651955087,-32.13829046983717,0.0759077358979346,100.0,220,0
C,9,9.38430681084328,-22.556714217636387,0.4160316400828444,100.0,220,0
C,10,9.024537709871483,-16.993416607546695,0.531060817155729,100.0,220,0
C,11,6.432125503637565,-22.96685570215039,0.28006121460654815,100.0,220,0
C,12,8.386900869812486,-28.563034534349796,0.29362779573460346,100.0,220,0
C,13,14.13935079454216,-22.539256308427646,0.6273210881964779,100.0,220,0
C,14,3.927555894326562,-29.407472403824762,0.13355639139580525,100.0,220,0
C,15,5.527817592652662,-37.25781880082967,0.14836664546045747,100.0,220,0
C,16,8.314308420769635,-33.07467496682403,0.2513798980370754,100.0,220,0
C,17,8.09188928901352,-26.747113122430488,0.302533183748625,100.0,220,0
C,18,3.080887992299308,-25.444016736070317,0.12108496957289511,100.0,220,0
C,19,6.427782911805546,-20.040619557184502,0.320737734353188,100.0,220,0
C,20,13.39687815726962,-37.77957304790566,0.3546063937853921,100.0,220,0
C,21,4.20253995450246,-34.34574633398476,0.12235983791518573,100.0,220,0
C,22,9.29762767945228,-29.215235712669973,0.3182458553781277,100.0,220,0
C,23,16.62938256260538,-16.675651829002124,0.9972253398625008,100.0,220,0
D,0,9.74352522025621,-19.591397980182546,0.4973369041919399,100.0,220,0
D,1,6.440431104939992,-24.62120491735241,0.2615806629512651,100.0,220,0
D,2,12.358886472985331,-26.84811514258927,0.46032603806068983,100.0,220,0
D,3,8.56232411758111,-20.11966394671596,0.4255699369660048,100.0,220,0
D,4,10.705779437865814,-19.87661117865479,0.5386119063073789,100.0,220,0
D,5,9.880972243702502,-22.816633283718758,0.43306004531147274,100.0,220,0
D,6,10.308125220486053,-18.958318590383584,0.5437257091836586,100.0,220,0
D,7,5.493708539958542,-39.0035922486867,0.1408513478689523,100.0,220,0
D,8,10.86765305933881,-27.723713033584364,0.39199846882608375,100.0,220,0
D,9,13.249694038778582,-31.548670017659376,0.41997631061347634,100.0,220,0
D,10,4.872291178785781,-22.167560330068305,0.21979374844316793,100.0,220,0
D,11,12.81906391626344,-22.482002496407873,0.5701922646041715,100.0,220,0
D,12,7.005294822801433,-21.816103473616145,0.32110660051064865,100.0,220,0
D,13,3.7840613196109096,-31.987834510908808,0.11829688934774349,100.0,220,0
D,14,11.181717262437129,-19.004022632005967,0.588386863084726,100.0,220,0
D,15,8.825997790100848,-20.697369553467205,0.4264308934186434,100.0,220,0
D,16,12.129806487810967,-17.794173667286017,0.681672929275227,100.0,220,0
D,17,10.838350024799027,-20.053608786092923,0.540468807405646,100.0,220,0
D,18,13.041665662139113,-14.402657405647679,0.9055041229422784,100.0,220,0
D,19,0.8054973987937863,-27.45662968005247,0.02933708208837404,100.0,220,0
D,20,14.14381293380973,-14.904145246789579,0.948985178258134,100.0,220,0
D,21,9.352412518358744,-21.370900088678457,0.4376237069824363,100.0,220,0
D,22,12.801401063942453,-19.20231963322381,0.6666590968412742,100.0,220,0
D,23,13.29077757981918,-29.79923449120322,0.4460107048636648,100.0,220,0
