ticker,date,med_before,med_after,level_shift,bar_ratio
ABTC,2026-07-06,0.92,5.865,6.375,15.160714285714285
ACON,2025-03-06,186.57,10.81,0.05794071930106663,0.2285714285714286
ACRS,2023-11-13,5.529999999999999,1.0,0.18083182640144668,0.13473684210526315
AERT,2026-06-12,0.695,6.82,9.812949640287771,8.787878787878787
AFJK,2025-12-09,11.33,52.93,4.671668137687555,11.0625
AGMH,2025-09-19,2.2,4.575,2.0795454545454546,4.63677130044843
AIB,2026-03-17,11.565000000000001,1.43,0.12364894076956331,0.24722932651321397
AIFU,2026-06-16,2.05,36.1,17.60975609756098,18.903345724907066
AIM,2025-06-17,0.13,8.645,66.5,112.66666666666667
AKTS,2026-01-09,0.07,19.835,283.35714285714283,560.0
ALF,2024-08-01,0.97,9.995000000000001,10.304123711340207,91.0909090909091
ALIT,2026-07-01,0.775,19.185,24.75483870967742,24.517857142857142
AMIX,2026-06-23,0.38,5.734999999999999,15.092105263157894,19.842105263157894
AMLX,2024-03-08,15.785,2.615,0.16566360468799493,0.1771217712177122
AMOD,2026-06-15,0.22,4.05,18.409090909090907,44.0
APM,2024-03-06,1.68,7.7,4.583333333333334,6.544827586206897
APUS,2026-03-26,14.55,1.395,0.0958762886597938,0.09314285714285714
ASST,2025-05-07,10.75,123.1,11.451162790697675,5.557377049180328
ASTC,2026-05-27,3.135,11.085,3.5358851674641154,5.5910931174089065
ATPC,2025-12-10,62.25,4.415,0.07092369477911646,0.05171102661596958
ATRA,2023-11-09,37.375,14.055,0.37605351170568563,0.19834710743801653
ATYR,2025-09-15,5.255,0.965,0.18363463368220742,0.16749585406301823
AVTX,2023-06-26,721.2,54.84,0.07603993344425956,0.11312217194570136
AVTX,2024-03-28,4.6,13.905,3.0228260869565218,4.578947368421052
AVX,2026-06-15,0.525,4.35,8.285714285714285,12.666666666666668
AZTR,2024-07-24,27.16,4.28,0.15758468335787923,0.23534743202416916
BBBY,2025-08-29,0.37,8.705,23.527027027027028,116.99999999999999
BDMD,2024-12-31,2.315,6.265000000000001,2.706263498920087,7.238095238095237
BEBE,2026-02-06,0.75,9.91,13.213333333333333,14.214285714285714
BHVN,2022-10-04,149.74,14.48,0.0967009483104047,0.054677206851119896
BIOA,2024-12-09,21.805,5.0649999999999995,0.23228617289612472,0.23145843703334995
BIYA,2026-07-13,0.71,3.1,4.366197183098592,8.91304347826087
BMGL,2026-06-22,0.61,6.0649999999999995,9.942622950819672,11.951612903225806
BMNR,2025-06-30,7.2,45.4,6.305555555555555,7.95774647887324
BMR,2024-02-12,1.5350000000000001,6.82,4.44299674267101,4.7156398104265405
BNY,2026-05-21,10.17,144.235,14.182399213372666,13.625490196078431
BOXL,2026-06-22,0.86,3.63,4.220930232558139,5.966666666666667
BQ,2025-10-31,7.955,2.13,0.2677561282212445,0.23571007660577492
BTCT,2024-11-12,1.62,7.33,4.5246913580246915,4.166666666666667
CALC,2026-01-28,5.305,0.65,0.12252591894439209,0.244140625
CAMP,2024-10-11,3.3049999999999997,9.780000000000001,2.959152798789713,26.8
CAPR,2025-12-03,6.1899999999999995,26.02,4.203554119547658,4.710691823899371
CCHH,2025-12-12,5.470000000000001,0.53,0.09689213893967093,0.17526455026455026
