ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AAL,🏦majority,0.05,9.183,-2.057,1.543,0.089,0.198,-1.139,,-0.831,
AAOI,🎲chase,0.771,23.716,9.323,-3.369,10.525,3.477,6.037,-1.649,3.071,
AAON,🎲chase,0.558,9.29,-1.191,0.069,1.584,0.535,-0.058,2.31,1.07,
AAPL,🏦majority,1.033,5.265,3.011,-1.061,-0.045,-0.379,3.183,-1.16,-2.373,
ABBV,🏦majority,0.964,4.768,0.512,-0.656,0.043,0.196,0.831,-1.187,0.638,-0.5
ABNB,🏦majority,0.328,8.029,3.221,0.193,-0.379,-1.147,1.422,0.376,-2.521,
ABT,🏦majority,0.288,4.358,0.664,-0.402,-0.486,0.042,-0.718,1.42,-2.3,
ACAD,🏦majority,-0.33,10.0,-0.71,-0.035,0.085,-0.832,0.19,-3.22,0.924,
ACGL,🏦majority,0.852,4.398,2.258,0.127,0.715,-0.13,1.488,-0.852,0.416,
ACHC,🏦majority,-0.542,9.639,0.008,0.882,-0.351,-0.06,0.89,-3.201,0.398,
ACIW,🏦majority,0.197,6.531,-0.796,0.468,-0.723,-0.88,0.907,-1.078,3.151,
ACLS,🎲chase,0.534,11.044,2.301,-1.893,0.113,-0.308,1.527,1.346,0.445,
ACMR,⚡panic,1.342,15.986,1.197,0.2,-1.85,1.911,2.883,3.667,2.998,
ACN,🏦majority,-0.071,6.206,0.162,-0.756,1.363,0.751,1.185,0.319,-1.074,
ACT,🏦majority,0.731,4.912,3.37,1.188,0.169,0.075,2.511,1.435,-1.876,-1.889
ADBE,🎲chase,0.171,7.388,1.589,-0.979,0.49,1.287,0.51,0.531,-1.14,
ADEA,🏦majority,1.641,10.171,-0.641,0.736,3.094,-0.421,-0.653,0.15,-0.328,
ADI,🏦majority,0.466,5.884,2.056,0.037,-0.463,0.24,1.792,1.455,-1.592,
ADM,🏦majority,0.34,5.382,-0.034,0.092,-0.298,-0.553,-0.191,-0.212,0.045,
ADP,🏦majority,0.379,4.369,0.434,-0.415,-0.826,-0.273,-0.087,-0.639,-0.136,
ADPT,⚡panic,-0.231,13.516,0.231,0.302,-2.086,0.517,5.247,,-1.311,
ADSK,🏦majority,0.009,6.626,2.833,0.215,-0.561,0.709,1.394,0.63,-1.014,-4.155
ADTN,🎲chase,-0.557,11.093,0.786,-0.655,1.025,0.343,-2.368,0.143,-0.2,
ADUS,🏦majority,0.311,6.57,1.523,0.667,-0.856,-0.665,1.933,2.383,3.51,
AEE,🏦majority,0.421,3.657,1.203,0.439,-0.059,-0.164,0.827,-0.125,0.325,
AEHR,🎲chase,0.987,20.965,2.983,-1.605,4.603,-1.151,0.427,-0.174,-3.97,
AEIS,🏦majority,1.072,7.997,0.13,0.315,-0.488,-1.353,0.995,-1.249,-1.521,
AEM,🎲chase,0.882,7.278,0.248,-0.996,0.956,0.242,-1.325,,-1.367,
