ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,0.399,5.693,-0.417,0.646,0.405,0.398,0.545,1.242,-0.102,
AA,🎰lottery,0.744,10.906,-1.099,0.073,-0.78,-1.781,1.67,0.087,-1.455,-17.872
AAL,🏦majority,0.05,9.183,-2.057,1.543,0.089,0.198,-1.139,,-0.831,
AAOI,🎲chase,0.771,23.716,9.323,-3.369,10.525,3.477,6.037,-1.649,3.071,
AAON,🎲chase,0.558,9.29,-1.191,0.069,1.584,0.535,-0.058,2.31,1.07,
AAP,⚡panic,0.084,10.251,1.21,0.4,-0.433,-0.496,1.558,-0.739,-4.537,-3.787
AAPL,🏦majority,1.033,5.265,3.011,-1.061,-0.045,-0.379,3.183,-1.16,-2.373,
AAT,🏦majority,-0.1,5.36,-0.612,0.053,-0.056,-0.159,0.577,-0.581,0.701,
AB,🏦majority,-0.124,5.169,1.431,0.914,0.795,-0.218,2.11,1.219,-0.131,-4.904
ABBV,🏦majority,0.964,4.768,0.512,-0.656,0.043,0.196,0.831,-1.187,0.638,-0.5
ABCB,🏦majority,0.579,6.323,1.149,0.213,0.746,-0.704,2.26,-0.07,1.107,
ABG,🏦majority,0.07,7.353,2.483,0.916,1.737,-0.162,1.889,-1.402,-0.487,
ABM,🏦majority,0.701,5.747,2.064,0.557,0.717,-0.163,2.45,-0.55,0.469,
ABNB,⚡panic,0.328,8.029,3.221,0.193,-0.379,-1.147,1.422,0.376,-2.521,
ABR,🏦majority,-0.404,7.233,0.171,0.192,0.269,-0.828,0.872,-0.34,-0.765,
ABT,🏦majority,0.288,4.358,0.664,-0.402,-0.486,0.042,-0.718,1.42,-2.3,
ACA,🏦majority,0.216,6.52,1.827,0.447,0.241,-0.815,0.074,-0.963,1.531,-4.905
ACAD,🏦majority,-0.33,10.0,-0.71,-0.035,0.085,-0.832,0.19,-3.22,0.924,
ACGL,🏦majority,0.852,4.398,2.258,0.127,0.715,-0.13,1.488,-0.852,0.416,
ACHC,🏦majority,-0.542,9.639,0.008,0.882,-0.351,-0.06,0.89,-3.201,0.398,
ACI,🏦majority,-0.339,6.478,0.932,0.034,-0.928,-0.499,0.959,,-1.404,
ACIW,🏦majority,0.197,6.531,-0.796,0.468,-0.723,-0.88,0.907,-1.078,3.151,
ACLS,🎲chase,0.534,11.044,2.301,-1.893,0.113,-0.308,1.527,1.346,0.445,
ACM,🏦majority,0.236,4.92,0.985,-0.619,-0.244,-0.059,-0.251,,-0.066,
ACMR,⚡panic,1.342,15.986,1.197,0.2,-1.85,1.911,2.883,3.667,2.998,
ACN,🎲chase,-0.071,6.206,0.162,-0.756,1.363,0.751,1.185,0.319,-1.074,
ACRE,🏦majority,-0.379,6.855,0.976,-0.05,-0.062,-0.265,0.708,,0.98,
ACT,🏦majority,0.731,4.912,3.37,1.188,0.169,0.075,2.511,1.435,-1.876,-1.889
ACVA,🏦majority,-0.405,11.233,-1.173,0.974,-0.577,-0.167,1.611,0.835,0.747,
ADBE,🎲chase,0.171,7.388,1.589,-0.979,0.49,1.287,0.51,0.531,-1.14,
ADC,🏦majority,0.057,3.401,0.023,-0.001,0.12,-0.137,0.273,-1.084,-0.728,
ADEA,🎲chase,1.641,10.171,-0.641,0.736,3.094,-0.421,-0.653,0.15,-0.328,
ADI,🏦majority,0.466,5.884,2.056,0.037,-0.463,0.24,1.792,1.455,-1.592,
ADM,🏦majority,0.34,5.382,-0.034,0.092,-0.298,-0.553,-0.191,-0.212,0.045,
ADNT,⚡panic,-0.65,8.942,2.468,0.09,-2.538,-0.793,2.917,-0.893,-0.976,-12.581
ADP,🏦majority,0.379,4.369,0.434,-0.415,-0.826,-0.273,-0.087,-0.639,-0.136,
ADPT,⚡panic,-0.231,13.516,0.231,0.302,-2.086,0.517,5.247,,-1.311,
ADSK,🏦majority,0.009,6.626,2.833,0.215,-0.561,0.709,1.394,0.63,-1.014,-4.155
ADT,🏦majority,0.0,5.988,0.687,0.861,-1.091,-0.207,2.276,,-0.484,
ADTN,🎲chase,-0.557,11.093,0.786,-0.655,1.025,0.343,-2.368,0.143,-0.2,
ADUS,🏦majority,0.311,6.57,1.523,0.667,-0.856,-0.665,1.933,2.383,3.51,
AEE,🏦majority,0.421,3.657,1.203,0.439,-0.059,-0.164,0.827,-0.125,0.325,
AEG,🏦majority,1.027,4.672,3.036,1.024,-1.027,-0.727,,,0.455,
AEHR,🎲chase,0.987,20.965,2.983,-1.605,4.603,-1.151,0.427,-0.174,-3.97,
AEIS,🏦majority,1.072,7.997,0.13,0.315,-0.488,-1.353,0.995,-1.249,-1.521,
AEM,🎲chase,0.882,7.278,0.248,-0.996,0.956,0.242,-1.325,,-1.367,
AEO,⚡panic,-0.891,10.101,2.468,-0.453,-0.138,-1.001,0.65,,-1.136,
AEP,🏦majority,0.4,3.952,1.03,0.016,0.622,0.287,0.27,-2.46,0.681,
AER,🏦majority,1.067,6.069,3.642,0.953,0.079,-0.522,,-0.264,0.284,
AES,🏦majority,-0.378,7.551,-0.74,0.34,0.704,0.752,1.491,1.075,1.665,
AESI,⚡panic,-0.117,10.513,2.224,-0.24,-0.836,-0.326,-0.262,-0.919,-0.557,
AFG,🏦majority,0.299,3.906,2.837,0.294,-0.832,-0.73,2.393,1.601,-1.24,
AFL,🏦majority,0.808,3.983,2.124,0.693,-0.017,-0.843,1.048,1.299,0.112,
AFRM,🎲chase,0.0,18.306,-1.574,-2.017,-0.749,-1.038,-1.827,3.421,-0.605,-12.359
AG,🎲chase,-0.964,12.112,0.113,-0.607,0.701,-0.993,-0.543,-0.486,0.369,
AGCO,⚡panic,-0.131,6.549,3.455,0.644,-2.573,-0.909,1.65,-1.812,-0.309,
AGEN,⚡panic,-3.947,18.585,0.015,-0.63,-2.444,3.058,1.436,,,
AGI,🏦majority,1.162,7.767,-0.502,-0.026,-0.037,-0.934,1.22,0.362,-0.399,
AGIO,🏦majority,0.032,11.37,-0.988,1.634,0.153,0.69,-0.722,-4.26,3.297,-6.678
AGL,🎰lottery,-1.847,18.891,1.387,-2.501,1.606,0.495,-2.416,3.475,4.386,-29.776
AGM,🏦majority,0.593,6.535,-0.185,0.823,0.049,-0.557,0.896,-0.802,-0.493,
AGNC,🏦majority,0.062,5.409,-1.154,0.149,0.038,-0.657,-0.591,0.234,-1.021,
AGO,🏦majority,0.623,5.027,0.498,0.413,-0.96,0.152,0.134,-0.562,0.513,
AGRO,🎲chase,0.086,8.975,-0.086,0.172,-0.075,-0.442,-0.426,5.522,2.389,
AGX,🏦majority,3.214,10.411,-2.159,1.895,0.23,-1.369,,-0.936,0.458,
AGYS,⚡panic,0.102,9.551,-0.877,0.223,-0.867,-2.159,4.168,,-0.042,
AHCO,🏦majority,-0.091,10.695,-0.561,1.742,-1.436,0.183,2.588,-0.691,4.678,
AI,⚡panic,-2.135,14.111,3.184,-0.464,1.27,-0.66,2.069,,-0.593,
AIG,🏦majority,0.751,4.835,1.045,0.734,0.636,0.035,0.993,-0.349,2.269,
AIN,🏦majority,0.309,6.089,2.294,0.452,-0.566,-0.35,0.516,-0.28,0.144,
AIR,🏦majority,1.347,7.0,1.805,1.265,0.593,0.417,1.161,-1.024,1.047,
AIT,🏦majority,0.93,5.247,2.923,0.87,-0.113,-0.47,2.33,-1.112,-0.716,
AIV,🏦majority,0.0,6.216,-0.896,0.948,0.0,0.131,1.0,,-0.35,
AIZ,🏦majority,0.616,4.583,2.047,0.14,0.054,-0.952,1.412,-1.088,-0.471,
AJG,🏦majority,0.999,4.627,1.367,0.183,0.021,-0.597,0.626,-1.066,1.628,-4.088
AKAM,🏦majority,0.315,7.617,1.895,-0.385,1.257,-0.135,1.719,-0.048,0.002,
AKR,🏦majority,0.295,5.002,1.289,0.183,-0.842,-0.338,1.032,-1.205,0.724,
ALB,🎲chase,-0.116,10.262,1.232,-2.143,1.288,1.673,-3.393,-0.084,1.343,-10.751
ALC,🏦majority,0.226,5.241,0.886,-0.211,1.072,-1.415,0.061,,0.378,
ALG,🏦majority,-0.218,6.187,0.135,1.028,0.0,0.113,1.179,-1.089,0.38,
ALGM,🏦majority,0.513,10.955,0.941,0.639,-0.948,-0.112,0.941,-1.725,2.265,-8.403
ALGN,🎲chase,-0.317,9.397,-0.54,-0.156,0.331,0.212,-1.399,-0.743,0.518,
