ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,0.399,5.693,-0.417,0.646,0.405,0.398,0.545,1.242,-0.102,
AAL,🏦majority,0.05,9.183,-2.057,1.543,0.089,0.198,-1.139,,-0.831,
AAPL,⚡panic,1.033,5.265,3.011,-1.061,-0.045,-0.379,3.183,-1.16,-2.373,
ABBV,🏦majority,0.964,4.768,0.512,-0.656,0.043,0.196,0.831,-1.187,0.638,-0.5
ABNB,⚡panic,0.328,8.029,3.221,0.193,-0.379,-1.147,1.422,0.376,-2.521,
ABT,🏦majority,0.288,4.358,0.664,-0.402,-0.486,0.042,-0.718,1.42,-2.3,
ACGL,🏦majority,0.852,4.398,2.258,0.127,0.715,-0.13,1.488,-0.852,0.416,
ACN,🏦majority,-0.071,6.206,0.162,-0.756,1.363,0.751,1.185,0.319,-1.074,
ADBE,🏦majority,0.171,7.388,1.589,-0.979,0.49,1.287,0.51,0.531,-1.14,
ADI,⚡panic,0.466,5.884,2.056,0.037,-0.463,0.24,1.792,1.455,-1.592,
ADM,🏦majority,0.34,5.382,-0.034,0.092,-0.298,-0.553,-0.191,-0.212,0.045,
ADP,🏦majority,0.379,4.369,0.434,-0.415,-0.826,-0.273,-0.087,-0.639,-0.136,
ADSK,⚡panic,0.009,6.626,2.833,0.215,-0.561,0.709,1.394,0.63,-1.014,-4.155
AEE,🏦majority,0.421,3.657,1.203,0.439,-0.059,-0.164,0.827,-0.125,0.325,
AEM,🏦majority,0.882,7.278,0.248,-0.996,0.956,0.242,-1.325,,-1.367,
AEP,🏦majority,0.4,3.952,1.03,0.016,0.622,0.287,0.27,-2.46,0.681,
AES,🏦majority,-0.378,7.551,-0.74,0.34,0.704,0.752,1.491,1.075,1.665,
AFL,🏦majority,0.808,3.983,2.124,0.693,-0.017,-0.843,1.048,1.299,0.112,
AFRM,🎰lottery,0.0,18.306,-1.574,-2.017,-0.749,-1.038,-1.827,3.421,-0.605,-12.359
AGI,🏦majority,1.162,7.767,-0.502,-0.026,-0.037,-0.934,1.22,0.362,-0.399,
AI,⚡panic,-2.135,14.111,3.184,-0.464,1.27,-0.66,2.069,,-0.593,
AIG,🏦majority,0.751,4.835,1.045,0.734,0.636,0.035,0.993,-0.349,2.269,
AIZ,🏦majority,0.616,4.583,2.047,0.14,0.054,-0.952,1.412,-1.088,-0.471,
AJG,🏦majority,0.999,4.627,1.367,0.183,0.021,-0.597,0.626,-1.066,1.628,-4.088
AKAM,⚡panic,0.315,7.617,1.895,-0.385,1.257,-0.135,1.719,-0.048,0.002,
ALB,🏦majority,-0.116,10.262,1.232,-2.143,1.288,1.673,-3.393,-0.084,1.343,-10.751
ALGN,🏦majority,-0.317,9.397,-0.54,-0.156,0.331,0.212,-1.399,-0.743,0.518,
ALK,🏦majority,0.23,8.647,-2.68,1.162,0.953,1.121,-1.048,2.906,0.609,
ALL,🏦majority,0.764,4.791,1.811,0.687,0.88,0.222,0.04,-1.391,-1.588,-2.991
ALLE,🏦majority,0.03,4.999,0.546,-0.646,-0.927,-1.214,0.0,0.577,0.681,
AMAT,🏦majority,1.208,8.461,2.099,0.418,1.238,-0.712,-1.291,-5.067,-1.151,-2.127
AMCR,🏦majority,-0.149,4.413,0.79,-0.122,-0.394,-0.965,1.213,,0.371,
AMD,🏦majority,0.848,11.32,0.741,-1.557,1.425,1.489,-2.313,1.328,-3.111,
AME,🏦majority,0.428,4.075,1.647,-0.091,-0.441,-0.588,0.918,-0.41,-0.649,
AMGN,🏦majority,0.379,4.573,-0.629,0.025,0.444,0.53,-0.625,-2.223,-0.885,
AMP,🏦majority,0.695,5.296,2.933,-0.188,0.199,-0.716,0.659,-0.898,-0.798,-1.845
AMT,🏦majority,0.122,5.322,1.405,-0.745,-0.213,-0.578,0.23,0.884,1.38,
AMZN,⚡panic,0.749,6.891,2.855,-0.091,0.976,-0.402,2.777,0.353,-1.351,
ANET,⚡panic,1.813,9.119,1.37,0.787,-0.052,0.923,3.32,-0.661,0.315,-2.851
AON,🏦majority,0.724,4.4,1.826,-0.038,-0.433,-0.837,0.678,-0.428,-0.228,-6.127
AOS,🏦majority,-0.138,5.266,0.0,0.308,0.789,-0.828,-0.187,-1.011,0.247,
APA,⚡panic,0.374,9.134,3.621,-0.844,-1.537,-0.266,1.513,-0.549,-1.246,
APD,🏦majority,-0.003,5.188,0.02,0.204,0.388,0.362,0.778,0.27,-0.177,-5.531
APH,🏦majority,1.466,5.838,0.645,-0.61,0.011,0.014,0.51,1.589,0.11,-5.172
APO,🏦majority,1.042,7.067,1.374,0.351,-0.342,0.709,-0.586,0.573,-0.742,
APP,🏦majority,2.256,15.344,-0.353,-2.745,0.307,1.063,2.377,3.114,-0.973,-6.508
APPN,⚡panic,-1.425,10.936,2.773,0.427,-0.22,-1.736,0.31,1.821,2.435,
APTV,⚡panic,-0.682,8.113,1.878,-0.413,-0.673,0.247,1.502,-1.543,-1.031,
ARE,🏦majority,-0.431,6.724,0.47,-0.153,0.921,-0.539,0.42,2.21,-3.039,
ARES,🏦majority,1.3,7.265,-1.283,1.597,0.866,0.448,-1.315,0.208,-1.105,-0.46
