ticker,date,prev,cl,mag
QH,2026-07-17,194880.0,6.95,28040.3
MCHB,2025-09-02,43478.0,12.79,3399.4
QH,2026-05-29,3008.0,247360.0,82.2
ELPW,2026-01-30,34.41,1115.2,32.4
WOK,2025-12-10,557.0,19.0,29.3
RDGT,2026-03-24,537.0,19.93,26.9
WTO,2024-08-28,278750.0,10625.0,26.2
TWG,2024-10-25,1215.0,48.56,25.0
JYD,2025-04-02,398.5,17.27,23.1
ATXG,2022-09-01,98481.0,4500.0,21.9
RAYA,2025-07-21,6732.0,352.22,19.1
QMMM,2025-09-09,11.27,207.0,18.4
BHVN,2022-10-04,151.8,8.3,18.3
GNLN,2025-04-24,1473.6,90.0,16.4
OST,2025-06-26,225.5,13.75,16.4
HAO,2026-05-11,93.44,5.76,16.2
ORIS,2024-12-06,1120.2,72.4,15.5
SPRB,2025-10-06,8.82,130.4,14.8
YYAI,2025-10-07,5020.0,360.0,13.9
CHSN,2026-04-24,249.0,18.37,13.6
UBXG,2024-08-23,12760.0,940.0,13.6
BNY,2026-05-21,10.2,138.98,13.6
PAVS,2025-12-01,1260.0,93.6,13.5
CTNT,2024-05-21,47232.0,3776.0,12.5
PLRZ,2025-05-13,525.0,42.75,12.3
HOLO,2024-02-07,1208.0,14400.0,11.9
EZGO,2026-05-06,285.0,24.0,11.9
HUDI,2022-11-07,180.0,15.81,11.4
AFJK,2025-12-09,8.0,88.5,11.1
PHOE,2026-01-30,12.13,133.12,11.0
HKIT,2026-03-23,59.5,5.69,10.5
ELPW,2026-02-02,1115.2,107.2,10.4
DRCT,2024-12-23,121.0,1210.0,10.0
TCGL,2026-01-29,8.73,86.36,9.9
MLTX,2025-09-29,61.99,6.25,9.9
CTNT,2026-04-15,336.0,34.14,9.8
OCG,2025-12-11,5742.0,601.26,9.5
MEGL,2022-08-09,468.0,49.28,9.5
KLAC,2026-06-12,2411.64,254.54,9.5
KALA,2025-09-29,952.5,102.25,9.3
GDHG,2023-12-07,395250.0,43500.0,9.1
WTO,2025-10-16,605.0,67.3,9.0
CISO,2022-01-14,721.5,81.3,8.9
AVTX,2023-06-26,1060.8,120.0,8.8
NCL,2023-12-19,124.8,14.4,8.7
GDHG,2025-04-01,1766.25,203.4,8.7
EJH,2024-08-13,16375.0,1875.0,8.7
OST,2022-04-28,9915.0,1150.0,8.6
IZM,2024-04-17,51.02,5.99,8.5
KXIN,2026-01-30,151.95,18.0,8.4
INKT,2025-07-11,7.73,64.17,8.3
SXTC,2026-01-09,187.5,22.65,8.3
YAAS,2025-07-01,333.6,40.0,8.3
JDZG,2026-07-31,50.0,6.01,8.3
CHSN,2023-12-15,119840.0,14560.0,8.2
WOK,2025-09-24,9120.0,1125.0,8.1
DKI,2025-09-30,168.0,20.64,8.1
ELPW,2025-08-20,4160.0,517.89,8.0
FLYE,2025-08-15,155.2,20.0,7.8
LPA,2024-05-30,33.01,258.85,7.8
CHSN,2025-01-23,50400.0,6566.4,7.7
GSIW,2025-07-21,340.0,44.0,7.7
MLGO,2024-06-04,936.0,7206.0,7.7
PHOE,2026-02-02,133.12,17.6,7.6
NXTT,2025-05-09,62.0,472.0,7.6
HKIT,2023-09-06,1368.0,180.0,7.6
SPCX,2026-06-12,21.98,160.95,7.3
YDKG,2025-10-15,139.0,19.06,7.3
LNKS,2026-03-23,173.25,23.9,7.2
JDZG,2024-06-04,2494.0,350.0,7.1
ORIS,2024-12-05,160.2,1120.2,7.0
SFHG,2024-12-11,105.45,15.25,6.9
MTC,2024-05-20,56.08,8.4,6.7
INHD,2023-12-15,66576.0,10224.0,6.5
VCIG,2023-05-02,4639320.0,30005640.0,6.5
FCHL,2025-09-23,3127.5,481.5,6.5
WATT,2024-12-30,12.15,79.5,6.5
MNDR,2024-05-03,882.8,135.6,6.5
JL,2024-02-29,128.0,20.0,6.4
QH,2025-10-29,259840.0,40320.0,6.4
SPRB,2024-03-14,389.25,60.8,6.4
HHH,2023-08-14,12.39,78.17,6.3
LBGJ,2026-02-27,102.0,16.5,6.2
COHR,2022-09-08,266.22,43.26,6.2
TVRD,2025-10-13,41.6,6.69,6.2
VRM,2025-02-20,5.01,31.0,6.2
WSHP,2025-11-19,33.0,200.0,6.1
MSS,2023-12-15,152.1,25.0,6.1
WNW,2022-12-21,135100.0,22386.0,6.0
HCTI,2025-05-15,3361.5,561.74,6.0
RETO,2023-08-24,13360.0,2280.0,5.9
MI,2026-03-10,333.6,56.8,5.9
EZGO,2023-09-06,264000.0,45000.0,5.9
GSIW,2024-09-20,1566.0,268.0,5.8
LPA,2024-06-05,184.64,31.64,5.8
MBIO,2024-06-17,6.5,37.5,5.8
YHC,2025-03-21,79.45,14.0,5.7
PHUN,2021-10-22,76.5,437.0,5.7
FBRX,2021-09-03,714.75,126.5,5.7
ASST,2025-05-07,12.2,67.8,5.6
ADTX,2023-08-31,2391984000.0,13424400000.0,5.6
MLGO,2025-03-24,75.6,419.7,5.6
UCAR,2023-04-21,43180.0,7830.0,5.5
MLGO,2025-02-21,34.5,190.8,5.5
PETZ,2022-01-10,81.6,14.8,5.5
FLYE,2024-07-23,638.0,117.0,5.5
QH,2026-02-26,35840.0,6553.6,5.5
CCTG,2024-02-01,211.9,39.0,5.4
CTNT,2024-05-14,3808.0,20480.0,5.4
TOP,2023-04-28,20.0,108.21,5.4
OTLK,2023-08-30,28.2,5.37,5.3
SBET,2025-05-27,6.72,35.83,5.3
JDZG,2026-02-17,95.25,18.0,5.3
TDIC,2025-10-10,30.5,5.8,5.3
CISS,2025-12-11,239.4,46.2,5.2
UGRO,2026-03-25,7.02,36.29,5.2
EPSM,2025-09-09,26.98,138.0,5.1
CCXI,2026-02-09,51.99,10.26,5.1
PRFX,2024-12-19,10.85,55.8,5.1
KOD,2022-02-23,50.35,9.86,5.1
STFS,2025-01-22,540.4,105.6,5.1
HOLO,2023-09-13,85040.0,16960.0,5.0
WAI,2025-07-07,90.75,18.02,5.0
QXO,2024-07-30,60.5,12.05,5.0
SNWV,2022-04-29,37.5,7.5,5.0
SNWV,2022-05-02,7.5,37.5,5.0
WNW,2026-03-17,215.0,43.07,5.0
ATRA,2023-11-09,30.25,6.0,5.0
CHSN,2024-10-04,24320.0,118480.0,4.9
RLMD,2022-10-13,31.69,6.47,4.9
TOP,2023-05-04,84.8,17.48,4.9
MTC,2022-08-02,12.8,62.8,4.9
RNA,2026-02-27,72.8,14.75,4.9
OMH,2023-05-16,308.8,63.5,4.9
INTS,2025-10-30,6.67,33.0,4.9
AEMD,2021-06-09,1768.0,8632.0,4.9
STFS,2025-08-20,82.8,17.4,4.8
INLF,2025-02-18,261.28,54.24,4.8
FIG,2025-07-31,23.82,115.5,4.8
SPHL,2025-03-12,48.0,9.92,4.8
HCTI,2025-05-16,561.74,118.03,4.8
KRRO,2025-11-13,31.42,6.5,4.8
CRE,2025-08-13,83.52,17.88,4.7
HTCO,2026-04-28,38.22,8.09,4.7
BULL,2025-04-14,13.25,62.9,4.7
EDHL,2025-07-14,68.8,14.61,4.7
CAPR,2025-12-03,6.36,29.96,4.7
GNLN,2024-08-12,14826.0,69000.0,4.7
CNEY,2024-09-11,7.46,34.75,4.7
MLGO,2023-12-07,57480.0,12300.0,4.7
KIDZ,2025-05-01,57.5,268.0,4.7
FJET,2025-12-22,6.69,31.5,4.7
SPPL,2024-03-12,45.36,9.92,4.6
SRRK,2024-10-07,7.42,34.28,4.6
PRAX,2022-06-06,128.85,28.2,4.6
CAPS,2023-06-23,37.0,8.0,4.6
MTEN,2026-01-09,120.52,26.38,4.6
SOBR,2022-05-16,9801.0,2200.0,4.5
MFI,2024-04-26,83.52,18.64,4.5
STI,2026-06-04,5.04,22.71,4.5
NMAX,2025-04-02,233.0,52.52,4.4
ACON,2025-03-06,189.0,43.2,4.4
IMUX,2022-10-21,92.0,20.8,4.4
GCTK,2024-11-13,1883.28,432.0,4.4
RPT,2024-12-03,76.98,18.0,4.3
FCHL,2026-04-17,46.5,10.75,4.3
SUNE,2025-04-07,43.2,10.0,4.3
LICN,2024-12-06,424.0,97.72,4.3
AHMA,2026-02-04,28.88,6.75,4.3
BIAF,2025-04-01,7.8,32.7,4.2
THH,2026-01-15,32.0,7.6,4.2
HCWB,2024-11-18,11.78,49.6,4.2
DUO,2024-05-17,6.38,26.88,4.2
CLRB,2024-12-11,38.4,9.16,4.2
AZTR,2024-07-24,33.1,7.79,4.2
NVNI,2024-12-19,6.4,26.7,4.2
RBNE,2025-06-13,16.75,70.0,4.2
OMH,2023-05-08,61.99,259.8,4.2
PSTV,2025-03-06,8.75,36.0,4.1
CNR,2025-01-15,24.66,101.91,4.1
IBTA,2024-04-18,25.35,103.25,4.1
OCG,2025-12-12,601.26,145.2,4.1
TNON,2022-05-12,2910.4,708.8,4.1
NCI,2024-04-24,380.0,93.6,4.1
TLIH,2025-07-24,66.0,16.1,4.1
GSIW,2024-09-13,2440.0,598.0,4.1
SKK,2024-11-21,45.6,11.0,4.1
ZURA,2023-03-22,7.24,30.0,4.1
QTTB,2024-12-11,24.41,5.95,4.1
MTNB,2023-10-11,7.75,32.05,4.1
PRFX,2023-07-11,486.0,1980.0,4.1
AIRE,2023-10-24,10166.75,2500.0,4.1
ORKT,2024-10-24,30.44,7.4,4.1
HOLO,2024-02-20,53088.0,13128.0,4.0
RGS,2024-06-25,5.07,20.52,4.0
WHLR,2024-09-05,77868.0,312984.0,4.0
JCSE,2022-07-20,36.3,9.0,4.0
TENX,2023-11-13,12.48,49.6,4.0
OST,2025-04-15,19.98,79.75,4.0
LUNR,2023-02-23,81.99,20.3,4.0
BURU,2024-08-02,5.31,21.46,4.0
CRWD,2026-07-02,772.74,193.98,4.0
PLRZ,2025-05-02,380.1,1515.0,4.0
MLGO,2023-12-06,14520.0,57480.0,4.0
INLF,2026-01-30,5.88,22.72,3.9
OCG,2025-12-09,1729.2,6778.2,3.9
VRAX,2022-07-29,208.0,54.0,3.9
GVH,2025-06-26,139.0,35.7,3.9
CLIK,2025-04-16,79.65,20.55,3.9
ANTX,2024-02-12,20.0,5.1,3.9
MLGO,2024-06-24,2316.0,9000.0,3.9
STI,2025-10-13,5.49,21.62,3.9
AKAN,2022-05-09,506250.0,128812.48,3.9
INBS,2023-01-23,628.8,2472.0,3.9
MWG,2023-04-28,78.4,20.1,3.9
CBIO,2022-09-21,29.1,7.51,3.9
GNS,2023-01-19,5.36,20.9,3.9
PPCB,2025-04-14,63.5,249.5,3.9
EJH,2024-04-25,36375.0,9625.0,3.8
TGL,2025-12-05,6.76,25.44,3.8
AZTR,2024-02-14,173.87,45.35,3.8
FCUV,2021-09-01,340.0,1285.33,3.8
TOP,2022-10-14,20.69,5.49,3.8
HAO,2024-09-19,9600.0,2560.0,3.8
BNAI,2026-01-26,16.48,62.08,3.8
RNAZ,2023-09-25,24541.44,94248.0,3.8
PYPD,2022-09-02,161.7,42.9,3.8
RGC,2025-06-16,15.66,60.0,3.8
BOXL,2025-01-06,13.8,50.4,3.7
RFL,2021-10-28,30.17,8.09,3.7
SAFX,2025-06-11,23.8,6.36,3.7
KROS,2024-12-12,68.65,18.43,3.7
CNEY,2023-01-30,1627.5,441.75,3.7
SBFM,2022-02-15,17760.0,4780.0,3.7
GNPX,2024-10-21,20.65,75.5,3.7
RNAZ,2023-09-26,94248.0,25528.27,3.7
CETX,2024-05-01,35910.0,9623.25,3.7
MDGL,2022-12-19,63.8,234.83,3.7
MPLT,2026-07-27,36.56,9.9,3.7
TWG,2025-12-08,6.01,22.01,3.7
TWG,2025-12-09,22.01,6.0,3.7
STSS,2025-03-28,45.81,12.69,3.6
INHD,2025-08-25,628.8,2280.0,3.6
HTCO,2025-05-14,36.0,10.0,3.6
AIMD,2022-05-20,168.64,47.02,3.6
ANPA,2026-01-09,24.2,86.85,3.6
BBIO,2021-12-27,40.62,11.38,3.6
PPCB,2025-08-15,260.0,71.75,3.6
NVNO,2025-08-20,146.65,40.95,3.6
EJH,2026-03-09,22.62,6.27,3.6
BENF,2024-05-03,15.36,54.56,3.6
ZJYL,2023-12-18,28.01,101.87,3.6
CODX,2025-10-27,10.52,37.8,3.6
FLY,2025-08-07,17.03,60.35,3.5
MLEC,2023-01-06,822.0,2887.5,3.5
QURE,2025-09-24,13.66,47.5,3.5
WCT,2025-03-11,125.5,35.74,3.5
SHPH,2022-09-02,10480.0,2980.0,3.5
GSIW,2026-03-09,9.54,33.21,3.5
SDOT,2026-06-26,6.18,21.45,3.5
KELYB,2026-02-05,10.81,37.96,3.5
CRBP,2024-01-26,8.44,29.49,3.5
LB,2024-06-28,79.92,23.15,3.5
SMX,2025-11-28,1699.22,5960.94,3.5
LUNR,2023-02-16,12.74,44.77,3.5
SBET,2025-06-13,32.53,9.21,3.5
FUBO,2025-01-06,17.28,60.72,3.5
NEON,2025-09-04,21.52,6.16,3.5
SITC,2024-10-01,60.5,17.06,3.5
WNW,2024-01-30,15500.0,4440.0,3.5
PAVS,2026-03-16,19.44,5.65,3.4
HTCO,2026-04-27,11.25,38.22,3.4
CHSN,2026-04-27,18.37,5.38,3.4
EPSM,2025-09-10,138.0,40.41,3.4
GSIW,2024-09-19,454.0,1566.0,3.4
NCI,2026-02-11,6.24,21.12,3.4
NCL,2023-11-07,158.32,46.24,3.4
GCTK,2023-04-06,2110.78,7140.0,3.4
CYN,2024-12-20,241.5,70.33,3.4
CNSP,2023-04-14,20550.0,70500.0,3.4
HUDI,2022-11-03,30.84,105.72,3.4
CHR,2025-10-01,101.62,30.11,3.4
CHNR,2024-02-15,8.25,27.76,3.4
INLF,2026-02-02,22.72,6.8,3.3
JANX,2024-02-27,15.1,49.75,3.3
CALY,2026-01-16,50.38,15.14,3.3
SOBR,2022-09-20,1001.0,3333.0,3.3
CBIO,2022-05-23,5.7,19.05,3.3
SIDU,2022-06-15,144.0,468.0,3.3
NCI,2026-03-31,46.8,14.24,3.3
TWG,2024-10-11,192.6,642.6,3.3
HCTI,2025-06-12,137.45,448.2,3.3
GNPX,2025-10-15,12.62,42.0,3.3
DGNX,2025-01-29,14.99,50.15,3.3
BKKT,2021-10-25,228.75,765.0,3.3
PTLE,2025-01-15,1161.6,348.0,3.3
CMCT,2026-03-17,54.0,16.41,3.3
PN,2026-03-30,20.0,6.22,3.2
BAOS,2023-05-01,5.05,16.0,3.2
HKIT,2024-02-08,57.0,181.5,3.2
UPC,2024-12-06,42.0,135.6,3.2
KALA,2022-12-28,196.0,624.0,3.2
OM,2024-08-08,51.0,16.05,3.2
NCPL,2022-07-13,577.5,182.7,3.2
XHLD,2025-02-14,102.0,31.5,3.2
VCIG,2023-05-03,30005640.0,9349200.0,3.2
JCSE,2022-04-27,48.63,15.36,3.2
TANH,2022-03-16,1536.0,478.56,3.2
WNW,2025-01-14,6000.0,1900.0,3.2
NVNI,2024-12-20,26.7,85.8,3.2
STSS,2025-01-28,438.0,139.92,3.1
SMX,2025-12-31,5024.41,1596.68,3.1
BOXL,2025-09-22,9.36,28.62,3.1
BGL,2025-06-27,20.11,62.5,3.1
PLRZ,2024-12-18,1575.0,4935.0,3.1
DFNS,2026-07-31,84.98,27.68,3.1
PGY,2022-09-20,83.88,27.48,3.1
ATXG,2022-09-02,4500.0,1438.5,3.1
MKDW,2025-04-07,5.1,15.6,3.1
UPC,2024-09-13,1002.0,326.4,3.1
WLDS,2023-05-25,108.65,338.4,3.1
AZTR,2024-07-23,10.79,33.1,3.1
JZXN,2025-04-24,296.0,94.4,3.1
XPON,2024-08-07,26.03,8.35,3.1
SOBR,2024-12-16,35.7,11.5,3.1
GCT,2022-08-19,15.69,48.01,3.1
LGCL,2025-09-10,20.8,6.7,3.1
CYN,2025-02-10,9.03,27.7,3.1
JDZG,2026-02-18,18.0,5.84,3.1
IMTE,2022-06-08,112.3,36.5,3.1
MBRX,2025-02-13,10.5,31.75,3.0
COSM,2022-12-19,23.01,7.59,3.0
NVVE,2025-11-13,6.25,19.03,3.0
GMM,2024-03-18,44.1,14.55,3.0
LUCY,2023-04-11,29.2,88.0,3.0
WLFC,2026-07-20,191.65,63.12,3.0
