label,med,mean,hold,per_day,pf,yrs,worst
"hold 20 bars, no stop",0.28074922499970467,0.6177212275164976,20.0,0.014037461249985233,1.1485454973813036,3,-0.5664693131243346
"hold 40 bars, no stop",0.3976951122056817,1.0835226969966214,40.0,0.009942377805142042,1.190222810686424,4,-0.8386026501267905
"hold 60 bars, no stop",0.6745824463255947,1.615403768742068,60.0,0.011243040772093245,1.2399848637477453,4,-1.2112321633734044
"hold 90 bars, no stop",0.8616489240291405,2.1974590680263253,90.0,0.009573876933657117,1.2725413385993007,4,-2.614041684186108
"hold 120 bars, no stop",0.46063742355342846,2.1385528778462226,120.0,0.0038386451962785706,1.2268173428877525,4,-6.569425043264465
trail 15% · cap 120,-4.628056633231948,0.08776371855021792,41.0,-0.11287943007882799,1.0147787448928325,0,-6.306927434349835
trail 25% · cap 120,-3.323057696202963,0.9208828838990241,120.0,-0.027692147468358026,1.1109364139562254,1,-10.137021788848937
trail 35% · cap 120,-0.9314235093855647,1.6436397101972238,120.0,-0.0077618625782130395,1.179601129416514,3,-6.688206441293004
trail 50% · cap 120,0.20237160302985516,1.9971435351340852,120.0,0.001686430025248793,1.211595502364811,4,-6.569425043264465
target +8% · stop 10% · cap 60,7.85,0.2092339876825784,13.0,0.6038461538461538,1.050103103847013,6,7.85
target +8% · stop 15% · cap 60,7.85,0.4719070800412785,18.0,0.4361111111111111,1.1068895785275064,6,7.85
target +12% · stop 10% · cap 60,0.0803773255778907,0.410806656112564,19.0,0.004230385556731089,1.0840756870056352,2,-10.149999999999986
target +12% · stop 15% · cap 60,5.617829875591701,0.7218849780190371,28.0,0.2006367812711322,1.137366261271551,6,2.5419132591903035
target +16% · stop 10% · cap 60,-4.0686695505452,0.49214469964452956,24.0,-0.16952789793938336,1.092889923846269,1,-10.149999999999999
target +16% · stop 15% · cap 60,1.6874657543818838,0.8308447352297724,37.0,0.04560718255086173,1.14435446547857,5,-0.906864702945581
target +20% · stop 10% · cap 60,-6.850751756473694,0.5443602205885817,29.0,-0.23623281918874808,1.0985263917633041,0,-10.149999999999999
target +20% · stop 15% · cap 60,0.19293463667014468,0.884290388650004,46.0,0.004194231231959667,1.1462187481314283,3,-2.7899783767369515
target +30% · stop 10% · cap 60,-10.149999999999986,0.5080765085101944,38.0,-0.26710526315789435,1.0878759740515822,0,-10.149999999999999
target +30% · stop 15% · cap 60,-1.1271719616465279,0.8472687117934821,60.0,-0.018786199360775465,1.132793889746905,2,-4.447886129874284
target 3×ATR% · stop 15% · cap 60,5.561217633678588,0.5597752240613967,21.0,0.26481988731802797,1.1078241789519716,6,4.724701808513766
target 5×ATR% · stop 15% · cap 60,0.7498639328753334,0.8130687322228692,36.0,0.02082955369098148,1.1332124013317795,4,-3.62196395794479
target 8×ATR% · stop 15% · cap 60,-1.420829604160506,0.8477141782585729,57.0,-0.02492683516071063,1.1308979020707457,2,-5.227713586189814
