ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
AAL,8867,-0.122,6.623,-0.277,-0.088,0.427,0.081,0.375,1.603,0.506,-7.058,-0.155,0.034,0.549,0.203,0.497,1.725,0.628,2
AAOI,5723,0.331,17.681,1.462,-0.842,1.215,0.76,1.22,-0.937,0.016,3.381,1.131,-1.172,0.884,0.43,0.889,-1.268,-0.314,1
AAON,8380,0.367,6.982,0.0,0.671,0.498,0.316,0.31,0.016,0.144,-2.985,-0.367,0.304,0.131,-0.051,-0.057,-0.351,-0.223,2
AAPL,8867,0.495,3.89,0.472,0.401,0.754,0.391,0.114,0.856,0.412,-0.108,-0.023,-0.094,0.259,-0.104,-0.381,0.361,-0.082,2
ABBV,8867,0.455,3.444,0.473,0.46,0.574,0.283,0.351,0.103,0.232,-1.166,0.018,0.005,0.118,-0.173,-0.104,-0.353,-0.223,2
ABCL,4730,-1.068,9.595,-3.304,-0.564,-0.921,-1.068,-2.567,0.0,-0.061,-6.801,-2.237,0.503,0.146,0.0,-1.5,1.068,1.006,0
ABNB,8867,0.438,5.912,0.673,0.544,0.241,0.639,1.171,0.501,1.156,-1.591,0.235,0.106,-0.197,0.201,0.733,0.063,0.718,2
ABT,8867,0.021,3.214,0.027,0.082,0.238,0.039,-0.154,-0.357,0.58,-1.259,0.006,0.061,0.217,0.018,-0.175,-0.378,0.559,2
ACAD,8859,-0.12,7.01,-0.295,0.365,-0.564,-0.192,-0.207,-0.449,-1.716,-1.157,-0.175,0.485,-0.444,-0.072,-0.087,-0.329,-1.596,2
ACB,4599,-2.611,12.265,-2.658,-2.177,-1.569,-1.882,-2.326,-3.103,-4.602,-4.205,-0.047,0.434,1.043,0.73,0.286,-0.491,-1.99,1
ACDC,4288,-0.604,10.992,-0.266,-0.16,-0.531,-0.21,0.259,0.297,3.465,-1.171,0.338,0.444,0.073,0.394,0.863,0.901,4.068,2
ACGL,8867,0.434,3.204,0.992,0.488,0.562,0.295,0.904,0.345,0.02,-1.124,0.558,0.054,0.128,-0.139,0.47,-0.089,-0.415,2
ACHC,8867,0.04,6.889,0.119,0.184,0.17,-0.502,-0.199,-0.012,-0.129,-2.604,0.08,0.144,0.13,-0.541,-0.239,-0.052,-0.169,2
ACIW,8746,0.153,4.903,1.021,0.146,0.198,0.511,0.319,0.143,0.129,-0.81,0.868,-0.007,0.045,0.358,0.166,-0.009,-0.024,2
ACLS,8811,0.296,7.786,0.125,0.397,0.341,0.131,0.528,0.572,0.336,-9.799,-0.172,0.101,0.045,-0.165,0.232,0.276,0.04,0
ACMR,8493,0.915,11.471,2.349,0.738,-0.231,0.719,1.606,0.209,0.467,-2.164,1.434,-0.177,-1.145,-0.196,0.691,-0.706,-0.448,3
ACN,8867,0.149,4.447,0.029,-0.378,0.247,0.364,-0.306,0.51,0.791,-1.376,-0.12,-0.526,0.098,0.216,-0.454,0.361,0.642,2
