ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
A,8867,-0.003,4.181,-0.278,0.227,0.027,-0.04,0.229,0.135,0.699,-2.13,-0.275,0.23,0.03,-0.037,0.232,0.138,0.703,0
AA,8867,0.222,8.01,0.683,0.877,0.147,0.334,-0.036,1.66,-1.881,-4.546,0.461,0.654,-0.075,0.111,-0.258,1.438,-2.104,2
AAL,8867,-0.122,6.623,-0.277,-0.088,0.427,0.081,0.375,1.603,0.506,-7.058,-0.155,0.034,0.549,0.203,0.497,1.725,0.628,2
AAOI,5723,0.331,17.681,1.462,-0.842,1.215,0.76,1.22,-0.937,0.016,3.381,1.131,-1.172,0.884,0.43,0.889,-1.268,-0.314,3
AAON,8380,0.367,6.982,0.0,0.671,0.498,0.316,0.31,0.016,0.144,-2.985,-0.367,0.304,0.131,-0.051,-0.057,-0.351,-0.223,2
AAP,8867,0.079,7.228,-0.048,0.432,0.494,0.144,0.481,-0.152,-0.187,-3.091,-0.127,0.353,0.415,0.065,0.402,-0.231,-0.266,2
AAPL,8867,0.495,3.89,0.472,0.401,0.754,0.391,0.114,0.856,0.412,-0.108,-0.023,-0.094,0.259,-0.104,-0.381,0.361,-0.082,0
AAT,6219,-0.076,4.521,0.11,0.063,-0.047,-0.051,0.116,0.097,0.418,-0.877,0.186,0.14,0.029,0.025,0.192,0.174,0.495,0
AB,8500,-0.042,3.901,0.608,0.057,-0.202,-0.384,0.594,-0.507,0.182,-0.474,0.65,0.099,-0.16,-0.342,0.636,-0.465,0.224,0
ABBV,8867,0.455,3.444,0.473,0.46,0.574,0.283,0.351,0.103,0.232,-1.166,0.018,0.005,0.118,-0.173,-0.104,-0.353,-0.223,0
ABCB,8553,0.211,4.529,0.442,0.422,-0.041,0.039,0.355,-0.648,-0.124,-0.242,0.231,0.211,-0.252,-0.172,0.144,-0.859,-0.335,0
ABCL,4730,-1.068,9.595,-3.304,-0.564,-0.921,-1.068,-2.567,0.0,-0.061,-6.801,-2.237,0.503,0.146,0.0,-1.5,1.068,1.006,2
ABG,8815,0.047,5.291,0.515,0.334,-0.138,-0.4,0.742,0.256,0.716,-2.636,0.467,0.286,-0.186,-0.447,0.695,0.209,0.669,0
ABM,8667,0.517,4.262,0.939,0.661,0.56,0.242,0.668,0.303,0.832,-2.532,0.422,0.144,0.043,-0.275,0.151,-0.214,0.315,0
ABNB,8867,0.438,5.912,0.673,0.544,0.241,0.639,1.171,0.501,1.156,-1.591,0.235,0.106,-0.197,0.201,0.733,0.063,0.718,0
ABR,8830,0.0,5.236,0.491,0.406,-0.488,-0.272,0.682,-0.429,0.66,0.126,0.491,0.406,-0.488,-0.272,0.682,-0.429,0.66,0
ABT,8867,0.021,3.214,0.027,0.082,0.238,0.039,-0.154,-0.357,0.58,-1.259,0.006,0.061,0.217,0.018,-0.175,-0.378,0.559,0
ACA,8194,0.266,4.959,0.978,0.428,0.209,-0.097,0.79,0.18,0.465,-2.494,0.712,0.162,-0.057,-0.363,0.524,-0.087,0.199,0
ACAD,8859,-0.12,7.01,-0.295,0.365,-0.564,-0.192,-0.207,-0.449,-1.716,-1.157,-0.175,0.485,-0.444,-0.072,-0.087,-0.329,-1.596,0
ACB,4599,-2.611,12.265,-2.658,-2.177,-1.569,-1.882,-2.326,-3.103,-4.602,-4.205,-0.047,0.434,1.043,0.73,0.286,-0.491,-1.99,3
ACDC,4288,-0.604,10.992,-0.266,-0.16,-0.531,-0.21,0.259,0.297,3.465,-1.171,0.338,0.444,0.073,0.394,0.863,0.901,4.068,0
ACGL,8867,0.434,3.204,0.992,0.488,0.562,0.295,0.904,0.345,0.02,-1.124,0.558,0.054,0.128,-0.139,0.47,-0.089,-0.415,0
ACHC,8867,0.04,6.889,0.119,0.184,0.17,-0.502,-0.199,-0.012,-0.129,-2.604,0.08,0.144,0.13,-0.541,-0.239,-0.052,-0.169,0
ACHR,4211,-0.825,11.647,-1.43,0.127,-0.197,-0.744,-0.212,-2.007,0.645,-5.925,-0.605,0.952,0.628,0.081,0.614,-1.182,1.47,2
ACI,8867,-0.098,4.703,-0.093,0.058,0.175,-0.239,0.0,-0.111,-0.761,-1.704,0.005,0.156,0.274,-0.141,0.098,-0.013,-0.663,0
ACIW,8746,0.153,4.903,1.021,0.146,0.198,0.511,0.319,0.143,0.129,-0.81,0.868,-0.007,0.045,0.358,0.166,-0.009,-0.024,0
ACLS,8811,0.296,7.786,0.125,0.397,0.341,0.131,0.528,0.572,0.336,-9.799,-0.172,0.101,0.045,-0.165,0.232,0.276,0.04,2
ACM,8867,0.268,3.637,0.44,0.397,0.208,0.193,0.227,0.155,-0.056,-1.048,0.172,0.129,-0.06,-0.075,-0.041,-0.113,-0.324,0
ACMR,8493,0.915,11.471,2.349,0.738,-0.231,0.719,1.606,0.209,0.467,-2.164,1.434,-0.177,-1.145,-0.196,0.691,-0.706,-0.448,1
ACN,8867,0.149,4.447,0.029,-0.378,0.247,0.364,-0.306,0.51,0.791,-1.376,-0.12,-0.526,0.098,0.216,-0.454,0.361,0.642,0
ACT,5735,0.527,4.127,1.317,0.629,0.143,0.493,1.208,0.277,0.18,-2.99,0.79,0.102,-0.384,-0.034,0.681,-0.249,-0.346,0
ACVA,8505,-0.159,8.345,0.529,-0.061,0.142,-0.111,-0.131,-1.031,0.606,-0.501,0.688,0.098,0.301,0.048,0.027,-0.872,0.765,0
ADBE,8867,-0.092,5.297,0.518,-0.292,0.117,-0.104,-0.159,0.552,0.673,-4.628,0.61,-0.199,0.21,-0.012,-0.066,0.645,0.766,0
ADC,8867,0.053,2.51,0.206,0.082,-0.141,-0.11,0.427,-0.047,-0.343,-0.84,0.153,0.028,-0.195,-0.163,0.373,-0.101,-0.397,0
ADEA,4472,1.29,8.694,0.839,0.717,1.477,0.574,0.231,2.141,0.991,-4.254,-0.451,-0.573,0.187,-0.716,-1.058,0.851,-0.299,2
ADI,8867,0.283,4.325,0.618,0.644,-0.056,0.155,0.921,0.079,0.085,0.011,0.336,0.362,-0.339,-0.128,0.638,-0.204,-0.197,0
ADM,8867,0.224,3.957,0.77,0.228,-0.219,-0.211,0.623,0.278,0.055,-0.174,0.545,0.004,-0.444,-0.435,0.399,0.053,-0.169,0
ADMA,4393,0.583,9.059,0.348,0.377,0.347,0.675,0.125,1.279,-1.344,-1.563,-0.234,-0.206,-0.236,0.092,-0.457,0.697,-1.926,2
ADNT,8866,-0.154,6.752,0.978,0.17,-0.078,-0.577,0.449,-0.353,0.791,-6.798,1.132,0.324,0.076,-0.424,0.602,-0.199,0.944,1
ADP,8867,0.213,3.061,-0.251,0.182,0.424,0.051,0.082,0.43,0.464,-2.674,-0.465,-0.031,0.211,-0.162,-0.131,0.217,0.251,0
ADPT,6750,0.0,10.255,-0.978,1.233,0.073,-0.559,-0.784,0.0,2.729,-2.52,-0.978,1.233,0.073,-0.559,-0.784,0.0,2.729,2
ADSK,8867,0.115,5.016,0.581,0.118,0.052,0.127,0.104,0.196,0.159,-3.488,0.466,0.003,-0.063,0.012,-0.011,0.081,0.045,0
ADT,8826,0.123,4.737,0.69,0.611,0.0,-0.25,0.495,0.0,0.125,-4.551,0.567,0.488,-0.123,-0.373,0.372,-0.123,0.002,0
ADTN,6818,-0.17,8.452,-1.504,0.294,-0.529,-0.633,-0.763,-0.798,-0.558,-4.112,-1.334,0.464,-0.359,-0.463,-0.593,-0.628,-0.388,2
ADUS,7165,0.157,5.125,0.33,-0.018,0.098,0.023,0.131,0.833,0.997,-1.388,0.173,-0.175,-0.058,-0.134,-0.025,0.677,0.84,0
AEE,8867,0.258,2.675,0.513,0.445,0.496,0.202,0.491,0.479,0.542,-0.036,0.256,0.188,0.239,-0.056,0.234,0.222,0.285,0
AEG,5632,0.637,3.69,0.817,0.644,0.8,0.46,0.395,0.58,0.738,-0.755,0.18,0.007,0.163,-0.177,-0.242,-0.057,0.101,0
AEHR,8245,0.392,15.143,1.14,0.222,-0.857,0.76,2.157,-0.46,2.185,-5.955,0.748,-0.171,-1.249,0.368,1.764,-0.852,1.793,1
AEIS,8634,0.517,5.851,0.752,1.078,0.567,0.516,1.107,0.489,-0.398,-2.447,0.235,0.561,0.05,-0.001,0.59,-0.028,-0.915,0
AEM,8867,0.423,5.402,0.799,0.025,1.118,0.545,0.072,0.491,0.893,-3.931,0.377,-0.397,0.695,0.123,-0.35,0.068,0.47,2
AEO,8867,-0.164,7.04,-0.207,-0.35,-0.384,0.185,-0.075,0.094,-0.791,-4.818,-0.044,-0.186,-0.22,0.349,0.089,0.258,-0.628,2
AEP,8867,0.335,2.806,0.074,0.454,0.384,0.38,0.153,0.661,0.943,-0.675,-0.261,0.119,0.049,0.045,-0.182,0.326,0.608,0
AER,8867,0.62,4.393,0.444,0.674,0.516,0.528,0.654,0.695,0.878,-1.433,-0.177,0.053,-0.104,-0.093,0.034,0.074,0.258,0
AES,8867,0.0,5.255,-0.136,-0.433,-0.261,0.307,-0.231,0.697,0.516,-2.537,-0.136,-0.433,-0.261,0.307,-0.231,0.697,0.516,0
