ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
A,8867,-0.003,4.181,-0.278,0.227,0.027,-0.04,0.229,0.135,0.699,-2.13,-0.275,0.23,0.03,-0.037,0.232,0.138,0.703,2
AAL,8867,-0.122,6.623,-0.277,-0.088,0.427,0.081,0.375,1.603,0.506,-7.058,-0.155,0.034,0.549,0.203,0.497,1.725,0.628,0
AAPL,8867,0.495,3.89,0.472,0.401,0.754,0.391,0.114,0.856,0.412,-0.108,-0.023,-0.094,0.259,-0.104,-0.381,0.361,-0.082,0
ABBV,8867,0.455,3.444,0.473,0.46,0.574,0.283,0.351,0.103,0.232,-1.166,0.018,0.005,0.118,-0.173,-0.104,-0.353,-0.223,0
ABNB,8867,0.438,5.912,0.673,0.544,0.241,0.639,1.171,0.501,1.156,-1.591,0.235,0.106,-0.197,0.201,0.733,0.063,0.718,2
ABT,8867,0.021,3.214,0.027,0.082,0.238,0.039,-0.154,-0.357,0.58,-1.259,0.006,0.061,0.217,0.018,-0.175,-0.378,0.559,0
ACGL,8867,0.434,3.204,0.992,0.488,0.562,0.295,0.904,0.345,0.02,-1.124,0.558,0.054,0.128,-0.139,0.47,-0.089,-0.415,2
ACN,8867,0.149,4.447,0.029,-0.378,0.247,0.364,-0.306,0.51,0.791,-1.376,-0.12,-0.526,0.098,0.216,-0.454,0.361,0.642,0
ADBE,8867,-0.092,5.297,0.518,-0.292,0.117,-0.104,-0.159,0.552,0.673,-4.628,0.61,-0.199,0.21,-0.012,-0.066,0.645,0.766,0
ADI,8867,0.283,4.325,0.618,0.644,-0.056,0.155,0.921,0.079,0.085,0.011,0.336,0.362,-0.339,-0.128,0.638,-0.204,-0.197,2
ADM,8867,0.224,3.957,0.77,0.228,-0.219,-0.211,0.623,0.278,0.055,-0.174,0.545,0.004,-0.444,-0.435,0.399,0.053,-0.169,2
ADP,8867,0.213,3.061,-0.251,0.182,0.424,0.051,0.082,0.43,0.464,-2.674,-0.465,-0.031,0.211,-0.162,-0.131,0.217,0.251,0
ADSK,8867,0.115,5.016,0.581,0.118,0.052,0.127,0.104,0.196,0.159,-3.488,0.466,0.003,-0.063,0.012,-0.011,0.081,0.045,2
AEE,8867,0.258,2.675,0.513,0.445,0.496,0.202,0.491,0.479,0.542,-0.036,0.256,0.188,0.239,-0.056,0.234,0.222,0.285,2
AEM,8867,0.423,5.402,0.799,0.025,1.118,0.545,0.072,0.491,0.893,-3.931,0.377,-0.397,0.695,0.123,-0.35,0.068,0.47,0
AEP,8867,0.335,2.806,0.074,0.454,0.384,0.38,0.153,0.661,0.943,-0.675,-0.261,0.119,0.049,0.045,-0.182,0.326,0.608,0
AES,8867,0.0,5.255,-0.136,-0.433,-0.261,0.307,-0.231,0.697,0.516,-2.537,-0.136,-0.433,-0.261,0.307,-0.231,0.697,0.516,0
AFL,8867,0.472,2.892,0.772,0.506,0.475,0.328,0.625,0.297,1.028,-0.118,0.3,0.034,0.003,-0.144,0.153,-0.175,0.556,2
AFRM,8867,0.103,13.246,0.069,0.207,1.127,0.461,-0.642,-0.623,-3.47,-3.141,-0.034,0.104,1.024,0.358,-0.745,-0.726,-3.573,0
