delta,est,lo,hi,estimator,v1,v2,status,block
0.0,-0.07490240812471072,-0.3353292099718666,0.27482558276030805,False,False,False,REJECT,VALIDITY
0.0,-0.06265567815856299,-0.415282171399588,0.3188723112318326,False,False,False,REJECT,VALIDITY
0.0,-0.18079913807417247,-0.5634636381358579,0.15503101753178594,False,False,False,REJECT,VALIDITY
0.0,-0.030821009819459455,-0.33114245248722557,0.3475344148856092,False,False,False,REJECT,VALIDITY
0.0,-0.08342815462724085,-0.46161294059142904,0.23720058078075384,False,False,False,REJECT,VALIDITY
0.0,0.021357196157623104,-0.32025672265031474,0.34917460963008684,False,False,False,REJECT,VALIDITY
0.0,0.04855933876986018,-0.26633768695704385,0.3522772741942866,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.0032580467283715997,-0.3943669152110707,0.3585494282642112,False,False,False,REJECT,VALIDITY
0.0,-0.04454932219554175,-0.39939588026322664,0.2813835167272205,False,False,False,REJECT,VALIDITY
0.0,-0.013050055872176891,-0.38684671873123244,0.28723850191552386,False,False,False,REJECT,VALIDITY
0.0,0.0724861657388165,-0.30222934072945323,0.3872482218861968,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.010923713385613265,-0.34668198548684165,0.2757260889200947,False,False,False,REJECT,VALIDITY
0.0,0.08242172816176341,-0.25726869192567725,0.4929409104328123,False,False,False,REJECT,VALIDITY
0.0,0.034221596068040316,-0.3104309402559774,0.385604128568792,False,False,False,REJECT,VALIDITY
0.0,-0.1596652065865345,-0.4849298791942666,0.10019585872383684,False,False,False,REJECT,VALIDITY
0.0,0.09749159466070356,-0.24414720655780847,0.4428117064910524,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.18079913807417247,-0.5165156923138622,0.10117345653593124,False,False,False,REJECT,VALIDITY
0.0,0.20126400288703605,-0.11839166735588269,0.5432292835717228,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.06180364729126975,-0.33064321517695117,0.40475148228188224,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.13901394004947054,-0.18011359495773202,0.5278951456087855,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.033114552402013775,-0.2946619326946112,0.349239620222695,False,False,False,REJECT,VALIDITY
0.0,-0.03963093193422029,-0.3832352634222022,0.3162791742118828,False,False,False,REJECT,VALIDITY
0.0,-0.009051606944943114,-0.3158553606073891,0.2843156369063216,False,False,False,REJECT,VALIDITY
0.0,0.021357196157623104,-0.3853288520145956,0.46075263289782464,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.11157901809265569,-0.4622207587526403,0.20637523736364308,False,False,False,REJECT,VALIDITY
0.0,-0.004165274839251776,-0.2932301449017019,0.2860875658133129,False,False,False,NULL,-
0.0,-0.06605230542262586,-0.45638148352041025,0.2838420140960186,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.09883192495941939,-0.4461250682560433,0.22859718121029612,False,False,False,REJECT,VALIDITY
