ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AAL,🏦majority,-0.104,6.642,0.104,-0.146,-0.075,0.419,0.025,0.741,0.709,-6.958
AAOI,⚡panic,0.297,17.846,1.453,-0.391,-0.07,-0.453,0.756,0.281,3.279,-1.481
AAON,🎲chase,0.403,7.242,0.015,0.088,0.221,0.193,0.016,-0.253,0.171,-4.574
AAPL,🏦majority,0.493,3.905,-0.099,0.008,-0.115,0.075,-0.103,-0.001,0.647,-2.585
ABBV,🏦majority,0.457,3.443,0.125,0.066,-0.016,-0.057,-0.006,-0.139,-0.271,-0.818
ABCL,🎲chase,-1.113,9.708,-1.305,-0.11,0.284,0.413,-1.148,-0.583,1.733,-0.972
ABNB,🏦majority,0.407,5.93,0.141,0.07,0.002,-0.069,-0.227,0.246,-0.162,-3.197
ABT,🏦majority,0.029,3.177,-0.059,-0.004,0.048,-0.104,-0.051,-0.325,-0.081,-0.904
ACAD,🏦majority,-0.138,7.012,0.3,0.101,-0.04,-0.266,0.399,-0.126,0.729,-3.711
ACB,🎰lottery,-2.652,12.69,-0.354,0.357,0.062,0.876,0.492,-0.668,0.033,-8.926
ACDC,⚡panic,-1.192,12.109,1.003,-0.206,-1.076,0.629,-0.159,-2.203,-1.418,-3.903
ACGL,🏦majority,0.432,3.206,0.466,0.09,-0.043,-0.116,0.33,-0.036,0.05,0.195
ACHC,🏦majority,0.024,6.924,-0.141,0.168,0.113,0.002,-0.184,0.35,0.81,-1.621
ACIW,🏦majority,0.212,4.972,0.305,0.108,0.025,-0.071,-0.049,-0.598,-0.602,-2.73
ACLS,🏦majority,0.264,7.88,0.548,-0.058,0.132,-0.135,0.214,-0.483,-0.052,-1.177
ACMR,🏦majority,0.942,11.701,-0.159,0.154,-0.07,0.059,-0.045,-0.044,-1.766,-1.454
ACN,🏦majority,0.153,4.437,-0.532,0.077,-0.108,0.073,-0.49,0.131,0.292,-2.382
ACT,🏦majority,0.517,4.554,0.413,0.104,-0.042,-0.078,0.318,-0.235,0.55,-0.705
ADBE,🏦majority,-0.06,5.312,0.085,-0.103,-0.118,-0.023,-0.074,0.396,-0.36,-1.561
ADEA,🎲chase,1.869,9.692,0.276,0.569,0.152,-0.326,-0.272,-0.96,-2.105,-2.704
ADI,🏦majority,0.277,4.313,0.417,0.203,0.011,-0.187,0.318,0.045,-0.173,-3.719
ADM,🏦majority,0.22,3.956,0.227,0.026,-0.052,-0.165,0.223,0.086,-0.237,-1.778
ADMA,🏦majority,0.682,9.098,0.413,-0.148,-0.093,0.084,0.954,-0.496,1.364,-1.462
