ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
A,🏦majority,0.014,4.18,-0.133,0.037,-0.028,0.063,-0.074,-0.179,0.389,-2.021
AAL,🏦majority,-0.104,6.642,0.104,-0.146,-0.075,0.419,0.025,0.741,0.709,-6.958
AAPL,🏦majority,0.493,3.905,-0.099,0.008,-0.115,0.075,-0.103,-0.001,0.647,-2.585
ABBV,🏦majority,0.457,3.443,0.125,0.066,-0.016,-0.057,-0.006,-0.139,-0.271,-0.818
ABNB,🏦majority,0.407,5.93,0.141,0.07,0.002,-0.069,-0.227,0.246,-0.162,-3.197
ABT,🏦majority,0.029,3.177,-0.059,-0.004,0.048,-0.104,-0.051,-0.325,-0.081,-0.904
ACGL,🏦majority,0.432,3.206,0.466,0.09,-0.043,-0.116,0.33,-0.036,0.05,0.195
ACN,🏦majority,0.153,4.437,-0.532,0.077,-0.108,0.073,-0.49,0.131,0.292,-2.382
ADBE,🏦majority,-0.06,5.312,0.085,-0.103,-0.118,-0.023,-0.074,0.396,-0.36,-1.561
ADI,🏦majority,0.277,4.313,0.417,0.203,0.011,-0.187,0.318,0.045,-0.173,-3.719
ADM,🏦majority,0.22,3.956,0.227,0.026,-0.052,-0.165,0.223,0.086,-0.237,-1.778
ADP,🏦majority,0.219,3.073,-0.184,0.032,0.203,0.081,-0.03,0.21,-0.225,-0.091
ADSK,🏦majority,0.123,5.034,0.111,-0.123,-0.16,-0.003,-0.132,0.063,-0.235,-0.271
AEE,🏦majority,0.269,2.679,0.241,0.082,-0.048,0.007,0.241,-0.171,0.03,0.317
AEM,🏦majority,0.415,5.391,-0.032,-0.145,0.027,0.033,0.05,0.041,-0.939,-2.165
AEP,🏦majority,0.335,2.815,-0.023,-0.044,-0.139,0.026,-0.134,0.027,0.33,-0.646
AES,🏦majority,0.0,5.245,-0.186,-0.075,-0.137,-0.047,-0.075,-0.102,0.272,-1.496
AFL,🏦majority,0.499,2.891,0.197,0.045,-0.035,-0.003,0.146,0.032,0.831,-0.683
AFRM,🏦majority,0.058,13.233,-0.429,0.219,-0.089,0.549,-0.477,-0.755,-0.005,-3.289
AGI,🏦majority,0.548,5.799,0.168,0.076,-0.29,-0.287,0.268,-0.521,0.251,-2.45
AI,🏦majority,-1.266,10.591,0.492,-0.006,-0.066,-0.199,0.481,-0.538,0.125,-7.341
AIG,🏦majority,0.456,3.506,0.303,0.138,-0.096,-0.015,0.144,0.055,0.555,-0.049
AIZ,🏦majority,0.373,3.335,0.241,0.093,-0.043,-0.181,0.321,0.083,0.097,-0.828
AJG,🏦majority,0.52,3.334,-0.152,-0.017,0.035,0.101,-0.1,0.098,0.148,-0.932
AKAM,🏦majority,0.167,5.432,-0.276,-0.1,0.051,-0.028,-0.267,-0.184,0.338,-1.098
ALB,🏦majority,-0.046,7.554,0.078,-0.379,0.134,0.029,-0.068,-0.246,-0.77,1.091
ALGN,🏦majority,-0.231,6.931,0.215,-0.21,0.085,0.149,0.029,0.539,0.066,-1.782
ALK,🏦majority,0.194,6.044,-0.472,-0.021,0.237,-0.087,-0.203,-0.173,0.786,-5.054
ALL,🏦majority,0.178,3.482,0.111,0.001,-0.097,0.02,-0.032,0.015,-0.134,0.369
ALLE,🏦majority,0.058,3.71,0.313,0.11,-0.029,-0.151,0.338,-0.029,-0.076,-3.405
AMAT,🏦majority,0.701,6.143,-0.198,0.305,0.063,-0.039,0.049,-0.017,-0.951,0.621
