edge,gate,d_med,d_sr,d_dsr,d_worst,yr_up
QZC,G_vix,0.6135,0.0169,0.0,0.6767,0.1667
QZC,G_lead,1.8275,0.1099,0.0,-1.4137,-0.0333
QZC,G_both,1.2837,0.1024,0.0002,1.61,0.1667
G3,G_vix,0.4414,0.029,0.0,2.02,0.1667
G3,G_lead,2.0136,0.1606,0.9252,2.7784,0.1667
G3,G_both,3.5502,0.279,0.9999,3.2121,0.1667
WSH,G_vix,0.5681,0.0124,0.0,3.6813,0.1667
WSH,G_lead,2.9217,0.2032,0.1502,2.8738,0.1667
WSH,G_both,3.4136,0.2278,0.5072,5.5705,0.1667
D+L1,G_vix,0.0651,0.0077,0.0,-2.233,0.0
D+L1,G_lead,1.3797,0.0752,0.0,-3.0201,-0.0667
D+L1,G_both,-1.7486,-0.07,0.0006,-10.971,-0.2667
SPR,G_vix,0.9226,0.0146,0.0,-1.1736,0.1667
SPR,G_lead,2.4818,0.222,0.3468,4.1245,0.3333
⚡G3A,G_vix,0.6869,0.0462,0.0,2.6888,0.1667
⚡G3A,G_lead,2.2407,0.1603,0.8838,3.6152,0.1667
⚡G3A,G_both,4.1157,0.2859,0.9996,4.0566,0.1667
L43,G_vix,-0.5844,-0.0407,-0.0074,-7.976,-0.1667
L43,G_lead,1.8427,0.1625,0.9297,0.0,0.0
L43,G_both,1.6816,0.2589,0.9268,-8.653,-0.2
