setup,n_40,med_40,mean_40,win_40,pf_40,hold_40,yrs_40,nyr_40,worst_40,n_60,med_60,mean_60,win_60,pf_60,hold_60,yrs_60,nyr_60,worst_60,n_90,med_90,mean_90,win_90,pf_90,hold_90,yrs_90,nyr_90,worst_90,n_120,med_120,mean_120,win_120,pf_120,hold_120,yrs_120,nyr_120,worst_120,d90
L43-TRIPLE,1926,3.8160002285943015,5.418146187689697,61.163032191069576,2.2910359026379608,39.2196261682243,6,6,1.1898174067703051,1926,3.866170886816972,6.631639496186797,60.33229491173417,2.3006105951558253,58.06905503634476,6,6,1.565381838675145,1926,6.0490046932215105,10.026366743831783,63.18795430944964,2.786120361821475,85.17133956386293,6,6,0.5666065889456231,1926,7.512738179013717,11.214751918103483,61.78608515057113,2.7129863105577563,109.98909657320873,5,6,-3.2932398653636454,2.1828338064045383
Z11-T11,823,4.824951667486715,6.839256695223261,64.6415552855407,2.9095770219829182,39.308626974483595,5,6,-2.411776084296685,823,6.449090057582923,9.730367736582313,66.70716889428918,3.330810964007565,58.32442284325638,6,6,0.3012150242284241,823,9.27451570870646,13.103419832920835,67.92223572296476,3.593747454104986,85.56865127582017,6,6,0.5771294463457202,823,9.899430450850783,14.462202756411765,65.61360874848117,3.3875825627446168,109.53948967193196,4,6,-8.849156171048083,2.8254256511235365
Washout,30166,1.0285924127242887,2.1445509282977557,52.97354637671551,1.34187172507483,38.916627991778824,5,6,-1.5996357444801657,30166,1.6486604934512206,2.963697322774898,53.9348935888086,1.3985123964829318,57.41861698601074,5,6,-2.574894357496821,30166,1.9009368884043754,3.8377482711266473,53.67632433865942,1.4328781282066378,83.59397997745806,4,6,-6.0187535711313025,30166,1.3634715621012985,4.163984281968487,52.25750845322549,1.407822117063333,107.42750116024663,4,6,-10.581652397683467,0.2522763949531548
D+L1,6315,0.713154620468798,1.8194844721665708,52.367379255740296,1.3326350682270514,38.440855106888364,4,6,-0.9152652909865442,6315,1.1638273046456429,2.4761177262507683,52.937450514647665,1.3811384215711642,56.348218527315915,4,6,-1.209868530537522,6315,1.5973973507549089,3.496064536688004,53.634204275534444,1.4641608070153127,81.33064133016627,4,6,-2.9384672720697447,6315,1.4311832002649019,4.123079166877877,53.14330958036422,1.490743458320443,103.6381631037213,4,6,-5.519868033542235,0.43357004610926597
G3-gap,20085,2.681342175181017,3.9735865221190116,58.02340054767239,1.8392373300987497,38.94523276076674,6,6,0.8384137524283299,20085,2.8411246777727825,4.748232956589612,56.92307692307692,1.8144682020589722,57.59422454568086,5,6,-0.991253620548532,20085,3.8589179017812167,6.735354912105161,57.96365446850884,1.997971182377325,84.26348020911128,4,6,-2.169949078765132,20085,4.2958416977045,7.95305450167348,57.65994523276077,2.055660222016166,108.54493403037092,4,6,-2.4834817232187723,1.0177932240084342
Atomic,62233,1.025779754685591,2.0869293615769813,53.192036379412855,1.373572808037026,38.63620587148298,4,6,-0.3484490297222197,62233,1.3298277361405932,2.88675631398602,53.38325325791783,1.434023456644594,56.82303600983401,4,6,-1.2139113096597984,62233,1.697229156265606,4.125717775181808,53.63553098838237,1.5356162120818204,82.44907042887215,4,6,-2.9766283062221732,62233,2.1245093285716274,5.443016302942186,53.94565584175598,1.6411577223240212,105.58941397650764,4,6,-5.035896961010095,0.36740142012501287
Spring,2990,0.9406700947383775,1.559498016360635,52.74247491638796,1.2462686912589669,38.9742474916388,5,6,-1.5221877619521926,2990,1.076043967102597,1.7271692535989154,52.374581939799334,1.2296827530522043,57.34749163879599,4,6,-3.2479429286978947,2990,0.01970145802530645,1.734077466102319,50.0,1.1873569936349073,83.08795986622074,4,6,-5.690710361823564,2990,0.534567046706075,1.7094641667564,51.1371237458194,1.1633899027706696,106.42207357859532,3,6,-8.603770990810949,-1.0563425090772904
P55,34851,-0.21691208001277093,0.5955794346895984,49.36730653352845,1.0936418206451959,38.61725631976127,4,6,-2.597117204650279,34851,-0.09974149793673935,1.0690738220365157,49.725976299101895,1.1433227375668262,56.61783019138619,4,6,-3.165471905962441,34851,0.17969753053493367,1.8990710494926373,50.357235086511146,1.2197671173563651,81.78379386531233,4,6,-4.566251206984151,34851,0.17195800787007123,2.6107815729221278,50.33714957963904,1.272965036125564,104.58770193107802,4,6,-6.6329980770757855,0.279439028471673
Parabola,104750,-0.3520422623366325,0.24606761216125692,48.74940334128878,1.0441351915059613,38.487245823389024,3,6,-4.186751642634784,104750,-0.07382480332742124,0.8466200928544502,49.77470167064439,1.13015271450976,56.28379952267303,3,6,-3.7347736406700136,104750,0.05760005718006846,1.6473068208531025,50.129832935560856,1.216271579623445,80.84345584725537,3,6,-5.146416779166779,104750,0.32619151943542046,2.584745958549191,50.76467780429594,1.3086939044985675,102.69329832935561,3,6,-9.536217926160855,0.1314248605074897
Atomic-R,3337,2.812586440543191,3.796097277117295,58.49565477974228,1.8650001491648962,39.56158225951454,6,6,0.006290159710059659,3337,3.611555119549986,5.246274694174959,59.66436919388672,2.0527468536996705,58.88792328438718,5,6,-1.0117191293708303,3337,4.318540989017988,6.406985751481818,58.76535810608331,2.019978864160018,86.91489361702128,5,6,-2.8878619573638797,3337,4.2314712713538425,7.311600989870473,57.446808510638306,2.004623285886758,112.8930176805514,5,6,-4.086389905481558,0.706985869468002
