generator,rep,band_p95,best_est,n_clears_band,n_promoted,n_final,pct_lvl0,pct_unchanged,pct_lvl1,pct_lvl2,combolab_freeze
marginal_date_v1,0,3.256809706799686,2.8830675408244133,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,1,3.2575051952153444,2.844051644206047,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,2,3.2799605559557676,2.8500085696578026,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,3,3.2926639495417476,3.1284780241549015,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,4,3.260273695923388,3.0358806252479553,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,5,3.303351146169007,2.669265028089285,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,6,3.2989116571843624,2.8328465297818184,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,7,3.3065494569018483,2.666471991688013,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,8,3.231117594987154,3.095955215394497,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,9,3.2869275705888867,2.8150321915745735,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,10,3.217117805033922,2.8732324950397015,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,11,3.233091328293085,3.2091213390231133,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,12,3.3135378919541836,2.9472018592059612,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,13,3.2880446361377835,3.061507176607847,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,14,3.2528893975540996,2.8868299908936024,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,15,3.2677285466343164,3.297656401991844,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,16,3.1916661048308015,3.3061633817851543,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,17,3.2493503019213676,2.9440367594361305,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,18,3.270090399309993,2.694254368543625,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,19,3.2875358080491424,3.2869772985577583,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,20,3.210180569440126,3.0368023552000523,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,21,3.25908110011369,3.0936107970774174,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,22,3.223227267153561,2.831040322780609,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,23,3.2492834515869617,2.93741337954998,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,24,3.235819791443646,2.792945224791765,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,25,3.2023455295711756,2.6183929294347763,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,26,3.1971502164378762,2.962587494403124,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,27,3.240707549266517,3.0783836729824543,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
