delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
0.0,adx0,2,0.23078800886567374,-0.004479650079156166,0.0,False,18,False,False,False,False,11,0.0,adx1&rs,0
0.0,sig_rs_intact,4,0.6311768453763069,0.01051204437340975,0.0,False,20,False,False,False,False,20,0.0,adx-1,0
0.0,adx1&rs,1,0.3251871976403411,0.08531509840299445,0.0,False,12,False,False,False,False,15,0.0,rsi<35&rs,1
0.0,sig_rs_intact+sig_conso,4,0.626629737406737,-0.018980867208779124,0.0,False,25,False,False,False,False,20,0.0,adx-1,0
0.0,rsi35-50&conso,4,0.6148698582581437,-0.0006583061757101903,0.0,False,21,False,False,False,False,20,0.0,adx-1,0
0.0,¬sig_lead_in_lag,4,0.6287013479265572,-0.16445263237436053,0.0,False,31,False,False,False,False,20,0.0,adx-1,0
0.0,sig_rs_intact+sig_conso,3,0.3372704509011807,-0.12336404964586933,0.0,False,30,False,False,False,False,24,0.0,adx-1,0
0.0,adx1,4,0.6259232873878163,0.10784600503846997,0.0,False,8,False,False,False,False,20,0.0,adx-1,0
0.0,adx3&rs,4,0.6251332878999585,-0.04901566805809914,0.0,False,28,False,False,False,False,20,0.0,adx-1,0
0.0,adx3,2,0.2247749333070942,-0.06118251113848228,0.0,False,26,False,False,False,False,11,0.0,adx1&rs,0
0.0,adx3,4,0.6317795837053705,-0.08574650472626506,0.0,False,30,False,False,False,False,20,0.0,adx-1,0
0.0,adx-1,0,0.39754612462749644,-0.16109823326488254,0.0,False,30,False,False,False,False,14,0.0,rsi<35&rs,0
0.0,¬sig_lead_in_lag,0,0.3853375596083232,-0.09973760183479267,0.0,False,28,False,False,False,False,14,0.0,rsi<35&rs,0
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,1,0.3273654600484946,0.11479699596567683,0.0,False,9,False,False,False,False,15,0.0,rsi<35&rs,1
0.0,adx-1,1,0.3045725624326398,0.17673934235956115,0.0,False,3,True,True,False,False,15,0.0,rsi<35&rs,1
0.0,rsi<35,2,0.22073592074047899,-0.03069323201754153,0.0,False,21,False,False,False,False,11,0.0,adx1&rs,0
0.0,rsi50-65&conso,3,0.32456760108290095,0.015011892775983023,0.0,False,11,False,False,False,False,24,0.0,adx-1,0
0.0,sig_conso+sig_lead_in_lag,0,0.4499084318020319,0.06853697363748903,0.0,False,10,False,False,False,False,14,0.0,rsi<35&rs,0
0.0,rsi<35,3,0.33177732244249886,-0.06164921722556481,0.0,False,23,False,False,False,False,24,0.0,adx-1,0
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,4,0.6307955269997719,0.12206331770031471,0.0,False,7,False,False,False,False,20,0.0,adx-1,0
0.0,sig_conso,4,0.6238505253417063,0.016228636648389923,0.0,False,17,False,False,False,False,20,0.0,adx-1,0
0.0,sig_lead_in_lag+sig_h1_dr,3,0.31591766223447,0.0328090029210895,0.0,False,8,False,False,False,False,24,0.0,adx-1,0
