delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
0.0,rsi<35&rs,3,0.31844206777074263,-0.047170621913962395,0.0,False,24,False,False,False,False,27,0.0,adx-1,0
0.0,sig_lead_in_lag+sig_h1_dr,3,0.31591766223447,0.0328090029210895,0.0,False,9,False,False,False,False,27,0.0,adx-1,0
0.0,¬sig_rs_intact,2,0.48186069585459856,-0.058986170166115195,0.0,False,30,False,False,False,False,16,0.0,sig_macro_vix_up,0
0.0,rsi50-65,3,0.3224935599998525,0.00878190678947675,0.0,False,14,False,False,False,False,27,0.0,adx-1,0
0.0,adx1&rs,2,0.4913959242650703,0.1823490755282235,0.0,False,6,False,False,False,False,16,0.0,sig_macro_vix_up,0
0.0,rsi35-50,2,0.5000400429926019,0.06938108813983054,0.0,False,11,False,False,False,False,16,0.0,sig_macro_vix_up,0
0.0,adx2,4,0.6230087922580866,0.04240093458674392,0.0,False,14,False,False,False,False,25,0.0,adx-1,0
0.0,sig_lead_in_lag+sig_h1_dr,4,0.6374929577870838,0.15337568081214195,0.0,False,3,True,True,False,False,25,0.0,adx-1,0
0.0,sig_lead_in_lag+sig_macro_vix_up,3,0.32150198859129736,-0.28037945560638633,0.0,False,37,False,False,False,False,27,0.0,adx-1,0
0.0,rsi35-50,1,0.32238831806312773,-0.07858270807641282,0.0,False,34,False,False,False,False,17,0.0,rsi<35&rs,1
0.0,¬sig_lead_in_lag,4,0.6287013479265572,-0.16445263237436053,0.0,False,37,False,False,False,False,25,0.0,adx-1,0
0.0,sig_rs_intact+sig_conso,3,0.3372704509011807,-0.12336404964586933,0.0,False,33,False,False,False,False,27,0.0,adx-1,0
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,2,0.48127345035269226,-0.14688693549066525,0.0,False,36,False,False,False,False,16,0.0,sig_macro_vix_up,0
0.0,¬sig_macro_vix_up,2,0.4789063543705574,-0.3330616185030305,0.0,False,37,False,False,False,False,16,0.0,sig_macro_vix_up,0
0.0,sig_lead_in_lag,3,0.3338615165222832,-0.033121315810831116,0.0,False,23,False,False,False,False,27,0.0,adx-1,0
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,0,0.5858579830208196,0.019028574833634,0.0,False,20,False,False,False,False,19,0.0,sig_lead_in_lag+sig_macro_vix_up,0
