ticker,seg_is2123
A,🏦
AA,⚡
AAL,🏦
AAON,🏦
AAP,🏦
AAPL,⚡
AAT,🏦
AB,🏦
ABBV,🏦
ABCB,⚡
ABCL,🏦
ABG,⚡
ABM,⚡
ABNB,⚡
ABR,🏦
ABT,🏦
ACA,🏦
ACAD,🏦
ACB,🏦
ACGL,🏦
ACHC,🏦
ACI,🏦
ACIW,🏦
ACLS,⚡
ACM,🏦
ACMR,🏦
ACN,🏦
ACRE,🏦
ACRS,🏦
ACVA,⚡
ADBE,🏦
ADC,🏦
ADI,🏦
ADM,🏦
ADNT,⚡
ADP,🏦
ADPT,⚡
ADSK,⚡
ADT,⚡
ADTN,🏦
ADUS,⚡
AEE,🏦
AEHR,🏦
AEIS,🏦
AEM,🏦
AEO,⚡
AEP,🏦
AER,⚡
AES,🏦
AFG,⚡
AFL,🏦
AFRM,🏦
AG,🏦
AGCO,⚡
AGEN,🏦
AGI,⚡
AGIO,🏦
AGL,⚡
AGM,🏦
AGNC,🏦
AGO,🏦
AGRO,🏦
AGYS,⚡
AHCO,⚡
AI,⚡
AIG,🏦
AIN,🏦
AIR,⚡
AIT,⚡
AIV,🏦
AIZ,🏦
AJG,🏦
AKAM,🏦
AKR,🏦
ALB,🏦
ALC,🏦
ALEC,⚡
ALG,🏦
ALGM,🏦
ALGN,🏦
ALGT,🏦
ALHC,🎰
ALIT,🏦
ALK,🏦
ALKS,🏦
ALKT,🏦
ALL,🏦
ALLE,🏦
ALLO,🏦
ALLY,⚡
ALNY,⚡
ALRM,🏦
ALSN,🏦
ALT,🏦
ALV,⚡
AM,🏦
AMAT,⚡
AMBA,🏦
AMC,🏦
AMCR,🏦
AMCX,⚡
AMD,🏦
AME,🏦
AMG,⚡
AMGN,🏦
AMH,🏦
AMKR,🏦
AMLX,🏦
AMN,🏦
AMP,⚡
AMPH,🏦
AMPL,⚡
AMR,⚡
AMRC,🏦
AMSF,⚡
AMT,🏦
AMTX,🏦
AMWD,🏦
AMWL,🏦
AMZN,⚡
AN,🏦
ANAB,⚡
ANDE,🏦
ANET,⚡
ANF,🏦
ANGI,🏦
ANGO,🏦
AON,🏦
AOS,🏦
AOSL,⚡
APA,⚡
APAM,🏦
APD,🏦
APG,🏦
APH,🏦
APLE,⚡
APO,⚡
APOG,🏦
APP,🏦
APPF,⚡
APPN,⚡
APPS,🎰
APTV,⚡
AQN,🏦
AR,⚡
ARCB,⚡
ARCC,🏦
ARCO,⚡
ARCT,⚡
ARE,🏦
ARES,🏦
ARI,⚡
ARLO,🏦
ARLP,🏦
ARMK,⚡
AROC,🏦
ARQT,🏦
ARR,🏦
ARRY,🏦
ARVN,🏦
ARW,🏦
ARWR,🎰
ASAN,🏦
ASB,🏦
ASC,🏦
ASH,🏦
ASIX,🏦
ASND,⚡
ASO,🏦
ASPN,🏦
ASTE,🏦
ASTL,⚡
ASTS,🏦
ATEC,⚡
ATEN,🏦
ATEX,🏦
ATI,🏦
ATKR,⚡
ATO,🏦
ATR,🏦
ATRA,🏦
ATRC,🏦
ATVI,🏦
AU,⚡
AUB,⚡
AUPH,⚡
AVA,🏦
AVAV,🏦
AVB,🏦
AVGO,🏦
AVNS,🏦
AVNT,🏦
AVT,🏦
AVTR,🏦
AVXL,⚡
AVY,🏦
AWI,🏦
AWK,🏦
AWR,🏦
AX,⚡
AXON,⚡
AXP,🏦
AXS,🏦
AXSM,🏦
AXTA,🏦
AYI,🏦
AZN,🏦
AZO,🏦
AZTA,🏦
AZZ,🏦
B,🏦
BA,🏦
BABA,⚡
BAC,🏦
BAH,🏦
BALL,⚡
BALY,⚡
BAM,⚡
BANC,🏦
BAND,🎰
BANF,🏦
BANR,🏦
BAP,🏦
BAX,🏦
BBIO,⚡
BBW,⚡
BBWI,🏦
BBY,🏦
BC,⚡
BCC,🏦
BCE,🏦
BCO,🏦
BCPC,🏦
BCRX,⚡
BDC,🏦
BDN,🏦
BDX,🏦
BE,🏦
BEAM,🏦
BEN,🏦
BEP,🏦
BEPC,🏦
BFAM,🏦
BFH,🏦
BG,🏦
BGS,🏦
BHC,⚡
BHE,🏦
BHF,⚡
BHVN,🏦
BIDU,🎰
BIIB,🏦
BILI,🏦
BILL,⚡
BIO,🏦
BIP,🏦
BIPC,🏦
BJ,🏦
BJRI,🏦
BKE,🏦
BKH,🏦
BKNG,🏦
BKR,🏦
BKU,🏦
BL,⚡
BLD,🏦
BLDP,🏦
BLDR,🏦
BLFS,🎰
BLK,🏦
BLKB,⚡
BLMN,🏦
BLNK,🏦
BMBL,⚡
BMI,🏦
BMO,🏦
BMRN,⚡
BMY,🏦
BNGO,🏦
BNL,🏦
BNS,🏦
BOH,🏦
BOKF,🏦
BOOT,🏦
BOX,⚡
BPOP,⚡
BR,🏦
BRBR,⚡
BRC,🏦
BRKR,🏦
BRO,🏦
BROS,⚡
BRSP,⚡
BRX,🏦
BRZE,🏦
BSM,🏦
BSX,⚡
BSY,🏦
BTAI,🏦
BTU,⚡
BURL,🏦
BWA,⚡
BWXT,🏦
BX,⚡
BXC,⚡
BXMT,🏦
BXP,🏦
BXSL,🏦
BYD,⚡
BYND,🏦
BZH,🏦
C,🏦
CABO,🎰
CACC,🏦
CACI,⚡
CAE,🏦
CAG,🏦
CAH,🏦
CAKE,⚡
CAL,⚡
CALM,🏦
CALX,🏦
CAMT,⚡
CAR,🏦
CARG,🏦
CARR,🏦
CARS,🏦
CASH,🏦
CASY,🏦
CAT,🏦
CATY,🏦
CB,🏦
CBOE,🏦
CBRE,🏦
CBRL,🏦
CBSH,🏦
CBT,⚡
CBU,🏦
CBZ,⚡
CC,🏦
CCEP,🏦
CCI,🏦
CCJ,⚡
CCK,🏦
CCL,⚡
CCOI,🏦
CCRN,⚡
CCS,🏦
CCSI,⚡
CD,🏦
CDLX,🏦
CDNA,⚡
CDNS,🏦
CDW,🏦
CDXS,🏦
CE,🏦
CEG,⚡
CELH,⚡
CENTA,🏦
CENX,🏦
CERT,🏦
CEVA,⚡
CF,⚡
CFFN,🏦
CFG,🏦
CFLT,⚡
CFR,🏦
CG,🏦
CGC,🏦
CGNX,🏦
CHCO,⚡
CHCT,⚡
CHD,🏦
CHDN,🏦
CHE,🏦
CHEF,⚡
CHGG,🏦
CHH,🏦
CHKP,🏦
CHPT,🏦
CHRS,🏦
CHRW,🏦
CHTR,🏦
CHWY,🏦
CI,🏦
CIEN,⚡
CIGI,🏦
CIM,🏦
CINF,🏦
CL,🏦
CLAR,⚡
CLB,🏦
CLDX,🏦
CLF,🏦
CLFD,🏦
CLH,🏦
CLNE,🏦
CLS,🏦
CLVT,🏦
CLX,🏦
CM,🏦
CMC,🏦
CMCO,🏦
CMCSA,🏦
CME,🏦
CMG,⚡
CMI,🏦
CMP,🏦
CMPR,🏦
CMRE,🏦
CMS,🏦
CNA,⚡
CNC,🏦
CNI,🏦
CNK,🏦
CNM,⚡
CNMD,🏦
CNNE,⚡
CNO,🏦
CNP,🏦
CNQ,⚡
CNS,🏦
CNX,⚡
CNXC,🏦
CODI,🏦
COF,🏦
COGT,🏦
COHR,⚡
COHU,⚡
COIN,🏦
COKE,🏦
COLB,⚡
COLD,🏦
COLL,🏦
COLM,🏦
COO,🏦
COP,🏦
CORT,⚡
COST,🏦
COTY,⚡
COUR,⚡
CP,🏦
CPA,🏦
CPB,🏦
CPK,🏦
CPNG,⚡
CPRI,⚡
CPRT,🏦
CPRX,🏦
CPT,🏦
CQP,⚡
CR,⚡
CRBU,⚡
CRC,⚡
CRDO,⚡
CRGY,⚡
CRH,🏦
CRI,⚡
CRK,⚡
CRL,⚡
CRM,🏦
CRMT,🏦
CRNC,🏦
CRNX,⚡
CROX,🏦
CRS,⚡
CRSP,🏦
CRSR,🏦
CRUS,🏦
CRVL,🏦
CRWD,⚡
CSCO,🏦
CSGP,🏦
CSIQ,🏦
CSL,🏦
CSR,🏦
CSTL,🏦
CSTM,🏦
CSWC,🏦
CSX,🏦
CTAS,🏦
CTKB,🏦
CTLT,🏦
CTRA,⚡
CTRE,🏦
CTRN,🏦
CTS,🏦
CTSH,🏦
CTVA,🏦
CUBE,🏦
CUBI,🏦
CUZ,🏦
CVBF,🏦
CVCO,⚡
CVE,⚡
CVGW,🏦
CVI,🏦
CVLT,🏦
CVNA,🏦
CVS,🏦
CVX,🏦
CW,⚡
CWAN,🏦
CWEN,🏦
CWH,🏦
CWK,🏦
CWST,🏦
CWT,🏦
CXM,⚡
CXW,⚡
CYRX,🏦
CYTK,⚡
CZR,⚡
D,🏦
DAC,⚡
DAL,🏦
DAN,🏦
DAR,🎰
DASH,🏦
DB,⚡
DBC,🏦
DBI,⚡
DBRG,🏦
DBX,🏦
DCGO,🏦
DCI,🏦
DCOM,🏦
DD,🏦
DDD,🏦
DDOG,⚡
DDS,🏦
DE,🎰
DEA,🏦
DECK,🏦
DEI,🏦
DELL,🏦
DFIN,⚡
DFS,🏦
DG,🏦
DGII,🏦
DGX,🏦
DH,🏦
DHI,🏦
DHR,🏦
DHT,🏦
DIA,🏦
DIN,⚡
DINO,🏦
DIOD,⚡
DIS,⚡
DK,🏦
DKNG,🏦
DKS,🏦
DLB,🏦
DLO,⚡
DLR,🏦
DLTR,🏦
DLX,🏦
DNA,⚡
DNLI,🏦
DNOW,🏦
DNUT,🏦
DOC,🏦
DOCN,🏦
DOCS,⚡
DOCU,🏦
DOLE,🏦
DOMO,⚡
DORM,🏦
DOV,🏦
DOW,🏦
DOX,🏦
DPZ,🏦
DRH,⚡
DRI,🏦
DRVN,🏦
DSGX,🏦
DT,🏦
DTE,🏦
DTM,🏦
DUK,🏦
DUOL,⚡
DV,⚡
DVA,🏦
DVN,🏦
DX,🏦
DXC,⚡
DXCM,🏦
DY,🏦
EA,🏦
EAF,⚡
EAT,🏦
EBAY,⚡
EBC,🏦
EBS,🎰
ECL,🏦
ECPG,🏦
ECVT,🏦
ED,🏦
EDIT,🏦
EEFT,🏦
EFC,🏦
EFSC,🏦
EFX,🏦
EGBN,🏦
EGO,🏦
EGP,🏦
EHC,🏦
EIG,⚡
EIX,🏦
EL,🏦
ELAN,🏦
ELF,🏦
ELS,🏦
EMBC,🏦
EME,⚡
EMN,🏦
EMR,🏦
ENB,🏦
ENOV,🏦
ENPH,🏦
ENR,🏦
ENS,🏦
ENSG,🏦
ENTA,🏦
ENTG,⚡
ENVA,🏦
ENVX,🏦
EOG,🏦
EOLS,🏦
EPAC,⚡
EPAM,⚡
EPC,🏦
EPD,🏦
EPR,🏦
EPRT,🏦
EQH,⚡
EQIX,🏦
EQR,🏦
EQT,⚡
ERIE,🏦
ERII,🏦
ES,🏦
ESAB,🏦
ESE,🏦
ESI,🏦
ESLT,🏦
ESNT,🏦
ESRT,🏦
ESS,🏦
ESTA,🏦
ESTC,⚡
ET,🏦
ETD,⚡
ETN,🏦
ETR,🏦
ETSY,🏦
EVGO,🏦
EVH,🏦
EVR,⚡
EVRG,🏦
EVTC,🏦
EW,🏦
EWBC,⚡
EXC,🏦
EXEL,🏦
EXLS,🏦
EXP,🏦
EXPD,🏦
EXPE,🏦
EXPO,🏦
EXR,🏦
EXTR,⚡
EYE,🏦
F,🏦
FA,⚡
FAF,🏦
FANG,⚡
FAST,🏦
FATE,🏦
FBK,🏦
FBNC,🏦
FBP,🏦
FBRT,🏦
FCEL,🏦
FCF,🏦
FCFS,🏦
FCN,⚡
FCNCA,⚡
FCPT,🏦
FCX,🏦
FDMT,⚡
FDP,🏦
FDS,🏦
FDX,🏦
FE,🏦
FELE,🏦
FERG,🏦
FFBC,🏦
FFIN,🏦
FFIV,🏦
FHB,⚡
FHI,🏦
FHN,⚡
FIBK,🏦
FICO,🏦
FIGS,🏦
FIS,🏦
FISV,🏦
FITB,🏦
FIVE,🏦
FIVN,🏦
FIX,⚡
FIZZ,🏦
FLEX,⚡
FLGT,🏦
FLNC,🏦
FLNG,⚡
FLO,🏦
FLR,🏦
FLS,🏦
FLT,🏦
FLWS,⚡
FLYW,⚡
FMC,🏦
FN,🏦
FNB,🏦
FND,🏦
FNF,🏦
FNKO,⚡
FNV,🏦
FORM,🏦
FOUR,⚡
FOX,🏦
FOXA,🏦
FOXF,🏦
FPI,⚡
FR,🏦
FRHC,⚡
FRME,🏦
FRO,🏦
FROG,⚡
FRPT,🏦
FRSH,⚡
FRT,🏦
FSK,🏦
FSLR,🏦
FSLY,⚡
FSS,🏦
FSV,🏦
FTAI,🏦
FTDR,🏦
FTI,⚡
FTNT,⚡
FTS,🏦
FTV,🏦
FUBO,🏦
FUL,⚡
FULT,🏦
FUN,⚡
FVRR,⚡
FWONA,⚡
FWONK,⚡
FWRD,⚡
G,🏦
GATX,🏦
GBCI,🏦
GBDC,🏦
GBX,🏦
GCO,⚡
GD,🏦
GDDY,🏦
GDOT,🏦
GDRX,⚡
GDYN,🏦
GE,🏦
GEF,🏦
GEL,⚡
GEO,🏦
GFF,🏦
GFL,🏦
GFS,🏦
GGG,🏦
GH,⚡
GHC,🏦
GIB,🏦
GIII,🏦
GIL,⚡
GILD,🏦
GIS,🏦
GKOS,🏦
GL,🏦
GLBE,⚡
GLD,🏦
GLNG,⚡
GLOB,⚡
GLPI,🏦
GLW,🏦
GM,🏦
GME,🏦
GMED,🏦
GNK,🏦
GNL,🏦
GNRC,🏦
GNTX,🏦
GO,🏦
GOGO,🏦
GOLD,🏦
GOLF,🏦
GOOD,🏦
GOOG,⚡
GOOGL,⚡
GOOS,⚡
GPC,🏦
GPI,🏦
GPK,🏦
GPN,🏦
GPOR,🏦
GPRE,🏦
GPRO,⚡
GRBK,🏦
GRMN,🏦
GRPN,⚡
GS,⚡
GSAT,🏦
GSBD,🏦
GSHD,🏦
GSL,🏦
GSM,⚡
GT,⚡
GTES,🏦
GTLB,⚡
GTLS,🏦
GTN,⚡
GTY,🏦
GVA,⚡
GWRE,🏦
GWW,🏦
GXO,🏦
H,🏦
HAE,⚡
HAIN,🏦
HAL,🏦
HALO,🏦
HAS,🏦
HASI,⚡
HAYW,⚡
HBAN,🏦
HBM,⚡
HCA,🏦
HCAT,🏦
HCC,⚡
HCI,🏦
HCSG,🏦
HD,🏦
HDSN,🏦
HE,🏦
HEI,🏦
HELE,🏦
HES,🏦
HESM,🏦
HFWA,🏦
HGV,🏦
HIG,🏦
HII,🏦
HIMS,🏦
HIW,🏦
HL,🏦
HLF,🏦
HLI,🏦
HLIO,🏦
HLIT,🏦
HLMN,⚡
HLNE,🏦
HLT,⚡
HMC,🏦
HMN,⚡
HNI,🏦
HOG,⚡
HOLX,🏦
HOMB,⚡
HON,🏦
HOOD,🏦
HOPE,🏦
HOV,🏦
HP,⚡
HPE,🏦
HPP,🏦
HPQ,🏦
HQY,🏦
HR,🏦
HRB,🏦
HRI,🏦
HRL,🏦
