ticker,entry_date,combo,entry,ret5,mfe,mae,best_bar,artifact
SDA,2023-05-24,T1G→T12→T6,9.33,364.2,390.14,-4.82,120.88,True
JAN,2021-10-07,T6→T2→T6,6.22,280.06,291.64,-0.96,267.6,True
FLY,2021-07-30,T10→T2→T6,17.03,198.0,333.35,188.37,6.88,False
CDIO,2023-11-03,T2G→T2G→T6,11.23,172.48,386.2,18.34,102.94,True
ARBB,2025-02-27,T2G→T2G→T6,7.2,102.08,158.33,-6.25,60.9,True
GME,2022-03-21,T2G→T6→T6,23.55,101.27,102.59,0.25,24.77,False
CORT,2025-03-24,T4→T10→T6,59.47,92.06,97.29,-9.55,109.08,True
CYN,2022-04-25,T2G→T1G→T6,33000.0,91.32,158.26,-4.96,40.46,True
TOP,2022-06-10,T5→T6→T6,23.92,79.77,86.16,-35.08,41.0,False
CAR,2026-04-14,T2→T2→T6,411.56,73.48,86.11,-18.6,23.27,True
BBBY,2022-08-04,T2→T2G→T6,5.59,72.81,116.99,6.08,39.76,False
DBVT,2025-05-20,T1G→T6→T6,9.6,71.15,76.88,-4.27,28.1,False
DAVE,2025-05-07,T1G→T2→T6,107.83,70.01,75.21,17.68,9.49,False
FLNC,2026-05-05,T3→T2→T6,12.69,67.69,115.84,-2.6,39.9,False
GME,2022-03-18,T9→T2G→T6,22.7,67.36,74.19,-1.15,30.74,False
STFS,2024-12-31,T2→T12→T6,283.2,67.23,72.46,0.56,23.46,True
DBGI,2025-12-19,T5→T9→T6,10.63,61.15,64.63,21.35,7.6,False
FBRX,2026-07-20,T4→T2→T6,47.49,61.09,61.3,2.25,39.65,False
HOLO,2025-05-20,T3→T10→T6,6.48,60.49,82.41,-17.13,72.19,True
AEVA,2025-05-07,T2G→T2→T6,9.07,59.32,59.54,-0.77,17.85,False
BTBT,2021-08-02,T1→T10→T6,10.4,56.73,99.42,-7.4,30.7,False
NNOX,2024-02-12,T9→T9→T6,6.64,55.72,115.06,-11.75,49.37,True
KRUS,2022-07-06,T4→T2→T6,50.41,53.03,54.2,-1.92,33.62,False
