ticker,date,prev1,prev2,close,ret5_c1,mae5_c1
NCI,2026-03-26,T10,T4,47.68,-81.63,-94.45
SOBR,2024-05-30,T1,T1,406.89,-80.04,-92.69
DUO,2021-10-22,T2G,T2,4860.0,-83.33,-89.95
VVOS,2022-01-25,T10,T2,70.25,-87.47,-89.66
VEEE,2025-11-20,T4,T2G,66.97,-85.26,-85.9
INM,2021-11-19,T10,T2G,910.0,-62.25,-84.88
VSME,2024-01-26,T2G,T2G,91.0,-69.91,-83.45
WHLR,2024-10-22,T10,T2,303912.0,-81.35,-83.31
RNA,2026-02-23,T6,T9,72.92,-77.26,-82.05
CYN,2022-08-22,T1,T1,19909.09,-66.69,-79.52
DOGZ,2025-01-15,T2G,T2,44.32,-31.18,-77.68
KXIN,2021-12-21,T12,T10,603450.0,-74.82,-76.98
VRAX,2022-07-27,T2G,T9,186.9,-48.37,-74.04
RETO,2022-01-18,T2G,T4,35400.0,-57.35,-71.34
AIRE,2023-11-15,T2G,T1,305.0,-69.83,-69.83
AMC,2023-08-17,T2,T2G,40.4,-69.61,-69.71
RGTI,2025-01-06,T10,T1,19.51,-40.51,-67.65
ARTV,2024-09-25,T2G,T2G,15.11,-18.09,-63.28
QTRX,2022-08-05,T2,T2G,17.47,-38.27,-61.73
LGHL,2021-10-08,T2G,T4,73775.0,-34.72,-56.01
BHVN,2025-10-29,T10,T1G,18.11,-50.95,-55.15
ZYBT,2025-04-28,T10,T4,14.15,-9.64,-53.64
CLNN,2021-07-22,T2,T2,183.6,-30.83,-50.45
XFOR,2021-12-23,T11,T2G,74.1,-19.44,-49.44
QURE,2026-02-25,T10,T4,24.87,-37.76,-48.98
BTM,2023-07-26,T2,T1G,30.38,-43.44,-48.59
EHTH,2021-11-03,T10,T9,46.46,-35.22,-46.0
ATRA,2023-08-03,T2G,T1,57.75,-38.26,-45.65
CDNA,2023-02-24,T2G,T9,14.45,-27.6,-44.94
AFRM,2022-02-08,T2G,T2G,65.25,-42.53,-43.95
TOP,2022-07-07,T2G,T2G,36.38,-19.51,-43.52
CRMD,2025-03-21,T10,T4,10.91,-42.8,-43.45
FLNC,2026-02-02,T12,T2G,30.89,-41.08,-43.25
GDHG,2023-11-06,T2G,T2,356625.0,1.55,-43.1
MASI,2022-02-10,T2G,T4,233.94,-33.21,-42.03
PI,2023-04-19,T2G,T6,141.4,-39.77,-40.48
EPSM,2025-05-15,T2,T3,13.1,17.32,-40.19
SFST,2022-08-09,T2G,T9,44.17,-26.08,-40.11
