pair,a,b,n,ret,win,mae,p10,d5,d10,n_mined,r_mined,r_oos
T12 → T2G → T6,T12,T2G,108,0.8736873293998748,57.407407407407405,-2.6504938379896426,-9.6715452688904,29.629629629629626,9.25925925925926,51,-0.34978377003307415,1.4814814814814836
T2G → T2 → T6,T2G,T2,486,0.7003434986419199,56.17283950617284,-2.5991971127304003,-8.27530659745424,22.22222222222222,7.20164609053498,242,0.5033962784603552,0.8666628047788172
T2G → T12 → T6,T2G,T12,211,0.5333902282910197,53.55450236966824,-2.8225108225108264,-9.882747068676723,30.80568720379147,9.95260663507109,110,0.6806165888492144,0.5221214619400838
T1 → T2 → T6,T1,T2,238,0.4611148610076943,53.36134453781513,-2.688094175960348,-9.287748666942857,27.310924369747898,9.243697478991598,116,0.7190057863992405,0.06098043824729338
T1G → T2G → T6,T1G,T2G,488,0.42827797853067784,53.893442622950815,-2.8998217867924336,-9.010873220490975,26.229508196721312,7.581967213114754,235,0.47309284447072386,0.35087719298245723
T1G → T2 → T6,T1G,T2,172,0.3980244798548749,53.48837209302325,-2.807686579752927,-8.709838758079044,27.906976744186046,7.55813953488372,86,0.4290281561814324,0.3278343741261014
T4 → T2 → T6,T4,T2,232,0.37904263333393695,53.01724137931034,-2.7886649247231556,-10.414081061298956,32.327586206896555,11.206896551724139,106,-0.5728073114948051,0.7108585858585759
T9 → T2G → T6,T9,T2G,573,0.3359086328518668,52.70506108202443,-3.0315789473684185,-9.77913120035497,32.11169284467714,9.598603839441536,320,0.3184507252786517,0.4289741389876145
T12 → T6 → T6,T12,T6,1166,0.32711801094488235,54.45969125214408,-2.280050506837261,-6.396047690197826,16.466552315608922,3.516295025728988,490,0.30459858589706457,0.3635621853954385
T6 → T2G → T6,T6,T2G,215,0.2981433798617594,53.48837209302325,-2.683528685996306,-8.361096729171821,23.72093023255814,6.046511627906977,108,0.15825969325629075,0.3089143865842914
T12 → T12 → T6,T12,T12,1208,0.1956223096299614,52.483443708609265,-2.5659442926445064,-7.656638826945898,22.599337748344368,5.877483443708609,505,0.13315579227695107,0.29333333333332323
T5 → T2G → T6,T5,T2G,504,0.1764866960039857,51.388888888888886,-3.15065944410951,-10.13300381265638,31.150793650793652,10.317460317460316,236,-0.3035875096860652,0.48127966186092275
T9 → T10 → T6,T9,T10,143,0.15220700152207556,51.048951048951054,-2.6315789473684292,-8.247364756501156,27.27272727272727,6.993006993006993,69,-0.6280788177340013,1.0132046724225408
T11 → T11 → T6,T11,T11,546,0.14554532876898119,52.01465201465202,-2.459125340497775,-7.740484535381098,20.32967032967033,6.7765567765567765,202,0.030408154021266398,0.16135745571147497
T9 → T2 → T6,T9,T2,176,0.10754167977350404,52.27272727272727,-3.289815565158233,-10.099669463513855,27.84090909090909,10.227272727272728,87,-0.37651759643458904,0.5555555555555536
T2 → T2G → T6,T2,T2G,810,0.10327794934567036,51.72839506172839,-2.8840633563609996,-9.19755111372266,27.160493827160494,8.148148148148149,342,-0.23689982899439133,0.45469576719576743
T9 → T12 → T6,T9,T12,102,0.10281783794080512,51.9607843137255,-3.307773018386123,-7.855453730776204,26.47058823529412,3.9215686274509802,45,-0.6761325219743042,0.7029876977152849
T11 → T6 → T6,T11,T6,535,0.0769674812391763,51.02803738317757,-2.3367117117117253,-6.829492475460565,19.626168224299064,4.299065420560748,198,-0.15186654639801067,0.21524866885691551
T3 → T3 → T6,T3,T3,1809,0.0757862826828326,51.299060254284136,-2.462686567164185,-8.24704054369658,23.548922056384743,6.7440574903261465,861,0.0,0.14976211395817396
T2 → T10 → T6,T2,T10,412,0.0757311789457038,50.48543689320388,-2.769673505496489,-9.281896936072808,29.61165048543689,8.495145631067961,189,0.04524886877828038,0.10964912280704286
T5 → T12 → T6,T5,T12,173,0.06772773450727243,50.86705202312138,-3.0085470085470023,-12.04351033884504,32.369942196531795,13.294797687861271,81,-0.6348246674727998,0.3044003967733744
T1 → T1 → T6,T1,T1,1116,0.03852970731882399,50.53763440860215,-2.5533131633843187,-8.6035696329814,23.2078853046595,7.795698924731183,519,-0.19518952273013257,0.2640901771336468
T3 → T6 → T6,T3,T6,1820,0.03507124625137248,50.54945054945055,-2.5008564576909977,-7.214475318106448,19.560439560439562,5.329670329670329,870,0.1492437912168465,-0.012748649733812512
T6 → T6 → T6,T6,T6,5082,0.008377726317476686,50.09838646202282,-1.7977528089887618,-5.300574963471792,11.058638331365604,2.22353404171586,2330,0.044702154116627035,-0.016306372201402297
T5 → T2 → T6,T5,T2,161,0.0,49.68944099378882,-4.215851602023612,-14.936785931735963,47.82608695652174,24.22360248447205,66,0.7979654231805244,-0.8949171502481978
T1 → T2G → T6,T1,T2G,568,0.0,49.82394366197183,-2.9720441909540485,-9.378697047139093,29.225352112676056,9.330985915492958,269,-0.4995004995004937,0.43455031166519387
T2G → T6 → T6,T2G,T6,7187,-0.014330753797653362,49.39474050368721,-2.386653581943088,-7.381086089053985,19.813552247112842,5.18992625573953,3454,-0.05876080641567527,0.018850141376058893
T1G → T6 → T6,T1G,T6,1975,-0.016009605763456225,49.21518987341772,-2.395672333848531,-7.139315068493152,19.69620253164557,5.063291139240507,919,-0.03819709702063134,0.0
T2G → T2G → T6,T2G,T2G,8457,-0.01884540486211117,49.39103701076032,-2.5373134328358193,-8.144749901087176,23.022348350478893,6.881873004611565,4098,-0.10882081844031943,0.041000410004099486
T5 → T5 → T6,T5,T5,4352,-0.03599258488665158,49.310661764705884,-2.6655958445046704,-8.422539477125984,24.448529411764707,7.077205882352941,1961,-0.23661270236612353,0.10557184750734638
T10 → T2G → T6,T10,T2G,212,-0.04073319755600879,48.58490566037736,-2.6221188404995264,-11.477302683178749,30.660377358490564,14.622641509433961,94,-1.3680763505046434,0.8502451409302614
T5 → T6 → T6,T5,T6,4408,-0.045990157931735665,49.00181488203267,-2.4892972427067175,-7.404208650353012,20.666969147005446,4.945553539019964,1988,-0.1711483259539015,0.04091299427879669
T2G → T11 → T6,T2G,T11,120,-0.046222362551273655,48.333333333333336,-2.870078310699775,-7.933674916277119,26.666666666666668,7.5,59,-0.18068660911464418,0.16690510252741486
