pair,n,ret,win,mae,p10,d5,d10,n_mined,r_mined,r_oos
T2G→T6→T6,153,1.2496324610408838,60.130718954248366,-2.763515554213225,-9.094849232372189,28.75816993464052,7.8431372549019605,64,1.6225830599006397,0.9850275807722575
T12→T12→T6,108,1.1092201671104585,60.18518518518518,-2.4526084513708413,-7.401114812644206,26.851851851851855,5.555555555555555,39,,1.3089906992766132
T12→T2G→T6,234,0.7130741151501363,55.12820512820513,-2.789781689729792,-9.727154323743571,28.205128205128204,8.974358974358974,110,-0.15289660323890564,1.3488773467974835
T2G→T2→T6,1109,0.6702412868632601,55.99639314697926,-2.8309104820198994,-8.865858070871544,26.78088367899008,7.664562669071236,547,0.6876134084614849,0.6294545558231612
T2G→T12→T6,460,0.5767661187096373,55.21739130434783,-2.6420298850958868,-9.461176054834151,28.26086956521739,9.130434782608695,231,0.38213518032004234,0.7090576395242465
T1G→T12→T6,172,0.5250471170940352,55.23255813953488,-2.5107226210665914,-11.195482905052295,29.069767441860467,12.209302325581394,82,0.7630065247252737,0.4023818247792521
T1G→T2→T6,367,0.4595588235294157,55.04087193460491,-2.7165556125064105,-9.804078368652542,28.065395095367844,9.809264305177113,180,0.3385513685853492,0.5442415730337213
T11→T2G→T6,159,0.4149377593360981,53.459119496855344,-3.1939369332791956,-9.778095547447169,31.446540880503143,9.433962264150944,74,-0.8248323557523751,1.1752682677567794
T10→T2→T6,160,0.41266327461075836,53.75,-2.5379780599512234,-7.100044615429622,26.875,7.5,59,2.153846153846173,-0.40861812778604234
T9→T6→T6,118,0.36101779991505323,55.08474576271186,-2.717495969663725,-7.475901346646865,24.576271186440678,5.084745762711865,59,0.5078669587731621,0.34750376462411303
T3→T12→T6,141,0.31678986272438703,56.02836879432624,-2.092948373940118,-10.299401197604785,26.24113475177305,11.347517730496454,54,-0.6465364714147381,0.7806597834298712
T10→T2G→T6,490,0.2723280091061375,51.22448979591837,-2.8313070553408313,-11.452823846493907,31.020408163265305,13.061224489795919,219,-0.5904796511627786,0.9123649459783945
T4→T2→T6,488,0.2639032597286928,52.86885245901639,-3.007451884804463,-11.794848677273658,34.63114754098361,12.5,220,0.2639032597286928,0.2672752094960096
T1→T2→T6,539,0.22662889518412221,51.94805194805194,-2.941176470588236,-10.68264918101341,30.0556586270872,11.873840445269018,250,0.7201238197735882,-0.05790387955991738
T5→T10→T6,170,0.22172545698615487,53.529411764705884,-3.176126152240716,-11.785242047265584,37.05882352941177,17.058823529411764,58,0.8965985846565383,0.0
T1G→T2G→T6,1006,0.22121648361195234,51.988071570576544,-2.995732338964241,-9.859890747961703,29.52286282306163,9.443339960238568,480,-0.17676366333077564,0.5366520135605235
T6→T2G→T6,438,0.21379628681785778,53.19634703196348,-2.9229951487934,-9.269791300733678,28.99543378995434,7.76255707762557,198,0.040241752422676136,0.2840244564625949
T2G→T2G→T6,2924,0.18813453059903784,51.91518467852257,-3.0085680145434335,-9.639948499154274,29.787961696306432,9.439124487004104,1422,0.1993002648827069,0.18026418447175674
T5→T2G→T6,986,0.18370271323489007,50.91277890466531,-3.307783247752183,-12.042568390015296,34.88843813387424,13.387423935091277,496,-0.08847995939096354,0.39701462993287917
T5→T11→T6,106,0.16945086729129866,50.943396226415096,-3.842801463182682,-11.52413557688446,39.62264150943396,14.150943396226415,43,0.817493021401039,-0.13729977116705427
T5→T12→T6,323,0.1579612468407765,50.77399380804953,-2.5959367945823764,-9.095765132553723,26.625386996904027,8.6687306501548,140,-0.2698101296363553,0.46624638823220543
T2→T10→T6,896,0.15789797919034676,51.33928571428571,-3.0001621796950984,-9.98924731182796,31.473214285714285,9.933035714285714,372,0.0,0.26548112012334535
T9→T2G→T6,1286,0.1310623305923575,51.08864696734059,-3.068056625074189,-9.825838019498772,31.026438569206842,9.79782270606532,692,-0.08900793713462196,0.5264200736313396
T9→T2→T6,403,0.10956502684345004,51.61290322580645,-3.0851063829787306,-9.990887917334728,29.528535980148884,9.925558312655088,198,-0.29843148850384194,0.5555555555555536
T1G→T10→T6,362,0.09178170497783356,50.552486187845304,-3.00401394626586,-9.84473228448898,31.215469613259668,9.668508287292818,148,-0.44642013036518824,0.31829170024174624
T9→T11→T6,108,0.08477916028125643,52.77777777777778,-2.870832805025192,-8.838337575080633,27.77777777777778,7.4074074074074066,41,0.8259986459038693,0.004487121959972917
T2→T2G→T6,1734,0.0832463949763107,51.03806228373703,-2.922822830645794,-9.778141221645448,28.604382929642448,9.573241061130334,720,-0.19060509431533257,0.3242433430237779
