ticker,t6_date,entry_date,combo,entry,mae,ret5,worst_bar,artifact
ATXG,2023-05-01,2023-05-02,T2→T1G→T6,157.5,-94.74,-91.43,-70.93,True
NCI,2026-03-26,2026-03-27,T4→T10→T6,46.16,-94.45,-81.63,-69.57,True
SOBR,2024-05-30,2024-06-04,T1→T1→T6,506.0,-92.69,-80.04,-77.27,True
LICN,2024-12-04,2024-12-05,T1G→T2G→T6,424.0,-91.51,-91.33,-33.8,False
DUO,2021-10-22,2021-10-25,T2→T2G→T6,4896.0,-89.95,-83.33,-65.25,True
CHSN,2025-01-16,2025-01-17,T2→T2G→T6,46800.0,-89.83,-88.8,-86.97,True
VVOS,2022-01-25,2022-01-26,T2→T10→T6,60.75,-89.66,-87.47,-76.6,True
APM,2022-01-24,2022-01-25,T1G→T12→T6,22.5,-88.31,-57.82,-73.47,True
SPHL,2025-03-04,2025-03-10,T2→T10→T6,32.64,-87.71,-82.05,-79.33,True
VEEE,2025-11-20,2025-11-28,T2G→T4→T6,95.83,-85.9,-85.26,-71.66,True
INM,2021-11-19,2021-11-29,T2G→T10→T6,995.0,-84.88,-62.25,-64.08,True
VSME,2024-01-26,2024-02-14,T2G→T2G→T6,81.76,-83.45,-69.91,-56.98,True
WHLR,2024-10-22,2024-11-04,T2→T10→T6,192528.0,-83.31,-81.35,-26.04,True
RNA,2026-02-23,2026-02-24,T9→T6→T6,72.75,-82.05,-77.26,-79.74,True
BNRG,2025-01-06,2025-01-07,T2→T2G→T6,385.0,-81.8,-76.96,-66.51,True
CYN,2022-08-22,2023-08-16,T1→T1→T6,9681.82,-79.52,-66.69,-47.0,True
DOGZ,2025-01-15,2025-01-16,T2→T2G→T6,44.22,-77.68,-31.18,-7.27,False
KXIN,2021-12-21,2021-12-23,T10→T12→T6,562950.0,-76.98,-74.82,-63.75,True
IPWR,2021-07-22,2021-07-23,T2G→T2G→T6,16.04,-76.0,-61.85,-54.48,True
VRAX,2022-07-27,2022-07-28,T9→T2G→T6,208.0,-74.04,-48.37,-7.01,False
NXTT,2025-09-10,2025-09-11,T3→T10→T6,71.0,-71.63,-68.32,-17.64,False
RETO,2022-01-18,2022-01-19,T4→T2G→T6,43200.0,-71.34,-57.35,-84.15,True
AIRE,2023-11-15,2023-11-16,T1→T2G→T6,302.5,-69.83,-69.83,-38.66,False
AMC,2023-08-17,2023-08-18,T2G→T2→T6,40.9,-69.71,-69.61,-26.68,False
RGTI,2025-01-06,2025-01-07,T1→T10→T6,18.39,-67.65,-40.51,-32.25,False
PTNM,2025-07-15,2025-07-16,T2→T10→T6,13.41,-66.44,-46.01,-18.03,False
KPRX,2022-10-06,2022-10-18,T2G→T10→T6,73.44,-65.69,-58.46,-42.55,False
SNTG,2021-08-23,2021-08-24,T2G→T1G→T6,30.5,-64.66,-57.54,-35.47,False
ARTV,2024-09-25,2024-12-20,T2G→T2G→T6,11.11,-63.28,-18.09,-9.98,False
QTRX,2022-08-05,2022-08-08,T2G→T2→T6,16.49,-61.73,-38.27,-4.03,False
LGHL,2021-10-08,2021-10-28,T4→T2G→T6,70200.0,-56.01,-34.72,-22.53,True
BHVN,2025-10-29,2025-10-30,T1G→T10→T6,17.39,-55.15,-50.95,-40.22,False
ZYBT,2025-04-28,2025-04-29,T4→T10→T6,9.34,-53.64,-9.64,-45.03,True
CLNN,2021-07-22,2021-07-23,T2→T2→T6,157.0,-50.45,-30.83,-40.37,False
CLBK,2026-07-13,2026-07-14,T9→T2G→T6,21.38,-49.95,-48.18,-54.78,True
XFOR,2021-12-23,2022-03-01,T2G→T11→T6,54.0,-49.44,-19.44,-50.94,True
QURE,2026-02-25,2026-02-26,T4→T10→T6,17.11,-48.98,-37.76,-32.82,False
BTM,2023-07-26,2023-07-27,T1G→T2→T6,27.23,-48.59,-43.44,-18.27,False
FATN,2025-04-16,2025-04-17,T2→T10→T6,12.43,-48.03,-12.71,-25.37,False
