seq,ticker,date,close,fwd21,minDD,L
Z6>Z2G>T5>T2G,A,2021-06-04,137.9,8.034807831762137,-0.38433647570703666,L12
T5>T2G>T6>Z4,A,2022-03-11,130.31,0.7290307727726208,-2.6168367738469756,L5
Z4>Z10>Z11>T4,A,2023-12-26,139.81,-6.308561619340525,-9.348401401902585,L12
Z2>Z2G>T1>T2,A,2025-03-17,122.49,-15.813535798840716,-21.27520613927667,L12
T2G>T6>T2G>Z4,A,2025-06-27,119.17,0.5622220357472507,-7.065536628346059,L46
T4>T2G>Z3>Z2,A,2026-04-16,118.25,-5.539112050739958,-6.714587737843547,L5
T2G>Z1G>T5>Z1G,AAL,2024-01-17,12.93,15.235885537509674,0.6187161639597871,L25
Z9>Z11>Z2>Z2G,ABNB,2022-11-17,99.3,-13.464249748237656,-13.997985901309152,L46
T6>Z4>T9>Z1G,ABNB,2022-12-15,90.61,11.588124931023058,-9.601589228561968,L5
Z2>Z2G>T1>T2,ABNB,2023-02-14,120.87,-0.7280549350542009,-7.74385703648548,L3
Z6>Z2G>T5>T2G,ABT,2025-11-21,128.11,-2.786667707438928,-5.7840917961127225,L12
T4>T2G>Z3>Z2,ABT,2026-01-08,126.18,-11.974956411475679,-16.571564431764152,L5
T6>Z4>T9>Z1G,ACN,2021-07-30,317.68,6.08159153865524,-0.6862251322085178,L46
T2G>Z1G>T5>Z1G,ACN,2022-08-23,306.7,-14.470166286273233,-14.594065862406257,L5
Z6>Z2G>T5>T2G,ACN,2024-08-06,318.68,6.98192544245011,-1.8639387473327496,L12
Z2>Z2G>T1>T2,ADBE,2024-03-19,521.19,-9.211611888178982,-10.138337266639807,L3
T4>T2G>Z3>Z2,ADI,2023-03-07,184.94,2.9360873796907105,-3.1685952200713685,L5
Z2>Z2G>T1>T2,ADI,2024-11-19,210.43,-1.2593261417098378,-1.5206957182911207,L12
Z2>Z2G>T1>T2,ADSK,2021-07-21,301.78,9.467161508383604,0.08946914971172948,L12
T2G>T6>T2G>Z4,AEE,2021-12-09,86.7,0.934256055363325,-2.110726643598615,L46
Z1G>T5>T2G>T6,AEE,2025-03-14,99.12,-0.11097659402744542,-7.415254237288149,L3
T2>Z5>Z6>T5,AEP,2021-06-17,84.39,1.6352648418058946,-2.6898921673183973,L25
Z6>Z2G>T5>T2G,AES,2026-05-05,14.37,2.5052192066805867,-0.9046624913013113,L3
Z2>Z2G>T1>T2,AFL,2023-05-18,66.91,1.3301449708563728,-4.214616649230296,L12
T4>T2G>Z3>Z2,AFL,2025-04-16,107.34,-0.4844419601267136,-3.950065213340792,L46
T2G>T6>T2G>Z4,AFRM,2022-02-10,58.68,-55.31697341513293,-55.657805044308105,L46
T2G>Z1G>T5>Z1G,AFRM,2024-02-21,36.67,2.29070084537768,-11.508044723206979,L25
Z2>Z2G>T1>T2,AGI,2025-03-12,24.52,14.070146818923334,-4.200652528548132,L3
Z6>Z2G>T5>T2G,AI,2025-06-16,24.45,15.991820040899807,-6.421267893660532,L3
Z4>T9>Z1G>T1,AIZ,2021-08-05,158.79,7.292650670697154,-0.11965489010642427,L12
Z4>T9>Z1G>T1,AIZ,2023-09-18,140.28,9.55945252352437,-0.07128599942970437,L12
T4>T2G>Z3>Z2,AIZ,2026-05-13,242.61,7.575944932195711,1.2076996001813445,L25
Z6>Z2G>T5>T2G,AJG,2023-03-14,183.35,8.917371148077446,-4.859558221979821,L12
Z6>Z2G>T5>T2G,AJG,2025-11-21,251.41,2.899645996579281,-5.994192752873784,L3
Z11>Z2>Z2G>T1,ALB,2026-02-06,163.37,1.9403807308563392,-4.0705147823957955,L12
Z2>Z2G>T1>T2,ALB,2026-02-09,165.76,1.3513513513513598,-5.453667953667951,L3
Z2>Z2G>T1>T2,ALGN,2021-07-21,619.65,9.716775599128557,-0.601952715242482,L12
Z2>Z2G>T1>T2,ALGN,2024-06-06,257.46,-3.876330303736497,-9.57818690281984,L3
Z2>Z2G>T1>T2,ALK,2025-08-13,57.75,9.731601731601724,-5.454545454545457,L12
Z2>Z2G>T1>T2,ALK,2025-10-21,49.01,-21.199755152009793,-21.893491124260343,L12
Z6>Z2G>T5>T2G,ALL,2021-11-11,114.66,-5.634048491191345,-7.456828885400313,L12
Z2>Z2G>T1>T2,ALL,2021-11-23,114.9,-0.6701479547432609,-7.65013054830288,L3
T4>T2G>Z3>Z2,ALL,2022-12-28,135.43,-5.486229048216796,-9.916562061581635,L5
T4>T2G>Z3>Z2,ALL,2025-04-16,194.24,7.629736408566723,-4.952635914332781,L5
T2G>Z1G>T5>Z1G,ALLE,2024-01-02,124.25,2.3983903420523145,-5.698189134808851,L46
Z11>Z2>Z2G>T1,ALLE,2025-05-15,142.91,-4.765236862360933,-5.765866629347149,L12
Z1G>T5>T2G>T6,AMAT,2022-02-08,138.75,-9.931531531531535,-14.83243243243243,L12
T2G>Z1G>T5>Z1G,AMAT,2022-12-27,95.34,17.998741346758962,-1.7516257604363372,L46
T4>T2G>Z3>Z2,AMAT,2024-05-17,212.08,16.85684647302905,-1.4852885703508178,L46
Z4>Z10>Z11>T4,AMCR,2025-12-17,41.85,-1.624850657108723,-2.4133811230585334,L12
T2G>Z1G>T5>Z1G,AMCR,2026-04-07,39.04,2.996926229508201,-6.070696721311464,L46
Z4>Z10>Z11>T4,AME,2023-08-01,159.45,0.5268109125117659,-4.346190028221997,L3
T4>T2G>Z3>Z2,AMGN,2024-05-13,308.45,-2.3893661857675497,-4.201653428432484,L5
T2G>T6>T2G>Z4,AMP,2023-01-18,328.2,6.480804387568573,-2.4862888482632406,L5
T2G>Z1G>T5>Z1G,AMT,2022-12-16,213.45,4.638088545326768,-3.602717263996247,L46
Z6>Z2G>T5>T2G,AMZN,2025-05-07,188.71,13.173652694610771,0.05829049864871649,L3
Z6>Z2G>T5>T2G,ANET,2023-04-21,38.97,-6.748781113677172,-15.524762637926603,L12
Z6>Z2G>T5>T2G,ANET,2024-05-02,65.47,13.181609897663037,3.7574461585459185,L12
T4>T2G>Z3>Z2,ANET,2024-05-17,79.97,6.389896211079149,-9.528573214955616,L5
Z1G>T5>T2G>T6,ANET,2024-08-21,88.97,8.025177025963814,-12.049005282679559,L34
Z9>Z11>Z2>Z2G,AON,2024-10-29,370.95,6.027766545356528,-2.3722873702655356,L25
T5>T2G>T6>Z4,AOS,2024-04-15,85.15,1.4679976512037562,-5.296535525543167,L5
T2G>Z1G>T5>Z1G,APA,2025-11-05,21.66,25.11542012927055,5.309325946445043,L46
Z2>Z2G>T1>T2,APD,2023-01-23,308.72,-9.856828193832602,-11.210805908266398,L12
Z2>Z2G>T1>T2,APD,2025-09-18,292.45,-13.421097623525391,-14.118652761155747,L12
T2G>T6>T2G>Z4,APD,2026-06-05,282.35,5.100053125553372,-4.335045156720385,L46
T4>T2G>Z3>Z2,APD,2026-07-07,305.05,-3.265038518275709,-5.589247664317332,L25
T2G>Z1G>T5>Z1G,APH,2022-03-23,37.12,-6.465517241379304,-6.5463362068965525,L5
T4>T2G>Z3>Z2,APH,2024-05-13,63.58,8.037118590751803,-0.3145643284051536,L25
Z2>Z2G>T1>T2,APO,2021-08-16,59.45,6.005046257359115,-6.644238856181673,L34
Z4>T9>Z1G>T1,APO,2021-10-05,61.55,26.67749796913079,-3.363119415109672,L12
Z2>Z2G>T1>T2,APO,2023-01-23,68.84,2.0772806507844077,-4.590354445090061,L3
Z4>T9>Z1G>T1,APO,2023-05-17,63.42,21.53894670450962,-1.245663828445287,L34
Z4>Z10>Z11>T4,APP,2023-05-31,25.01,2.878848460615746,-15.87365053978409,L3
Z6>Z2G>T5>T2G,APP,2024-08-06,69.0,27.811594202898537,-4.115942028985509,L3
Z4>T9>Z1G>T1,APP,2025-10-31,637.33,2.458694867650979,-23.226585913106245,L34
T4>T2G>Z3>Z2,APPN,2023-03-07,43.57,-6.2657792058755994,-12.462703695203125,L5
Z4>Z10>Z11>T4,APPN,2024-09-11,31.45,2.1621621621621623,-0.7949125596184436,L12
Z4>T9>Z1G>T1,ARE,2023-01-06,147.6,13.028455284552853,-1.4701897018970067,L12
Z2>Z2G>T1>T2,ARE,2023-06-27,115.88,8.560579910251986,-4.849844666896786,L12
T4>T2G>Z3>Z2,ARES,2021-11-19,88.3,-12.865232163080409,-17.519818799546993,L25
