seq,ticker,date,close,fwd21,L
T2G>Z1G>T5>Z1G,SQ,2023-10-27,40.02,58.27086456771613,L46
Z2>Z2G>T1>T2,DUOL,2023-02-28,90.79,50.88666152659984,L3
T9>T2>Z5>Z6,HOOD,2023-11-15,8.33,40.336134453781504,L46
T5>T2G>T6>Z4,MPWR,2023-01-03,342.95,38.20090392185449,L46
Z2>Z2G>T1>T2,UBER,2022-07-05,22.52,34.05861456483128,L3
T2G>Z1G>T5>Z1G,SPOT,2024-11-04,377.73,32.99976173457231,L5
T2G>T6>T2G>Z4,INTC,2025-12-31,36.9,32.27642276422766,L25
T2>Z5>Z6>T5,TTD,2021-06-02,58.19,31.775219109812692,L46
Z4>Z10>Z11>T4,LVS,2024-09-13,40.02,30.609695152423775,L3
Z9>Z11>Z2>Z2G,MCHP,2022-11-03,59.46,28.79246552304069,L5
Z6>Z2G>T5>T2G,APP,2024-08-06,69.0,27.811594202898537,L3
Z9>Z11>Z2>Z2G,ZION,2023-11-21,34.31,27.13494607986009,L46
T5>T2G>T6>Z4,CFLT,2023-01-03,21.33,26.957337083919363,L46
Z4>T9>Z1G>T1,APO,2021-10-05,61.55,26.67749796913079,L12
T2G>Z1G>T5>Z1G,LI,2023-04-20,23.13,25.810635538262016,L46
Z4>T9>Z1G>T1,AXON,2021-06-04,141.16,25.177103995466133,L12
T2G>Z1G>T5>Z1G,APA,2025-11-05,21.66,25.11542012927055,L46
T2G>T6>T2G>Z4,FIX,2026-01-22,1131.7,24.90677741450913,L25
Z6>Z2G>T5>T2G,CBRE,2024-06-27,88.5,24.903954802259886,L3
Z4>T9>Z1G>T1,TPL,2024-05-16,202.84,24.896470124235858,L12
T4>T2G>Z3>Z2,ORCL,2024-09-09,139.89,24.64793766530846,L46
Z2>Z2G>T1>T2,NCLH,2026-05-21,16.47,23.800850030358234,L12
Z2>Z2G>T1>T2,IBM,2026-05-15,219.3,23.48837209302326,L34
T2G>T6>T2G>Z4,FFIV,2026-04-22,311.18,23.304839642650556,L5
Z2>Z2G>T1>T2,NET,2026-02-09,173.75,22.589928057553955,L12
