bin,who,n,gap,m1,m3,m10,m20,vs_ctl
-0.5…-1%,NEITHER,783814,-0.7225101985377402,0.6202240094313138,0.3361344537815114,0.2725043169000796,0.20093770931011168,0.0
-0.5…-1%,T6,21171,-0.7425742574257432,0.6677221725063687,0.42253521126760507,0.33670033670032407,0.3273917788286562,0.06419601980024447
-0.5…-1%,T4,42976,-0.7432432432432468,0.6503658333231743,0.3898800702005545,0.2461218143823829,0.10414866376594611,-0.026382502517696693
-1…-2%,NEITHER,793990,-1.3924050632911467,1.2188365650969368,0.8438943068478033,0.6503024425241088,0.5243290327393124,0.0
-1…-2%,T6,30703,-1.437908496732021,1.3627992633517438,1.0658140154543139,0.8557457212714059,0.7856341189674598,0.20544327874729706
-1…-2%,T4,62247,-1.4522821576763545,1.3714285714285568,1.0555121188428496,0.865051903114189,0.7112375533428139,0.21474946059008015
-2…-4%,NEITHER,528865,-2.688638334778859,2.459016393442637,1.9011406844106515,1.3698630136986356,1.033591731266137,0.0
-2…-4%,T6,29359,-2.777777777777779,2.7044430135222175,2.2887323943661997,1.939058171745156,1.5748031496062964,0.5691951580465204
-2…-4%,T4,65638,-2.780351628314431,2.7397260273972712,2.349633521029282,2.0547945205479534,1.8374177057483454,0.6849315068493178
< -4%,NEITHER,306401,-5.840079299520906,5.487804878048785,4.918032786885251,3.741258741258746,2.923013585837797,0.0
< -4%,T6,24498,-6.02785678718436,6.08865608779926,5.592883339154742,4.7340333334147005,3.981665837066528,0.9927745921559543
< -4%,T4,61967,-6.217616580310869,6.392694063926951,6.018518518518512,5.3097345132743445,4.5094509450945175,1.5684757720155984
