bin,who,n,gap,m1,m3,m10,m20,vs_ctl
-0.5…-1%,NEITHER,473980,-0.7163323782235054,0.6164383561643838,0.389478808999133,0.4694565264273365,0.5785706346273845,0.0
-0.5…-1%,T6,12155,-0.7402760351317483,0.6737787759685698,0.44620723847297317,0.3941749698894048,0.4678659509647298,-0.07528155653793167
-0.5…-1%,T4,23399,-0.7405375754251264,0.6659012629162131,0.46408137317226483,0.35774619894664017,0.37051232911715637,-0.11171032748069631
-1…-2%,NEITHER,436071,-1.3753327417923678,1.2153318790900425,0.9596928982725572,0.9990917347865613,1.1324041811846541,0.0
-1…-2%,T6,16780,-1.4174171240767752,1.367975969666202,1.1592118884263702,1.052995091717912,1.2161755406570607,0.05390335693135073
-1…-2%,T4,33210,-1.4397201291711403,1.3866319856107423,1.214517488644573,1.1621224703559752,1.2001154068089992,0.16303073556941383
-2…-4%,NEITHER,243301,-2.6415571284125416,2.4299065420560817,2.1242207342415,2.0282362298667866,2.119205298013238,0.0
-2…-4%,T6,12444,-2.6789603858155986,2.6572368159343607,2.4837866171628864,2.4537206465527484,2.622189526771157,0.4254844166859617
-2…-4%,T4,30571,-2.721893491124261,2.695351137487645,2.555541286759988,2.599388379204881,2.6651574398024236,0.5711521493380944
< -4%,NEITHER,119550,-5.798222676249076,5.1062960645251065,4.880478087649398,4.5699953567619245,4.521521203623902,0.0
< -4%,T6,6669,-5.6223342380767765,5.460218408736339,5.285815102328861,5.130228887134969,4.959785522788196,0.5602335303730444
< -4%,T4,20026,-5.868893261056446,5.930921708401938,5.961762040117113,6.174469106290781,6.068919905126813,1.6044737495288564
