setup,n,trunc,pct,med,med_full,med_trunc,delta
L43-TRIPLE,1926,171,8.878504672897195,3.866170886816972,3.638574945221823,5.954579394644305,2.316004449422482
Z11-T11,823,62,7.533414337788578,6.449090057582923,6.490039940089859,5.475618959600287,-1.0144209804895716
Washout,30166,3754,12.444473911025659,1.6486604934512206,1.6822289631531484,1.4079882209206476,-0.27424074223250083
D+L1,6315,697,11.037212984956453,1.1638273046456429,1.3027547023990285,0.5673828260816918,-0.7353718763173367
G3-gap,20085,1984,9.878018421707742,2.8411246777727825,2.914660549778586,1.9386101788994303,-0.9760503708791555
Atomic,62233,6546,10.51853518229878,1.3298277361405932,1.3750956386219984,1.0544717876344647,-0.32062385098753365
Spring,2990,361,12.073578595317725,1.076043967102597,0.8395944465045049,2.936666518829184,2.097072072324679
P55,34851,4376,12.556311153195029,-0.09974149793673935,-0.11407391773569629,0.15737141107766153,0.2714453288133578
Parabola,104750,11658,11.129355608591887,-0.07382480332742124,-0.1837430036805919,0.4532401176527036,0.6369831213332955
Atomic-R,3337,212,6.353011687144142,3.611555119549986,3.6123637195996148,3.4470227864698275,-0.16534093312978726
Engulf-Abs,957,59,6.165099268547544,4.6721905824390895,4.619227855568292,5.771927882945543,1.152700027377251
T1-CapBounce,364,81,22.252747252747252,6.6852782701146864,6.297858986321386,7.9272596525853,1.6294006662639138
Engulf-Abs-Lⁿ,693,43,6.204906204906205,4.952620042538941,4.425689353673584,6.7879587726027255,2.3622694189291416
Zone-Retest,138652,14907,10.75137754954851,1.161825067471828,1.1431882759634973,1.2673806554741875,0.12419237951069029
Zone-Retest-E,53460,4978,9.311634867190422,1.489634553602032,1.4683953947963126,1.6258225255802394,0.15742713078392678
Zone-Retest-DiT,23445,2131,9.0893580720836,1.818290150478502,1.7749734357606906,2.151693823759154,0.3767203879984635
HighBase-15mDip,28982,2273,7.84279897867642,0.9494560471518034,0.9738244673805521,0.8507123941135011,-0.12311207326705098
RTB-Base,43449,4921,11.325922345738682,1.5108591755245206,1.5948948757249337,0.7974798790824802,-0.7974149966424535
QZ-Capit-Rev,38896,2900,7.4557795146030434,1.6445514418388874,1.4318876116293624,4.6404974043807,3.208609792751338
🎯Confluence≥3,33347,2011,6.03052748373167,2.474020370961144,2.377372862997423,3.819405661255476,1.4420327982580528
🎯Confluence≥4,11858,582,4.90807893405296,3.5113379039738044,3.4478024649605645,4.744511564304571,1.2967090993440067
🎯Confluence💎89+,9713,575,5.919901163389272,2.0783313409378055,1.9582813727068993,3.5840575608435064,1.625776188136607
⚡G3-Abs,10692,670,6.266367377478489,2.89783138058794,2.87591470437118,3.5464292904858032,0.6705145861146233
🎯Cluster🏆RS,7548,412,5.458399576046634,3.6749569209282464,3.8237526027089794,1.1028886209253854,-2.720863981783594
QZ-Capit🏆RS,13023,759,5.828150195807417,3.1474113499311116,3.18958165986209,2.6720181194928747,-0.5175635403692151
⚡G3-Abs🏆RS,2629,147,5.591479650057056,4.336042166002857,4.537761191982953,1.19571998308608,-3.3420412088968727
Spring🔑,1727,123,7.122177185871453,1.6999739101341949,1.529288529827605,5.128655328374792,3.5993667985471873
QZ-Capit🔑,29366,1942,6.613089967990193,1.8512660246383927,1.6487786253109704,4.877660115374921,3.2288814900639506
D+L1🔑,2999,251,8.369456485495165,1.7480819891978971,1.8490966881914261,1.2684112404369343,-0.5806854477544918
QZ-Capit🏛️BOS,2014,135,6.703078450844091,3.0228338120139533,2.7676574121868134,5.150999470008194,2.3833420578213804
QZ-Capit🧱OB,9550,1000,10.471204188481675,6.519786505139375,6.153199285579908,10.121091150276223,3.9678918646963153
🎯Cluster🧱OB,9251,672,7.264079558966598,4.412132871921953,4.251394059800356,5.928095010564855,1.6767009507644985
D+L1🧱OB,1022,115,11.252446183953033,3.881301745865068,3.820913336248993,4.148114921513596,0.32720158526460263
QZ-Capit🎋TLS,2486,186,7.48189863234111,3.3257721865149135,3.254844929377115,4.254706212210096,0.9998612828329811
G3-Abs🎋TLS,1069,67,6.26753975678204,5.040152914957457,5.282498208180058,0.9341621897356602,-4.348336018444398
ppr×NS 🕐24-26,5004,349,6.974420463629097,1.037724779802979,1.0269463078634469,1.2015796662467495,0.17463335838330263
G3+RL,4374,417,9.53360768175583,3.4379653809781088,3.7009445344713896,1.058249067344669,-2.6426954671267207
G3→G3,19188,2341,12.200333541796956,3.4990133377132695,3.977987444028691,0.27284243885069015,-3.7051450051780006
G3→G3→RL,1467,135,9.202453987730062,7.880202757878668,8.319675692890133,1.1179763316485682,-7.201699361241564
L34camp→REV,574,70,12.195121951219512,2.5652997525661023,3.2228697629030965,0.6586263664161764,-2.56424339648692
ND→SC→L46 🕐,331,20,6.042296072507553,6.950141512418045,7.765181438547924,3.625643510054383,-4.139537928493541
NS→SC,854,71,8.313817330210773,3.3391093783573575,3.496811152093154,2.617926033028378,-0.8788851190647762
G3→L46 🕐,33266,4945,14.86502735525762,2.2878080612727727,2.7574957045032376,-0.017712555460608216,-2.7752082599638457
FailedBear-Turn,997,66,6.619859578736209,2.6878691804812336,2.9836637539474795,-1.2280489572130457,-4.2117127111605255
D+L1🌀SC,2549,188,7.375441349548844,1.6108362830130674,1.686634967972439,1.1455016895077499,-0.5411332784646892
Spring🌀SC,1480,140,9.45945945945946,1.0744425848160324,1.076043967102597,0.8903081753511235,-0.18573579175147348
Atomic🌀SC,17438,1264,7.24853767633903,1.6422564315018817,1.6306667475933068,2.0141134759616817,0.3834467283683749
Washout🌀SC,6936,508,7.324106113033449,0.9110545130327998,0.8231213055750977,2.0951194158578543,1.2719981102827567
RTB-Base🧱OB,9646,1519,15.747460087082729,6.590720633575958,6.702213410436536,5.776636361247594,-0.9255770491889415
G3→G3→RL🧱OB,412,38,9.223300970873787,19.136285095954513,19.70210321755746,5.745135429422427,-13.956967788135035
RTB-Base🏆RS,5385,300,5.571030640668524,3.748206743938148,3.970712377307245,-0.07691541892444463,-4.04762779623169
Washout🏆RS,3094,158,5.106658047834518,4.273604304328543,4.5121626355202284,1.238366609462921,-3.2737960260573074
