setup,ticker,date_in,recorded,true,bars,gap
Zone-Retest,SPWH,2023-03-17,-36.14961503527842,-41.0819755306799,62,-4.9323604954014755
RTB-Base,AIB,2022-05-03,1.6088305670267256,1.9101893939774517,62,0.30135882695072613
Parabola,SACH,2022-01-04,-17.50973275858571,-15.2367195142246,62,2.2730132443611097
G3→G3,GRAB,2025-10-16,-14.89972415326591,-22.451421816854563,62,-7.551697663588653
Zone-Retest,REAX,2024-11-22,-4.125454442856796,-2.021330934632531,62,2.104123508224265
Zone-Retest,EDIT,2024-05-31,-3.9551785520178404,-29.350611414285126,62,-25.395432862267285
G3→G3,XELLL,2026-04-30,-4.257875783382553,-6.012497630750441,62,-1.754621847367888
Zone-Retest,HCMA,2026-02-17,0.38614377256490096,-0.00581000432617316,62,-0.39195377689107413
RTB-Base,FBLA,2024-10-25,30.42337071316104,0.8950136760671081,62,-29.528357037093933
Zone-Retest,IPOD,2022-10-07,0.09882835427497695,0.9956866596313065,62,0.8968583053563296
Parabola,JNPR,2025-05-13,8.57217158045978,8.57217158045978,34,0.0
G3→L46 🕐,CLRB,2024-12-11,-0.842861252022503,-30.40225176997518,62,-29.55939051795268
Washout,GEVO,2021-12-01,-14.031300290650611,-39.29052520540073,62,-25.25922491475012
Atomic,AEXA,2026-01-22,-3.2188704690170375,-5.365263948445359,62,-2.1463934794283217
RTB-Base🧱OB,CHW,2025-04-08,41.57848180069584,23.235112971790155,62,-18.343368828905685
Zone-Retest,CGCT,2026-04-01,1.0627033621108342,15.66068942395374,46,14.597986061842905
RTB-Base,SDHY,2026-04-27,-0.6098692024075922,-1.540150798646772,62,-0.9302815962391797
G3-gap,TIGR,2026-04-06,-21.82998002995509,-28.694682975536708,62,-6.864702945581616
Washout,PPIH,2026-06-11,-9.614452813363878,2.935028974882697,40,12.549481788246574
Zone-Retest,MASI,2026-06-02,0.4549716019475904,0.4549716019475904,6,0.0
G3→G3,BBCP,2021-09-17,31.250961511727553,0.1837608599207842,62,-31.06720065180677
G3→L46 🕐,OACC,2025-02-19,6.5830073820338395,3.8897445789357885,62,-2.693262803098051
Zone-Retest,RC,2025-01-06,-27.050480225220912,-32.772556137141,62,-5.72207591192009
Atomic,SLQT,2022-01-18,-29.32600343670541,-63.77046078169567,62,-34.444457344990255
Zone-Retest,CRON,2021-09-28,-4.932002254350437,-27.06375308171764,62,-22.131750827367203
P55,MESH,2026-02-11,0.7077950430559867,0.7077950430559867,62,0.0
Zone-Retest-E,INVZ,2022-11-11,-1.0798552171742468,-8.880654018971562,62,-7.800798801797315
Zone-Retest,BYRN,2026-04-08,-37.232081795339774,-37.232081795339774,62,0.0
Zone-Retest-E,PLTK,2025-04-24,1.3238055518348504,-1.5174610036165213,62,-2.8412665554513716
🧊Coil-Floor,AVXL,2025-09-09,-48.14467465468464,-69.3628473955733,62,-21.218172740888654
RTB-Base,RWT,2026-05-12,-4.804296750363174,-11.373390478192485,61,-6.569093727829311
G3→L46 🕐,GURE,2025-06-18,14.705806178372876,-1.9826442919889942,62,-16.68845047036187
D+L1,OPEN,2026-04-20,1.4250845900055933,-13.907003649995259,62,-15.332088240000852
Zone-Retest,WRK,2024-04-25,9.608537609718587,9.608537609718587,49,0.0
RTB-Base,ATPC,2025-12-24,9.450517848904743,-47.49841679614394,62,-56.94893464504869
Washout,ASPS,2023-02-03,-56.47645602524408,-25.655786853869806,62,30.820669171374277
G3→G3,VRCA,2025-12-01,5.198860314034564,-33.04165125903136,62,-38.24051157306592
Atomic,ASRT,2026-05-13,0.3847163487844586,0.3847163487844586,23,0.0
Zone-Retest,TGEN,2025-12-01,-22.167799746661004,-52.70051307336515,62,-30.532713326704148
RTB-Base,SGP,2026-02-18,-26.012279542060295,-17.26288575005875,62,8.749393792001545
Zone-Retest,HTZ,2026-06-12,-1.4698951572641281,-58.57174238642037,39,-57.10184722915624
RTB-Base,WFF,2025-09-11,9.209769869006019,-47.84750136699713,62,-57.057271236003146
RTB-Base🧱OB,TCPC,2025-10-17,-8.74035188224857,4.9082399781622374,62,13.648591860410807
RTB-Base,ACGLN,2023-01-12,-15.55755394974067,-1.2858222541447692,62,14.271731695595902
RTB-Base,VIRC,2024-12-11,-50.662478294510436,-22.57711629766507,62,28.085361996845364
Washout,EPM,2023-09-15,-20.993372622226097,-16.94147944749544,62,4.051893174730658
Washout,MNTK,2024-02-02,-17.545314865147848,-46.67433541270098,62,-29.12902054755313
QZ-Capit-Rev,DAY,2026-01-22,0.49257242760876746,0.49257242760876746,9,0.0
P55,CRBU,2024-01-09,-10.266999189273147,-22.548042864402156,62,-12.281043675129009
Zone-Retest,SGP,2026-07-13,-8.672036010415102,11.377325075934191,20,20.049361086349293
