universe,signal,composite,1D,1H,4H,cells,worst,pos
russell2k,Z7,Z7L5ED,0.293,0.249,0.266,3,0.249,3
nasdaq,Z7,Z7L5ED,0.295,0.247,0.248,3,0.247,3
sp500,T5,T5L46EDP,0.907,0.242,0.27,3,0.242,3
sp500,T5,T5L2ND,,0.216,0.407,2,0.216,2
sp500,Z1G,Z1GL46NDP,0.566,0.175,0.556,3,0.175,3
sp500,Z10,Z10L34NUR,0.423,0.165,0.477,3,0.165,3
sp500,Z10,Z10L34NB,,0.163,0.381,2,0.163,2
sp500,Z1G,Z1GL46ND,0.725,0.158,0.162,3,0.158,3
sp500,Z1,Z1L46EB,0.329,0.151,0.219,3,0.151,3
sp500,Z10,Z10L34NH,,0.148,0.289,2,0.148,2
russell2k,Z12,Z12L46NUR,,0.148,0.605,2,0.148,2
sp500,Z10,Z10L34N,,0.147,0.303,2,0.147,2
sp500,Z1G,Z1GL46NH,,0.146,0.466,2,0.146,2
sp500,T5,T5L4ND,,0.143,0.211,2,0.143,2
sp500,Z1G,Z1GL25ND,0.379,0.139,0.328,3,0.139,3
sp500,T1,T1L12NU,0.284,0.134,0.294,3,0.134,3
sp500,T5,T5L5ED,0.824,0.132,0.251,3,0.132,3
sp500,Z6,Z6L46NB,0.695,0.132,0.274,3,0.132,3
sp500,T9,T9L34NP,0.559,0.132,0.241,3,0.132,3
sp500,T5,T5L5EDP,,0.131,0.165,2,0.131,2
sp500,Z11,Z11L34NUR,0.496,0.129,0.129,3,0.129,3
sp500,Z2G,Z2GL46NUR,,0.126,0.273,2,0.126,2
sp500,Z1G,Z1GL25NUR,,0.123,0.153,2,0.123,2
sp500,Z4,Z4L46EB,0.554,0.123,0.371,3,0.123,3
sp500,Z10,Z10L34NDP,0.347,0.121,0.122,3,0.121,3
sp500,Z4,Z4L5EB,0.353,0.121,0.291,3,0.121,3
sp500,Z1G,Z1GL5EB,,0.119,0.296,2,0.119,2
sp500,Z11,Z11L12NDP,0.221,0.119,0.179,3,0.119,3
sp500,Z2,Z2L46EDP,0.516,0.116,0.27,3,0.116,3
sp500,Z2,Z2L46ED,0.222,0.115,0.28,3,0.115,3
sp500,T10,T10L46NUR,0.115,0.155,0.121,3,0.115,3
sp500,Z5,Z5L34NU,0.357,0.114,0.317,3,0.114,3
sp500,T1G,T1GL12NB,,0.114,0.182,2,0.114,2
sp500,Z10,Z10L34NR,0.435,0.113,0.596,3,0.113,3
sp500,Z10,Z10L12NB,,0.113,0.305,2,0.113,2
sp500,Z3,Z3L25NUR,0.397,0.111,0.171,3,0.111,3
sp500,Z2G,Z2GL46EDP,0.579,0.111,0.253,3,0.111,3
sp500,Z2,Z2L46ND,0.331,0.11,0.259,3,0.11,3
sp500,Z1,Z1L46NR,0.52,0.11,0.27,3,0.11,3
sp500,T1,T1L12NB,0.471,0.11,0.257,3,0.11,3
sp500,Z1G,Z1GL46EDP,0.226,0.11,0.315,3,0.11,3
sp500,Z1,Z1L5EB,0.269,0.109,0.273,3,0.109,3
sp500,Z2,Z2L46NDP,0.335,0.108,0.136,3,0.108,3
sp500,T5,T5L46ED,0.807,0.158,0.107,3,0.107,3
sp500,Z2G,Z2GL46ED,0.582,0.107,0.296,3,0.107,3
sp500,Z7,Z7L5ED,,0.106,0.407,2,0.106,2
sp500,Z2G,Z2GL25NB,,0.106,0.242,2,0.106,2
sp500,Z2G,Z2GL46ND,0.112,0.105,0.222,3,0.105,3
sp500,Z2G,Z2GL46NDP,0.341,0.105,0.37,3,0.105,3
sp500,Z1,Z1L46EDP,0.143,0.103,0.417,3,0.103,3
sp500,Z1,Z1L5ED,0.21,0.1,0.131,3,0.1,3
russell2k,T5,T5L5ED,0.393,0.1,0.171,3,0.1,3
russell2k,Z7,Z7L46ED,0.194,0.104,0.1,3,0.1,3
nasdaq,Z7,Z7L46ED,0.198,0.1,0.1,3,0.1,3
sp500,Z7,Z7L46ED,,0.099,0.716,2,0.099,2
sp500,Z4,Z4L46EDP,0.374,0.099,0.483,3,0.099,3
sp500,Z1,Z1L46NUR,0.32,0.098,0.236,3,0.098,3
sp500,T1,T1L34NP,0.485,0.098,0.351,3,0.098,3
sp500,Z1,Z1L46NB,0.275,0.098,0.129,3,0.098,3
russell2k,T5,T5L5EDP,0.159,0.097,0.222,3,0.097,3
sp500,Z2G,Z2GL5ED,0.528,0.096,0.289,3,0.096,3
sp500,Z1,Z1L5EDP,0.368,0.096,0.215,3,0.096,3
sp500,Z6,Z6L46NH,,0.096,0.38,2,0.096,2
sp500,Z11,Z11L12NB,0.875,0.095,0.239,3,0.095,3
sp500,T1,T1L34NU,0.648,0.095,0.421,3,0.095,3
sp500,Z6,Z6L46EDP,0.57,0.094,0.197,3,0.094,3
sp500,Z5,Z5L12NB,,0.093,0.113,2,0.093,2
sp500,Z5,Z5L12EB,,0.093,0.464,2,0.093,2
sp500,T1,T1L34NDP,0.092,0.092,0.148,3,0.092,3
sp500,T9,T9L12NU,0.663,0.091,0.148,3,0.091,3
sp500,Z1,Z1L25NUR,0.333,0.09,0.546,3,0.09,3
sp500,Z9,Z9L46NR,0.272,0.088,0.257,3,0.088,3
sp500,Z4,Z4L5EDP,0.325,0.088,0.361,3,0.088,3
russell2k,Z4,Z4L46EB,0.088,0.117,0.204,3,0.088,3
nasdaq,Z7,Z7ED,,0.088,0.093,2,0.088,2
sp500,Z3,Z3L46NDP,0.488,0.087,0.232,3,0.087,3
sp500,Z10,Z10L34ND,0.087,0.116,0.426,3,0.087,3
sp500,Z5,Z5L12EUR,0.19,0.087,0.249,3,0.087,3
