universe	signal	sequence	category	n	med	avg	fail	big_win	win	seq
SP500	T1	ALL	BASELINE	7517	0.403	0.718	16.4	21.3	53.3	
SP500	T1	Z2G|T1|Z5	SEQ_BASELINE	23	6.286	6.467	0	65.2	87	Z2G|T1|Z5
SP500	T1	Z2G|T1|Z5	A	11	5.485	4.831	0	63.6	72.7	
SP500	T1	Z2G|T1|Z5	B	8	8.786	7.816	0	62.5	100	
SP500	T1	Z2G|T1G|Z5	SEQ_BASELINE	21	4.839	5.023	4.8	47.6	85.7	Z2G|T1G|Z5
SP500	T1	Z2G|T1G|Z5	A	5	7.653	7.3	0	60	100	
SP500	T1	Z2G|T1G|Z5	B	6	6.136	6.038	0	66.7	83.3	
SP500	T1	Z2G|T1G|Z5	B+	8	3.904	3.495	12.5	37.5	75	
SP500	T1	Z2G|Z2G|Z6	SEQ_BASELINE	29	3.401	1.904	10.3	44.8	72.4	Z2G|Z2G|Z6
SP500	T1	Z2G|Z2G|Z6	B+	20	4.244	2.715	10	50	75	
SP500	T1	Z2G|Z2G|Z6	R	5	1.509	2.221	0	40	80	
SP500	T1	Z1|Z2|Z2G	SEQ_BASELINE	23	3.128	2.757	13	30.4	56.5	Z1|Z2|Z2G
SP500	T1	Z1|Z2|Z2G	B	14	4.693	5.066	0	35.7	71.4	
SP500	T1	Z1|Z2|Z2G	R	5	-5.841	-5.157	60	0	0	
SP500	T1	Z2G|T4|Z3	SEQ_BASELINE	36	3.013	3.485	11.1	41.7	63.9	Z2G|T4|Z3
SP500	T1	Z2G|T4|Z3	A	5	3.121	4.839	0	40	80	
SP500	T1	Z2G|T4|Z3	B	13	-1.12	2.165	7.7	23.1	38.5	
SP500	T1	Z2G|T4|Z3	B+	7	7.161	5.446	14.3	57.1	71.4	
SP500	T1	Z2G|T4|Z3	R	11	5.817	3.18	18.2	54.5	81.8	
SP500	T1	T2G|T2|Z3	SEQ_BASELINE	31	2.975	2.63	12.9	25.8	61.3	T2G|T2|Z3
SP500	T1	T2G|T2|Z3	A	16	0.392	2.99	12.5	18.8	56.2	
SP500	T1	T2G|T2|Z3	B	6	4.113	4.269	0	50	83.3	
SP500	T1	T2G|T2|Z3	R	6	0.103	-0.428	33.3	16.7	50	
SP500	T1	Z1|Z2G|Z2G	SEQ_BASELINE	26	2.744	1.286	26.9	34.6	57.7	Z1|Z2G|Z2G
SP500	T1	Z1|Z2G|Z2G	B	6	1.322	0.667	33.3	33.3	50	
SP500	T1	Z1|Z2G|Z2G	B+	16	2.744	1.704	25	37.5	62.5	
SP500	T1	Z5|Z2G|Z2G	SEQ_BASELINE	44	2.718	3.473	6.8	38.6	70.5	Z5|Z2G|Z2G
SP500	T1	Z5|Z2G|Z2G	B	7	2.772	5.334	0	42.9	100	
SP500	T1	Z5|Z2G|Z2G	B+	24	3.638	3.558	8.3	41.7	58.3	
SP500	T1	Z5|Z2G|Z2G	R	7	0.332	2.019	14.3	28.6	71.4	
SP500	T1	Z2G|Z2|Z2G	SEQ_BASELINE	47	2.356	2.714	10.6	34	70.2	Z2G|Z2|Z2G
