rule,tested,good,stable,n_tot,m10_med,win_med,fail_med,tfs,unis,rep
Z4 ← Z2G|T5|T2G,9,8,9,4679,0.381,54.8,13.5,3,3,8
Z9 ← Z1G|T3|T2G,8,8,5,2629,0.3345,52.349999999999994,13.649999999999999,3,3,8
T3 ← Z3|Z2G|Z2G,9,8,9,6763,0.269,51.4,11.0,3,3,8
Z3 ← Z1|T3|T2G,8,8,8,3344,0.26649999999999996,52.400000000000006,12.45,3,3,8
Z1 ← Z2G|T1G|T2G,9,8,3,3400,0.239,51.1,13.7,3,3,8
Z1 ← T5|T2G|T2G,9,8,6,3762,0.186,51.4,17.7,3,3,8
T2G ← T2G|Z1G|T3,9,8,3,3921,0.166,51.8,12.0,3,3,8
Z2G ← T9|Z4|Z2G,9,8,9,14395,0.156,52.0,15.8,3,3,8
Z3 ← Z1G|Z2G|T3,8,7,8,1762,0.7815,57.05,13.4,3,3,7
Z4 ← Z1G|Z2G|T5,8,7,3,2259,0.6194999999999999,55.099999999999994,13.85,3,3,7
Z9 ← Z2G|Z2G|T5,8,7,8,2352,0.332,52.95,12.149999999999999,3,3,7
Z1G ← T2G|Z3|T3,7,7,5,1235,0.272,53.1,9.4,3,3,7
Z2 ← Z1G|T3|Z4,8,7,5,2214,0.2215,51.650000000000006,14.05,3,3,7
Z6 ← Z1|Z2G|Z2G,8,7,3,2304,0.197,52.05,14.5,3,3,7
Z4 ← T2G|Z1G|T3,8,7,6,1757,0.1665,51.75,11.35,3,3,7
Z1 ← Z9|T1G|T2G,8,7,3,2409,0.155,50.5,16.35,3,3,7
Z4 ← T2G|T2G|T6,6,6,2,1440,0.4685,53.15,13.3,3,3,6
T2G ← T1|Z5|T1,7,6,4,1484,0.455,53.0,15.5,3,3,6
Z1G ← Z2|T5|T2G,7,6,5,2670,0.332,53.7,16.6,3,3,6
Z2G ← Z1G|Z2G|Z6,7,6,7,1480,0.317,52.5,15.3,3,3,6
Z6 ← T3|T2G|Z3,6,6,3,1046,0.3115,51.6,13.75,3,3,6
Z1 ← Z2|Z6|T9,7,6,7,2025,0.301,52.5,12.4,3,3,6
Z2 ← T12|Z9|Z2G,6,6,3,1420,0.27349999999999997,52.599999999999994,9.45,2,3,6
Z4 ← Z2G|Z10|T4,7,6,5,1919,0.263,52.9,18.4,3,3,6
Z5 ← Z2G|Z11|T4,7,6,4,1320,0.255,51.6,17.8,3,3,6
Z3 ← Z3|Z2|T1G,7,6,3,1585,0.254,54.1,10.3,3,3,6
Z2G ← Z7|Z7|Z7,6,6,6,24066,0.231,55.5,12.85,3,2,6
Z2G ← T3|Z9|Z6,7,6,5,2107,0.205,51.3,16.3,3,3,6
Z4 ← Z4|Z2G|T4,7,6,2,3353,0.204,51.4,19.0,3,3,6
Z6 ← Z7|T1G|Z7,6,6,4,7978,0.202,54.25,14.350000000000001,3,2,6
Z6 ← Z7|Z7|Z7,6,6,6,29197,0.195,60.45,8.149999999999999,3,2,6
