tf,universe,signal,n,m10,a10,win,mfe,mae,lift,wlift,se,ref,t,sig
1D,nasdaq,T5,112147,-0.356,0.112,47.2,12.018,-9.123,0.17849697376177198,0.6420585779995704,0.030538757839835853,-0.534496973761772,5.844932354417314,True
1D,nasdaq,T2G,272597,-0.663,-0.102,46.2,10.793,-8.992,-0.12850302623822807,-0.35794142200042955,0.019587754960143842,-0.534496973761772,-6.560375423303968,True
1D,nasdaq,Z1,102251,-0.61,-0.265,46.6,10.95,-9.214,-0.07550302623822802,0.042058577999569025,0.031982426935431414,-0.534496973761772,-2.3607660041140512,True
1D,nasdaq,T12,26669,-0.172,0.142,48.2,11.257,-8.706,0.362496973761772,1.6420585779995704,0.0626241483438958,-0.534496973761772,5.7884535494382625,True
1D,nasdaq,T1G,91435,-0.498,0.06,46.4,10.903,-8.617,0.03649697376177197,-0.15794142200043382,0.03382119619967519,-0.534496973761772,1.0791154028467649,False
1D,nasdaq,Z3,128249,-0.49,0.191,47.0,11.526,-9.016,0.044496973761771974,0.4420585779995676,0.02855736975244371,-0.534496973761772,1.55816078817848,False
1D,nasdaq,Z6,100679,-0.1,0.347,48.1,12.223,-8.848,0.434496973761772,1.542058577999569,0.03223114632532255,-0.534496973761772,13.480655307019205,True
1D,nasdaq,T4,150516,-0.704,-0.198,45.0,11.536,-9.313,-0.169503026238228,-1.5579414220004324,0.026360513393752505,-0.534496973761772,-6.4301868368922035,True
1D,nasdaq,Z5,101959,-0.493,-0.063,46.5,11.118,-8.88,0.04149697376177197,-0.0579414220004324,0.032028191369345115,-0.534496973761772,1.2956389976328677,False
1D,nasdaq,T1,120669,-0.743,-0.112,45.6,11.208,-9.1,-0.20850302623822803,-0.957941422000431,0.029440646428481203,-0.534496973761772,-7.082148374178358,True
1D,nasdaq,Z12,10256,-0.614,-0.086,45.8,12.838,-9.905,-0.07950302623822803,-0.7579414220004352,0.10098484246886648,-0.534496973761772,-0.7872768258537287,False
1D,nasdaq,T2,207269,-0.772,-0.227,45.3,11.164,-9.267,-0.23750302623822805,-1.2579414220004352,0.022463530956416858,-0.534496973761772,-10.572826983390327,True
1D,nasdaq,Z1G,76525,-0.337,-0.048,47.7,11.291,-8.973,0.19749697376177194,1.1420585779995704,0.03696949594477544,-0.534496973761772,5.3421603058042875,True
1D,nasdaq,Z4,144564,-0.429,0.226,47.3,11.901,-9.136,0.10549697376177197,0.7420585779995648,0.026897698439193776,-0.534496973761772,3.9221561651553003,True
1D,nasdaq,Z10,73969,-0.501,0.142,46.3,12.252,-9.128,0.033496973761771964,-0.25794142200043524,0.037602812113254204,-0.534496973761772,0.89081033782484,False
1D,nasdaq,Z2,266745,-0.637,0.187,46.4,13.085,-9.712,-0.10250302623822805,-0.15794142200043382,0.019801452788602573,-0.534496973761772,-5.1765406979243105,True
1D,nasdaq,Z11,62066,-0.392,0.157,46.4,11.906,-8.755,0.14249697376177195,-0.15794142200043382,0.04105048758308336,-0.534496973761772,3.471261418597474,True
1D,nasdaq,T10,64494,-0.532,-0.032,45.8,11.237,-8.974,0.0024969737617719368,-0.7579414220004352,0.040270362759011684,-0.534496973761772,0.06200524630767487,False
1D,nasdaq,Z2G,314236,-0.447,0.072,47.4,12.704,-9.685,0.08749697376177196,0.8420585779995662,0.01824388094501678,-0.534496973761772,4.7959627683095185,True
1D,nasdaq,Z9,132736,-0.629,-0.063,46.2,11.742,-9.245,-0.09450302623822804,-0.35794142200042955,0.028070544398932827,-0.534496973761772,-3.3666260580903025,True
1D,nasdaq,T3,122440,-0.636,-0.003,46.4,11.691,-9.34,-0.10150302623822804,-0.15794142200043382,0.02922695278346222,-0.534496973761772,-3.472925384669678,True
1D,nasdaq,T11,24918,-0.466,-0.076,45.9,10.785,-8.751,0.06849697376177194,-0.6579414220004338,0.06478711002242306,-0.534496973761772,1.0572623742294553,False
1D,nasdaq,T9,142463,-0.613,0.027,46.2,11.596,-9.117,-0.07850302623822802,-0.35794142200042955,0.02709531196410831,-0.534496973761772,-2.8972918393490623,True
1D,nasdaq,Z7,101271,0.0,0.232,49.4,10.183,-7.591,0.534496973761772,2.842058577999566,0.03213680142081906,-0.534496973761772,16.6319281985391,True
1D,nasdaq,T6,65163,-0.61,-0.143,45.2,11.004,-8.974,-0.07550302623822802,-1.3579414220004296,0.040063110349894016,-0.534496973761772,-1.8846022083362222,False
1D,russell2k,Z1G,118413,0.0,0.198,49.5,9.29,-7.627,0.22699942301150844,1.3470653111500468,0.02971977425941446,-0.22699942301150844,7.637992840393156,True
1D,russell2k,T2,294706,-0.467,-0.075,46.8,9.35,-8.001,-0.2400005769884916,-1.352934688849956,0.018838690427041657,-0.22699942301150844,-12.739769673373214,True
1D,russell2k,T9,200066,-0.284,0.157,47.8,9.805,-7.92,-0.057000576988491536,-0.35293468884995605,0.02286433390509103,-0.22699942301150844,-2.492990927489895,True
1D,russell2k,T6,91473,-0.374,-0.017,46.8,9.238,-7.862,-0.14700057698849156,-1.352934688849956,0.03381417041633291,-0.22699942301150844,-4.347306918329346,True
1D,russell2k,Z7,118544,0.0,0.265,49.4,9.538,-7.269,0.22699942301150844,1.2470653111500454,0.029703348431801543,-0.22699942301150844,7.6422166185302585,True
1D,russell2k,T2G,426236,-0.332,-0.01,47.8,8.821,-7.62,-0.10500057698849158,-0.35293468884995605,0.01566462976141878,-0.22699942301150844,-6.703035985382998,True
1D,russell2k,Z1,151130,-0.282,-0.053,48.1,9.151,-7.892,-0.055000576988491534,-0.05293468884995178,0.026306911104748046,-0.22699942301150844,-2.0907272909955843,True
1D,russell2k,T5,160689,0.0,0.352,49.4,10.082,-7.849,0.22699942301150844,1.2470653111500454,0.025512447521622596,-0.22699942301150844,8.897594902218588,True
1D,russell2k,T12,39651,0.0,0.298,50.0,9.348,-7.445,0.22699942301150844,1.8470653111500468,0.05135918530840137,-0.22699942301150844,4.419840806438488,True
1D,russell2k,Z2G,452381,-0.06,0.264,49.2,10.501,-8.288,0.16699942301150844,1.0470653111500496,0.015205230926306134,-0.22699942301150844,10.983024448684139,True
1D,russell2k,Z9,184110,-0.291,0.059,47.8,9.821,-8.04,-0.06400057698849154,-0.35293468884995605,0.023834525447754728,-0.22699942301150844,-2.685204583946124,True
1D,russell2k,T3,176153,-0.25,0.152,48.2,9.695,-8.022,-0.02300057698849156,0.04706531115004964,0.024366894136017912,-0.22699942301150844,-0.9439273163046771,False
1D,russell2k,T11,34575,-0.181,0.166,48.0,9.21,-7.638,0.045999423011508445,-0.1529346888499532,0.055000179140491545,-0.22699942301150844,0.8363504215869603,False
1D,russell2k,Z4,201953,-0.109,0.342,48.8,10.045,-7.936,0.11799942301150844,0.647065311150044,0.02275726380510417,-0.22699942301150844,5.185132273460865,True
1D,russell2k,Z10,102142,-0.201,0.284,48.0,10.328,-7.953,0.025999423011508427,-0.1529346888499532,0.031999487277872427,-0.22699942301150844,0.8124949873645935,False
1D,russell2k,T10,91312,-0.279,0.074,47.5,9.433,-7.855,-0.05200057698849159,-0.6529346888499532,0.033843967616146955,-0.22699942301150844,-1.536479929843749,False
1D,russell2k,Z2,358513,-0.313,0.292,47.8,11.088,-8.481,-0.08600057698849156,-0.35293468884995605,0.01708019184276764,-0.22699942301150844,-5.035106032776047,True
1D,russell2k,Z11,86125,-0.183,0.275,47.9,10.054,-7.707,0.04399942301150844,-0.2529346888499546,0.03484821848666649,-0.22699942301150844,1.2626017891945711,False
1D,russell2k,T4,205649,-0.393,-0.045,46.8,9.757,-8.161,-0.16600057698849158,-1.352934688849956,0.022551835625242368,-0.22699942301150844,-7.360845464955696,True
1D,russell2k,Z3,189195,-0.153,0.336,48.7,9.637,-7.694,0.07399942301150844,0.5470653111500496,0.023512043200569373,-0.22699942301150844,3.1472987005109134,True
1D,russell2k,T1,180627,-0.356,0.082,47.5,9.354,-7.781,-0.12900057698849154,-0.6529346888499532,0.024063226778352015,-0.22699942301150844,-5.36090102032967,True
1D,russell2k,Z5,155296,-0.172,0.156,48.4,9.223,-7.561,0.05499942301150845,0.24706531115004537,0.025951655270403298,-0.22699942301150844,2.119303082537199,True
1D,russell2k,T1G,141252,-0.232,0.137,48.0,8.981,-7.421,-0.005000576988491573,-0.1529346888499532,0.027211212605244103,-0.22699942301150844,-0.1837689874771648,False
1D,russell2k,Z6,133692,0.0,0.432,49.2,10.524,-7.888,0.22699942301150844,1.0470653111500496,0.02797000141125339,-0.22699942301150844,8.115817359958301,True
1D,russell2k,Z12,12962,-0.332,0.074,47.2,11.301,-8.909,-0.10500057698849158,-0.9529346888499504,0.08982747454217394,-0.22699942301150844,-1.1689138264617902,False
1D,sp500,T2,51143,0.14,0.152,51.1,4.905,-4.815,-0.2006084966707815,-1.4563803796789259,0.045222242919409746,0.3406084966707815,-4.436058092657734,True
1D,sp500,Z1G,26031,0.313,0.469,52.2,5.535,-5.071,-0.027608496670781524,-0.35638037967892444,0.06338693789745387,0.3406084966707815,-0.4355549831961595,False
1D,sp500,T9,32731,0.378,0.431,52.7,5.241,-4.713,0.03739150332921848,0.14361962032107556,0.05652825267833478,0.3406084966707815,0.6614657548675528,False
1D,sp500,Z7,3370,0.187,0.47,51.9,5.222,-4.616,-0.15360849667078152,-0.6563803796789287,0.1761693078261248,0.3406084966707815,-0.871936766774322,False
1D,sp500,T6,14734,0.247,0.198,51.7,5.021,-4.993,-0.09360849667078153,-0.8563803796789244,0.08425290142952387,0.3406084966707815,-1.1110418167507674,False
1D,sp500,T2G,93345,0.263,0.22,52.1,5.008,-4.883,-0.07760849667078151,-0.45638037967892586,0.0334733877549699,0.3406084966707815,-2.3185133586981714,True
1D,sp500,T5,27021,0.594,0.715,54.1,5.649,-4.891,0.25339150332921845,1.5436196203210741,0.06221491178790087,0.3406084966707815,4.072841960992642,True
1D,sp500,Z1,29992,0.199,0.129,51.3,5.162,-5.14,-0.14160849667078151,-1.2563803796789301,0.0590530706055628,0.3406084966707815,-2.397987017756228,True
1D,sp500,T12,8159,0.582,0.647,53.8,5.503,-4.846,0.24139150332921844,1.2436196203210699,0.11322093364660443,0.3406084966707815,2.132039505014786,True
1D,sp500,Z9,29205,0.282,0.298,52.0,5.184,-4.927,-0.05860849667078155,-0.5563803796789273,0.0598434459072266,0.3406084966707815,-0.9793636676878609,False
1D,sp500,Z2G,79503,0.515,0.625,53.8,5.655,-5.019,0.1743915033292185,1.2436196203210699,0.03627049144039128,0.3406084966707815,4.808082173791941,True
1D,sp500,T3,31147,0.257,0.352,51.8,5.329,-4.956,-0.08360849667078152,-0.7563803796789301,0.057947817940323,0.3406084966707815,-1.442823899890155,False
1D,sp500,T11,5820,0.355,0.478,52.3,5.299,-4.991,0.014391503329218458,-0.2563803796789301,0.13405521270916312,0.3406084966707815,0.10735504452513356,False
1D,sp500,Z4,31584,0.406,0.557,53.0,5.274,-4.714,0.0653915033292185,0.4436196203210727,0.05754553511669052,0.3406084966707815,1.136343648497107,False
1D,sp500,Z10,15802,0.356,0.458,52.7,5.33,-4.743,0.015391503329218459,0.14361962032107556,0.08135592170537478,0.3406084966707815,0.1891872528340075,False
1D,sp500,Z11,13944,0.4,0.558,53.2,5.368,-4.84,0.0593915033292185,0.6436196203210756,0.0866067040889033,0.3406084966707815,0.6857610384093601,False
1D,sp500,Z2,51556,0.262,0.304,52.0,5.285,-4.942,-0.07860849667078151,-0.5563803796789273,0.04504074764767276,0.3406084966707815,-1.7452751292160928,False
1D,sp500,T10,15571,0.208,0.147,51.6,5.093,-5.029,-0.13260849667078153,-0.9563803796789259,0.08195716856056798,0.3406084966707815,-1.618021937553653,False
1D,sp500,T1,34896,0.331,0.383,52.6,5.208,-4.772,-0.009608496670781508,0.04361962032107414,0.05474662792411875,0.3406084966707815,-0.17550846572868942,False
1D,sp500,T1G,29316,0.357,0.425,52.6,5.229,-4.818,0.01639150332921846,0.04361962032107414,0.05973004499620326,0.3406084966707815,0.27442643531007527,False
1D,sp500,Z6,16691,0.516,0.728,54.3,5.472,-4.694,0.1753915033292185,1.7436196203210699,0.07915967816537699,0.3406084966707815,2.2156672108089945,True
1D,sp500,Z3,34713,0.438,0.573,53.5,5.288,-4.6,0.09739150332921848,0.9436196203210727,0.05489074487659643,0.3406084966707815,1.7742791348190092,False
1D,sp500,Z5,30339,0.462,0.568,53.6,5.341,-4.757,0.1213915033292185,1.0436196203210741,0.058714391920740926,0.3406084966707815,2.0674914507006386,True
1D,sp500,T4,29109,0.257,0.191,52.1,5.074,-4.896,-0.08360849667078152,-0.45638037967892586,0.05994204499936902,0.3406084966707815,-1.3948222265633685,False
1D,sp500,Z12,637,0.297,0.315,52.6,5.133,-4.667,-0.04360849667078154,0.04361962032107414,0.4052056405986636,0.3406084966707815,-0.10762065554258565,False
4H,nasdaq,T12,88178,-0.469,-0.154,45.6,8.679,-7.093,-0.1148035420870045,-0.8444126943230899,0.02502819966426047,-0.3541964579129955,-4.586967645577023,True
4H,nasdaq,T2G,440172,-0.515,-0.125,45.7,8.081,-6.791,-0.16080354208700454,-0.7444126943230884,0.011202076303123334,-0.3541964579129955,-14.354797962067952,True
4H,nasdaq,T5,196868,-0.362,-0.083,46.1,8.424,-6.834,-0.007803542087004511,-0.34441269432308985,0.016750283750231663,-0.3541964579129955,-0.4658752176002144,False
4H,nasdaq,Z1,168631,-0.148,0.202,48.2,8.801,-6.605,0.20619645791299548,1.7555873056769116,0.01809843512283736,-0.3541964579129955,11.393054510707845,True
4H,nasdaq,T2,405562,-0.592,-0.177,45.2,8.378,-7.094,-0.2378035420870045,-1.2444126943230884,0.01167027540445564,-0.3541964579129955,-20.376857772886197,True
4H,nasdaq,Z1G,170035,-0.203,0.111,47.7,9.056,-7.024,0.15119645791299546,1.2555873056769116,0.018023559731325585,-0.3541964579129955,8.38882330498845,True
4H,nasdaq,T9,289984,-0.503,-0.123,45.7,8.559,-7.105,-0.14880354208700453,-0.7444126943230884,0.013801386396253987,-0.3541964579129955,-10.78178219308411,True
4H,nasdaq,Z7,264149,0.0,0.181,47.7,7.357,-5.58,0.3541964579129955,1.2555873056769116,0.014460564521722867,-0.3541964579129955,24.493957852123717,True
4H,nasdaq,T6,107571,-0.636,-0.243,43.9,8.562,-7.106,-0.28180354208700453,-2.5444126943230927,0.022660116069343202,-0.3541964579129955,-12.436103205501919,True
4H,nasdaq,T4,284539,-0.616,-0.339,44.0,8.053,-7.104,-0.2618035420870045,-2.4444126943230913,0.013932813781381885,-0.3541964579129955,-18.79042856632785,True
4H,nasdaq,T1G,198653,-0.556,-0.118,44.7,8.157,-6.706,-0.20180354208700457,-1.7444126943230884,0.016674858951641083,-0.3541964579129955,-12.102263813580489,True
4H,nasdaq,Z3,205973,-0.303,0.09,47.2,8.449,-6.583,0.051196457912995486,0.7555873056769116,0.016375877682510975,-0.3541964579129955,3.126333678449004,True
4H,nasdaq,Z5,168504,-0.372,0.044,46.2,8.379,-6.645,-0.01780354208700452,-0.24441269432308843,0.01810525415482956,-0.3541964579129955,-0.983335662385907,False
4H,nasdaq,T1,182765,-0.613,-0.232,44.8,8.252,-7.01,-0.2588035420870045,-1.6444126943230941,0.01738454056178866,-0.3541964579129955,-14.88699348522655,True
4H,nasdaq,Z6,176787,-0.03,0.271,48.0,9.193,-6.641,0.32419645791299545,1.5555873056769087,0.01767602348829748,-0.3541964579129955,18.341028915673917,True
4H,nasdaq,Z12,16228,0.0,0.383,48.1,8.963,-6.477,0.3541964579129955,1.6555873056769101,0.058341451985409985,-0.3541964579129955,6.071094322465146,True
4H,nasdaq,Z4,256137,-0.094,0.294,48.4,8.957,-6.607,0.2601964579129955,1.9555873056769073,0.01468498724892013,-0.3541964579129955,17.718534820800013,True
4H,nasdaq,Z10,99720,-0.351,0.031,46.2,9.104,-6.937,0.0031964579129954984,-0.24441269432308843,0.02353523819788739,-0.3541964579129955,0.13581583012329249,False
4H,nasdaq,T3,207359,-0.454,-0.153,46.1,8.222,-6.956,-0.09980354208700454,-0.34441269432308985,0.016321057248566626,-0.3541964579129955,-6.115016972676182,True
4H,nasdaq,T11,50957,-0.515,-0.157,44.7,8.527,-7.067,-0.16080354208700454,-1.7444126943230884,0.03292363718317362,-0.3541964579129955,-4.884136621733484,True
4H,nasdaq,Z2G,525102,-0.133,0.193,48.2,8.913,-6.79,0.22119645791299547,1.7555873056769116,0.010256233431680842,-0.3541964579129955,21.56702647092001,True
4H,nasdaq,Z9,273315,-0.34,0.089,46.8,8.676,-6.718,0.014196457912995453,0.3555873056769059,0.01421601913757383,-0.3541964579129955,0.9986240012489378,False
4H,nasdaq,Z2,477944,-0.241,0.176,47.6,9.266,-6.966,0.11319645791299549,1.1555873056769101,0.010750315895047656,-0.3541964579129955,10.529593643396252,True
4H,nasdaq,Z11,166347,-0.42,-0.006,45.3,8.659,-6.702,-0.06580354208700451,-1.1444126943230941,0.01822226031818069,-0.3541964579129955,-3.6111624429682347,True
4H,nasdaq,T10,89960,-0.484,-0.004,44.8,8.846,-6.961,-0.1298035420870045,-1.6444126943230941,0.02477907040538832,-0.3541964579129955,-5.238434693610546,True
4H,russell2k,Z1G,97279,0.064,0.158,50.3,5.461,-4.893,0.050230735772665056,0.6290391894130778,0.023828690928842964,0.01376926422733495,2.1079939272645594,True
4H,russell2k,T2,259157,-0.098,-0.008,48.6,5.098,-4.774,-0.11176926422733495,-1.070960810586918,0.014599173204892808,0.01376926422733495,-7.655862606649278,True
4H,russell2k,Z1,98298,0.157,0.258,51.1,5.367,-4.537,0.14323073577266504,1.429039189413082,0.023704859862353687,0.01376926422733495,6.042251951893356,True
4H,russell2k,T2G,296906,-0.018,0.07,49.3,4.976,-4.582,-0.03176926422733495,-0.3709608105869222,0.013639556400664153,0.01376926422733495,-2.329200693490882,True
4H,russell2k,T12,48681,-0.098,0.041,48.3,5.296,-4.936,-0.11176926422733495,-1.3709608105869222,0.03368449087564279,0.01376926422733495,-3.318122415445357,True
4H,russell2k,T5,98307,0.0,0.148,49.6,5.35,-4.8,-0.01376926422733495,-0.07096081058691794,0.0237037747482627,0.01376926422733495,-0.5808890935543559,False
4H,russell2k,T4,155285,-0.129,-0.043,48.0,5.147,-4.92,-0.14276926422733496,-1.6709608105869194,0.01886014293691854,0.01376926422733495,-7.569893012203294,True
4H,russell2k,Z3,128708,0.05,0.19,50.2,5.204,-4.518,0.03623073577266506,0.5290391894130835,0.02071605055141485,0.01376926422733495,1.7489209964391883,False
4H,russell2k,T1,109001,-0.076,0.041,48.7,5.111,-4.734,-0.08976926422733494,-0.9709608105869165,0.02251098465323279,0.01376926422733495,-3.987798206527729,True
4H,russell2k,T1G,115267,-0.096,0.02,48.5,5.164,-4.7,-0.10976926422733495,-1.1709608105869194,0.021890578459437135,0.01376926422733495,-5.014452424395066,True
4H,russell2k,Z5,98098,0.004,0.267,50.0,5.302,-4.579,-0.00976926422733495,0.32903918941308063,0.023729012026443837,0.01376926422733495,-0.4117012632657436,False
4H,russell2k,Z6,79679,0.078,0.374,50.4,6.074,-4.913,0.06423073577266505,0.7290391894130792,0.02632920800891949,0.01376926422733495,2.439524035470636,True
4H,russell2k,Z12,6437,0.176,0.449,51.3,5.785,-4.693,0.16223073577266503,1.6290391894130778,0.09263347974232713,0.01376926422733495,1.7513185969471547,False
4H,russell2k,T9,173074,0.0,0.161,49.7,5.335,-4.776,-0.01376926422733495,0.029039189413083477,0.017864621432297747,0.01376926422733495,-0.770756003955464,False
4H,russell2k,T6,52944,-0.18,-0.051,47.7,5.308,-4.962,-0.19376926422733495,-1.9709608105869165,0.032299913414081095,0.01376926422733495,-5.9990645096547395,True
4H,russell2k,Z7,74288,0.0,0.204,48.0,6.033,-5.018,-0.01376926422733495,-1.6709608105869194,0.027267818831920414,0.01376926422733495,-0.5049639031346465,False
4H,russell2k,Z9,163433,0.0,0.181,49.9,5.269,-4.566,-0.01376926422733495,0.2290391894130792,0.018383993451987112,0.01376926422733495,-0.7489811320535822,False
4H,russell2k,Z2G,303184,0.154,0.328,51.1,5.475,-4.648,0.14023073577266504,1.429039189413082,0.013497601245965527,0.01376926422733495,10.389307938296104,True
4H,russell2k,T10,37497,-0.17,0.096,47.5,5.689,-4.999,-0.18376926422733497,-2.1709608105869194,0.03838057454017318,0.01376926422733495,-4.788080075116713,True
4H,russell2k,Z2,283185,0.117,0.336,50.7,5.701,-4.718,0.10323073577266506,1.0290391894130835,0.013966082728609133,0.01376926422733495,7.391531167232725,True
4H,russell2k,Z11,83842,0.0,0.203,49.2,5.511,-4.756,-0.01376926422733495,-0.4709608105869165,0.025667225033759938,0.01376926422733495,-0.5364531697222557,False
4H,russell2k,Z4,153613,0.139,0.361,51.0,5.562,-4.566,0.12523073577266505,1.3290391894130806,0.018962506716271414,0.01376926422733495,6.604123476207216,True
4H,russell2k,Z10,42965,0.0,0.275,49.4,5.922,-4.909,-0.01376926422733495,-0.2709608105869208,0.03585521450027166,0.01376926422733495,-0.3840240372074925,False
4H,russell2k,T11,23206,-0.147,-0.055,47.6,5.263,-4.955,-0.16076926422733495,-2.070960810586918,0.04878761512237163,0.01376926422733495,-3.2952884420377,True
4H,russell2k,T3,126031,0.0,0.105,49.9,5.097,-4.687,-0.01376926422733495,0.2290391894130792,0.020934907288439945,0.01376926422733495,-0.6577179462809566,False
4H,sp500,T2,135059,0.1,0.067,51.0,3.46,-3.412,-0.10424510912218349,-1.1719822812846061,0.02022311111750668,0.2042451091221835,-5.154751339517731,True
4H,sp500,Z1G,45978,0.233,0.257,52.3,3.856,-3.683,0.02875489087781652,0.12801771871539103,0.03466048975759318,0.2042451091221835,0.8296158270965314,False
4H,sp500,T2G,170159,0.123,0.088,51.3,3.477,-3.397,-0.0812451091221835,-0.871982281284609,0.018016991378435692,0.2042451091221835,-4.509360492863682,True
4H,sp500,Z1,50255,0.272,0.24,52.9,3.648,-3.374,0.06775489087781653,0.7280177187153924,0.03315279089218765,0.2042451091221835,2.043716050879528,True
