delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.0,0,sig_rs_intact,0.0,-0.005789840926727095,-0.005789840926727095,-0.1788605746664653,0.16148169621664826,0.34034227088311353,True,False,False,False,True,False,
0.0,0,¬sig_rs_intact,0.0,-0.027202752528374095,-0.027202752528374095,-0.2012986847231848,0.11673921436908816,0.318037899092273,True,False,False,False,True,False,
0.0,0,sig_conso,0.0,0.02854635668526744,0.02854635668526744,-0.09836705162506967,0.16411598168467026,0.26248303330973993,True,False,False,False,True,False,
0.0,0,¬sig_conso,0.0,-0.019681593852959662,-0.019681593852959662,-0.17573880908473313,0.11833886010567227,0.2940776691904054,True,False,False,False,True,False,
0.0,0,sig_lead_in_lag,0.0,0.08316350184024401,0.08316350184024401,-0.09972443891164509,0.2346663549799658,0.33439079389161086,True,False,False,False,True,False,
0.0,0,¬sig_lead_in_lag,0.0,-0.10746933541284331,-0.10746933541284331,-0.2571598253222826,0.043876789371254915,0.3010366146935375,True,False,False,False,True,False,
0.0,0,sig_h1_dr,0.0,-0.00795450289660693,-0.00795450289660693,-0.187688931749789,0.2094798327133598,0.3971687644631488,True,False,False,False,True,False,
0.0,0,¬sig_h1_dr,0.0,0.004633518478210048,0.004633518478210048,-0.2045237319635721,0.1899626285514131,0.3944863605149852,True,False,False,False,True,False,
0.0,0,sig_macro_vix_up,0.0,-0.14706318160121387,-0.14706318160121387,-0.6702353202245053,0.36788980255514303,1.0381251227796482,True,False,False,False,True,False,EVIDENCE
0.0,0,¬sig_macro_vix_up,0.0,0.19160218204070592,0.19160218204070592,-0.36630498779995857,0.6718995751227839,1.0382045629227425,True,False,False,False,True,False,EVIDENCE
0.0,0,sig_rs_intact+sig_conso,0.0,-0.006696729792756973,-0.006696729792756973,-0.1576508213066117,0.12818952366594275,0.28584034497255445,True,False,False,False,True,False,
0.0,0,sig_rs_intact+sig_macro_vix_up,0.0,-0.016648597407137262,-0.016648597407137262,-0.4436069805657333,0.44460328212402456,0.8882102626897579,True,False,False,False,True,False,
0.0,0,sig_conso+sig_lead_in_lag,0.0,0.053921291866280814,0.053921291866280814,-0.13664253563931286,0.2392764429369526,0.37591897857626544,True,False,False,False,True,False,
0.0,0,sig_conso+sig_h1_dr,0.0,-0.015843411712311743,-0.015843411712311743,-0.19323674056322998,0.20208177754385379,0.39531851810708374,True,False,False,False,True,False,
0.0,0,sig_conso+sig_macro_vix_up,0.0,-0.23437257674333786,-0.23437257674333786,-0.7013636657533759,0.35524504469479506,1.056608710448171,True,False,False,False,True,False,EVIDENCE
0.0,0,sig_lead_in_lag+sig_h1_dr,0.0,0.15108526763844407,0.15108526763844407,-0.10436294503950772,0.3182510859173953,0.42261403095690303,True,False,False,False,True,False,
0.0,0,sig_lead_in_lag+sig_macro_vix_up,0.0,-0.07335564058002257,-0.07335564058002257,-0.6594553639918411,0.39241756002047534,1.0518729240123164,True,False,False,False,True,False,EVIDENCE
0.0,0,sig_h1_dr+sig_macro_vix_up,0.0,-0.09354969536072455,-0.09354969536072455,-0.662628873022953,0.4807708040904406,1.1433996771133936,True,False,False,False,True,False,EVIDENCE
0.0,0,sig_conso+sig_lead_in_lag+sig_h1_dr,0.0,0.1366908774589278,0.1366908774589278,-0.11582497880678325,0.3457876139068178,0.461612592713601,True,False,False,False,True,False,
0.0,0,rsi<35,0.0,0.0130131938160421,0.0130131938160421,-0.13252097757681766,0.17103800553357146,0.3035589831103891,True,False,False,False,True,False,
