cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
sig_rs_intact,Atomic,8658,13617,902,1140,0.015361515361515362,0.013659396342806785
sig_rs_intact,Atomic-R,58,92,39,61,0.15517241379310345,0.043478260869565216
sig_rs_intact,D+L1,945,2075,406,703,0.033862433862433865,0.02216867469879518
sig_rs_intact,Engulf-Abs,83,527,57,237,0.12048192771084337,0.18785578747628084
sig_rs_intact,FailedBear-Turn,39,140,36,106,0.05128205128205128,0.05714285714285714
sig_rs_intact,G3+RL,202,612,109,205,0.054455445544554455,0.08006535947712418
sig_rs_intact,G3-Abs,50,151,36,111,0.14,0.039735099337748346
sig_rs_intact,G3-gap,1653,5467,383,978,0.0514216575922565,0.02743735138101335
sig_rs_intact,G3→G3,2146,3181,640,805,0.033550792171481825,0.034580320653882425
sig_rs_intact,G3→G3→RL,109,286,41,109,0.3669724770642202,0.2902097902097902
sig_rs_intact,G3→L46 🕐,3754,6898,785,1068,0.02743740010655301,0.024644824586836766
sig_rs_intact,HighBase-15mDip,4372,2707,883,745,0.014181152790484904,0.009604728481714075
sig_rs_intact,L34camp→REV,38,181,30,146,0.07894736842105263,0.027624309392265192
sig_rs_intact,L43-TRIPLE,169,765,72,291,0.07692307692307693,0.06535947712418301
sig_rs_intact,ND→SC→L46 🕐,26,122,12,77,0.3076923076923077,0.12295081967213115
sig_rs_intact,NS→SC,38,281,30,168,0.10526315789473684,0.06761565836298933
sig_rs_intact,P55,4947,11609,931,1184,0.016171417020416416,0.008958566629339306
sig_rs_intact,Parabola,29702,19600,1144,1202,0.004511480708369806,0.005459183673469388
sig_rs_intact,QZ-Capit,1543,5214,580,1057,0.018794556059624108,0.01802838511699271
sig_rs_intact,QZ-Capit-Rev,7273,29010,942,1253,0.011549566891241578,0.010961737331954498
sig_rs_intact,RTB-Base,2668,17188,588,1248,0.025112443778110945,0.009367000232720503
sig_rs_intact,Spring,145,1132,93,576,0.05517241379310345,0.012367491166077738
sig_rs_intact,T1-CapBounce,25,120,22,104,0.08,0.025
sig_rs_intact,Washout,1568,12515,432,1168,0.05357142857142857,0.016060727127447064
sig_rs_intact,Z-Absorb-Turn,9,24,9,22,0.1111111111111111,0.08333333333333333
sig_rs_intact,Z11-T11,57,278,35,143,0.14035087719298245,0.07194244604316546
sig_rs_intact,ZRT,517,1652,252,586,0.0425531914893617,0.021791767554479417
sig_rs_intact,ZRT🟢,4,8,4,7,0.25,0.25
sig_rs_intact,Zone-Retest,15084,49696,1091,1279,0.01213206046141607,0.008048937540244688
sig_rs_intact,ppr×NS,588,1117,326,488,0.027210884353741496,0.02954341987466428
sig_rs_intact,⚡G3-Abs,1,4,1,4,1.0,0.25
sig_rs_intact,🌉Z1G→T4,14,61,14,27,0.07142857142857142,0.3114754098360656
sig_rs_intact,🌉v2 Z1G→T3/T6,15,60,13,28,0.2,0.35
sig_rs_intact,🎯Cluster,232,387,163,230,0.034482758620689655,0.025839793281653745
sig_rs_intact,🎯Confluence,1,1,1,1,1.0,1.0
sig_rs_intact,🎯Confluence≥3,261,1378,162,605,0.038314176245210725,0.03193033381712627
sig_rs_intact,🎯Confluence≥4,27,142,25,109,0.07407407407407407,0.1056338028169014
sig_rs_intact,🏆L34→L34,92,134,74,114,0.03260869565217391,0.022388059701492536
sig_rs_intact,👑Z1G-CROWN,88,308,41,122,0.375,0.41883116883116883
sig_rs_intact,🧲Z9-HL,23,127,17,48,0.30434782608695654,0.4015748031496063
sig_rs_intact,🧺SEQ-20,105,166,79,118,0.05714285714285714,0.05421686746987952
¬sig_rs_intact,Atomic,13617,8658,1140,902,0.013659396342806785,0.015361515361515362
¬sig_rs_intact,Atomic-R,92,58,61,39,0.043478260869565216,0.15517241379310345
¬sig_rs_intact,D+L1,2075,945,703,406,0.02216867469879518,0.033862433862433865
¬sig_rs_intact,Engulf-Abs,527,83,237,57,0.18785578747628084,0.12048192771084337
¬sig_rs_intact,FailedBear-Turn,140,39,106,36,0.05714285714285714,0.05128205128205128
¬sig_rs_intact,G3+RL,612,202,205,109,0.08006535947712418,0.054455445544554455
