interval,h_exp,h_ctl,hr
0-1,0.020492651624922375,0.010099122296979263,2.029151744310682
1-2,0.02201744993963141,0.01210632356579831,1.81867350727624
2-3,0.024370750328044852,0.01389306833054771,1.7541661602900989
3-5,0.03982732732732733,0.02500615363959811,1.5927010567614595
5-7,0.04101015048847525,0.027327104418759008,1.5007133525761827
7-10,0.05451339497392129,0.03610039252212095,1.5100499237097642
10-15,0.07720906968989663,0.0554729885394974,1.391831803597942
15-20,0.07785878437277122,0.057492931196983975,1.3542322986804962
20-25,0.07319655545621383,0.056274363440325124,1.3007087238549302
25-30,0.0686595308080528,0.05598564505495252,1.226377417651619
30-40,0.0997216468151217,0.08099545397932495,1.2312005417066596
40-50,0.09271228892300235,0.07975337348479072,1.1624873641324143
50-60,0.08463996804154598,0.07384597541173742,1.146169003383398
