rule,n,mean_all,med_all,win_all,hold,exit_rate,mean_mined,mean_oos,win_mined,win_oos,pf_mined,pf_oos
hold 20b,51190,0.7889632254688427,0.11914450938734236,50.447352998632546,20.0,0.0,0.08104471310659857,1.4665145344792576,48.3822002077175,52.42391803027986,1.0172780532964338,1.3754740877251723
hold 40b,51190,1.7875523431033333,0.3716219375229092,51.361594061340114,40.0,0.0,0.017024275646488524,3.482131011122704,47.87888471678517,54.694907478207675,1.002630771305114,1.7044319948941102
stop 20% · 20b,51190,0.6330931930170859,-0.05507694196378851,49.77143973432311,19.225102559093575,9.074037898026958,0.015366460585109735,1.2243216308402274,47.73907485819286,51.71662333690167,1.0033006878866924,1.3050802679104148
trail 5% · 60b,51190,0.18356879330951897,-1.795820936423442,36.079312365696424,8.873686266848994,99.24985348700918,-0.0038648764032185017,0.3629622207291806,34.2733881920588,37.80776877198348,0.9981794339108587,1.184188613909071
stop 8% · 20b,51190,0.35800727333847243,-2.3048025799314864,42.61965227583512,15.309884743113889,41.127173276030476,-0.01268109134930767,0.7127944166934918,40.96029400015978,44.20782994341643,0.9968305305261436,1.1939211208861222
stop 12% · 20b,51190,0.4355902711086653,-0.6906181338043992,47.14006641922251,17.491267825747215,25.0166048056261,-0.037180186487597904,0.888080546206725,45.40624750339538,48.799510628536474,0.991608310294496,1.2219041105471593
stop 5% · 20b,51190,0.27458132318977363,-5.200000000000005,34.28403985153351,12.272807188904082,58.907989841765975,-0.06856008828873204,0.6030031803144453,32.292082767436284,36.19054901361064,0.9792344180702808,1.1964686004645635
target 20% · 20b,51190,0.4834393822539209,0.34419027060716434,51.34987302207462,19.044872045321352,11.207267044344599,-0.08607414816624433,1.0285227941111779,49.33690181353359,53.276494876892485,0.9810347954155458,1.2705894805999867
trail 8% · 60b,51190,0.28463166195061884,-2.7723038345059567,36.399687438952924,18.200683727290485,93.5885915217816,-0.13288857853873504,0.6842417590759624,34.553007909243426,38.16715094051078,0.9597655175169234,1.2260553741711453
hold 2b,51190,-0.14583080586304636,-0.16903977335123152,47.07364719671811,2.0,0.0,-0.14779160443957418,-0.14395411861863597,45.90556842693936,48.19161951368711,0.8968368731933449,0.8995450826742744
stop 8% + target 20% · 20b,51190,0.130610517294641,-2.0290961320829246,43.48114866184802,14.552549326040243,49.49990232467279,-0.15247642459701102,0.4015540294262979,41.879044499480706,45.014528215323445,0.9612666334858943,1.1108911133913097
stop 3% · 20b,51190,0.13462532517201947,-3.2000000000000024,24.01250244188318,8.988200820472748,73.91482711467083,-0.15294723419392836,0.40986203763444257,21.9141966924982,26.020798287199874,0.9378046824658736,1.1768794865501937
hold 10b,51190,0.22546749041076253,0.002113700839484617,50.00586051963274,10.0,0.0,-0.15917425855138376,0.5936094671472043,48.466086122872895,51.479584034256,0.9536297728962344,1.2065234596110883
trail 12% · 60b,51190,0.5998579036527935,-3.450526462593872,39.19124829068178,30.324164875952334,77.56983785895683,-0.15996646842590465,1.327088494363075,36.97771031397299,41.30983330784523,0.9662344277910184,1.312399341248517
target 12% · 20b,51190,0.3178022452308406,0.9857280150672832,53.805430748193004,17.436198476264895,26.239499902324674,-0.16327099310783497,0.7782391411082838,51.877446672525366,55.65071111790794,0.9618489708198729,1.2168750807616642
hold 1b,51190,-0.17389722482075196,-0.15,45.76479781207267,1.0,0.0,-0.17467706175529588,-0.17315084013580886,44.70719821043381,46.777030126930725,0.821097237137787,0.8180491825422751
